WB_id,logFC,logCPM,F,PValue,FDR
WBGene00010904,4.050072861,8.523944143,1029.622787,7.77470670329223e-31,1.07695237254004e-26
WBGene00000372,12.24873221,8.419278537,928.4196954,5.33280661976111e-30,3.69350186484654e-26
WBGene00011673,7.264106021,9.552739598,834.2310413,5.03848111984543e-29,2.3264346824033e-25
WBGene00019515,5.367131622,7.448466964,761.9635918,2.98311277351072e-28,1.03305195346676e-24
WBGene00018913,14.40683536,7.074041552,611.7416901,5.33849315662227e-28,1.47897614411063e-24
WBGene00002260,5.703368147,4.456506817,705.5717391,1.40674782490061e-27,3.24771181175386e-24
WBGene00021567,16.03336921,7.09597979,688.5523923,3.16685859598977e-27,6.2667607530929e-24
WBGene00011671,8.942969909,7.211203056,564.2434567,1.13136348707503e-25,1.95895587787042e-22
WBGene00003995,3.360770421,8.060568518,551.7530035,1.58819035599544e-25,2.44440142347209e-22
WBGene00022813,4.355714301,7.709890024,445.1045863,9.62460080301017e-24,1.33319970323297e-20
WBGene00011800,4.701560745,6.756214511,440.6136406,1.16694874012523e-23,1.46950672256497e-20
WBGene00011672,4.435326461,5.990304787,433.8053384,1.56713728717494e-23,1.8089988084956e-20
WBGene00000412,4.05947068,5.770681889,404.7750317,5.78806529639001e-23,6.16740619119957e-20
WBGene00017244,2.480838126,9.99153524,343.4434595,1.23696208694084e-21,1.22388563059318e-18
WBGene00018206,3.036970483,8.067557043,328.7533691,2.77173939333017e-21,2.5596089384273e-18
WBGene00001756,6.483381454,6.283488831,275.9362057,7.31208100267659e-20,6.33043412806726e-17
WBGene00008273,1.744554216,6.054117279,235.7400074,1.12005234410751e-18,9.12645004151599e-16
WBGene00008043,2.9175921,5.011036734,233.9510923,1.28235966596063e-18,9.86847005160372e-16
WBGene00020592,1.381994998,6.369089435,230.9876254,1.60358171638945e-18,1.16909547028561e-15
WBGene00007072,3.487527746,4.289341706,223.3679333,2.90029549847737e-18,2.00874466224543e-15
WBGene00011676,1.910033684,5.056104536,213.5715513,6.32231771854844e-18,4.17032119225395e-15
