"","logFC","logCPM","F","PValue","FDR"
"WBGene00011673",7.11582430290467,9.55273959753536,800.824538429193,1.12661506700297e-28,1.56058719081252e-24
"WBGene00015894",7.15234939582686,4.97883705703876,696.76944517519,1.83843690735502e-27,1.27330140203409e-23
"WBGene00015623",5.20784135608626,4.03501166902422,444.176582684059,1.02396418240983e-23,4.72798395158034e-20
"WBGene00018206",3.47221612352974,8.06755704306439,429.177350611555,1.91763486631415e-23,6.64076954204591e-20
"WBGene00019515",3.01762187282559,7.4484669641948,259.044064942277,2.0984597121036e-19,4.95249671205643e-16
"WBGene00000988",3.16554254423149,7.50024609545944,258.717919913889,2.14517616750928e-19,4.95249671205643e-16
"WBGene00008694",1.1174674011436,7.20861597402297,247.035712373078,4.8885927005668e-19,8.48531405918951e-16
"WBGene00015887",1.50766814889944,6.09260500269856,247.001988795608,4.90055677689259e-19,8.48531405918951e-16
"WBGene00010904",1.56708892039328,8.52394414345389,177.419329457239,1.51361726693949e-16,2.3296251535162e-13
"WBGene00002855",0.702512106473129,6.96692896068398,169.378270453618,3.29568091983997e-16,4.56517721016233e-13
"WBGene00017874",0.94245822563211,6.18650248373921,164.610536835045,5.3027750661782e-16,6.67764001970004e-13
"WBGene00019090",3.15294477167998,3.06987694762684,154.048395265496,1.59131047910209e-15,1.83690272971018e-12
"WBGene00013074",2.72706453924558,1.97780635298237,141.898603225027,2.55066959365218e-15,2.71783655471307e-12
"WBGene00013073",2.44021345136122,3.33718430306334,148.148089724776,3.13203181465084e-15,3.09892176403882e-12
"WBGene00015326",1.20837303146968,7.47823258077723,146.257931579625,3.69184186462714e-15,3.40929290058767e-12
"WBGene00020156",1.7469491848302,3.69584894406655,136.880493528709,1.07386208606746e-14,9.29696101012901e-12
"WBGene00008519",2.13819619720283,4.87324334290462,130.468610549074,2.30068732909064e-14,1.87465416956256e-11
"WBGene00002183",0.765002429820878,7.42114728611827,124.481588338213,4.81231870377421e-14,3.70334659359335e-11
"WBGene00017244",1.38788767713219,9.99153523979481,114.533727368255,1.74567109630502e-13,1.27268610663248e-10
"WBGene00000412",2.22716123330629,5.7706818893049,109.716488651826,3.36040279645788e-13,2.32741497682673e-10
"WBGene00007122",0.690083916610641,6.10953938147682,109.138620757804,3.63715862887589e-13,2.39913911081851e-10
"WBGene00011671",4.38890215534731,7.21120305645252,102.526952900863,9.55101924350048e-13,6.01366902549857e-10
"WBGene00000977",2.10070366909193,4.3359688002409,100.889020663022,1.17921760168968e-12,7.10196618200236e-10
"WBGene00020182",2.249246413511,4.37781087865781,94.2976608564322,3.17294144859547e-12,1.83131603941435e-09
"WBGene00015890",3.72591694264545,-1.44019921454019,66.8487758554327,6.97236134114975e-12,3.86324597190425e-09
"WBGene00016998",1.68514628121175,1.53480366969926,86.9783956199205,1.01824374446065e-11,5.42488936471883e-09
"WBGene00007330",1.72859689212731,7.99188367763156,85.0951548465386,1.3753710702354e-11,7.05616298700026e-09
"WBGene00016595",2.51284150005477,0.226435135955473,81.3968418602392,2.97237005730015e-11,1.47047392977577e-08
"WBGene00009952",0.817685493201375,8.22649864796094,79.4488720185954,3.57359614473556e-11,1.70694668265093e-08
"WBGene00021647",0.739627020847372,4.79212437950198,76.8340514784803,5.64825396367543e-11,2.60798713016107e-08
"WBGene00006351",0.919725869802501,7.96563885871176,71.7739704865305,1.4111714606074e-10,6.30566034591411e-08
"WBGene00001756",3.56040545510415,6.28348883142175,69.6908391430805,2.13645399222686e-10,9.24817521885204e-08
"WBGene00009255",4.37797365572037,4.01151711830694,69.1632986258639,2.36434159922116e-10,9.92450297951862e-08
"WBGene00002095",1.77385378183504,1.49687034472556,66.7271573306695,3.70595512330935e-10,1.50984971670827e-07
"WBGene00009824",1.62702524126779,2.05757935192376,65.6338485935944,4.55673277371542e-10,1.8034246394716e-07
"WBGene00017166",0.425400655684186,9.9680615248056,63.210673584773,7.34338605032886e-10,2.82557176580987e-07
"WBGene00014258",0.890921421079182,6.33572252626789,61.9451568914558,9.48028257774652e-10,3.54921281802554e-07
"WBGene00003611",0.821955791642652,3.63251228012458,61.6177961105899,1.01365841672931e-09,3.69505168119328e-07
"WBGene00013597",0.482580431031453,7.79950534870297,60.4802322891106,1.27930078487969e-09,4.54381396721882e-07
"WBGene00015333",1.38817965693722,2.55200595772474,58.3240266748861,2.00706518066596e-09,6.9504667206462e-07
"WBGene00018424",1.48747095893866,2.17386730884879,56.242017311358,3.13051120444154e-09,1.05765466351035e-06
"WBGene00015449",1.45799247412597,4.93157844971218,55.358860681502,3.78125605050469e-09,1.24709425741883e-06
"WBGene00000372",4.0917390490437,8.41927853676183,52.1181068903485,7.62135817715061e-09,2.45514077836954e-06
"WBGene00016325",0.75018421080357,3.79255880156228,49.9860513082838,1.25824047849365e-08,3.96116979729411e-06
"WBGene00009577",0.559326149157187,5.22983425602107,47.2268934110449,2.40016477098414e-08,7.3882405350383e-06
"WBGene00015896",1.47627103941448,2.42550770500841,46.424768338754,2.91060256139253e-08,8.76471014791509e-06
"WBGene00022813",1.34574500457853,7.70989002365025,45.7141707667053,3.45094122446847e-08,1.01707314556037e-05
"WBGene00020394",1.66635094999251,2.55611237284524,45.404097117355,3.72925993428593e-08,1.07620226270268e-05
"WBGene00219274",2.13388092708827,1.84551431166782,44.5681140340737,4.5533043994452e-08,1.28719127634929e-05
"WBGene00019604",1.37983964967361,0.63204637880614,44.360205973242,4.88167399540202e-08,1.35241896368618e-05
"WBGene00013088",2.2011984633727,2.77073968243626,43.3729911464686,6.14891719526857e-08,1.67009413703648e-05
"WBGene00002260",1.73096916966137,4.45650681709873,43.2101007757035,6.41924691223363e-08,1.70998861977423e-05
"WBGene00004236",2.38799014328489,3.60184851454336,40.6984777511178,1.2235753393815e-07,3.19791803794577e-05
"WBGene00235113",-2.1512805468453,-0.203549789316275,39.3387265982862,1.46567408463732e-07,3.75972544822152e-05
"WBGene00018708",-1.34135514821665,2.28982254187849,39.6176438489548,1.6001097014741e-07,4.02994901542167e-05
"WBGene00010471",-0.35603702494026,5.80678823312608,37.8147823964693,2.57358796939503e-07,6.3659536700107e-05
"WBGene00001684",0.442866183235823,9.32433104623616,37.0426936445566,3.16710197839756e-07,7.69661343943211e-05
"WBGene00007810",0.942198285431797,4.46246106792628,35.8971369112193,4.32690016652237e-07,0.000101652411507453
"WBGene00001624",-0.762354640843883,2.81346555642786,35.8961582058515,4.3296941083885e-07,0.000101652411507453
"WBGene00007183",2.54579532591841,-0.0576198710602214,34.7678337023578,4.67968042791987e-07,0.00010803822214591
"WBGene00007946",2.68235547325787,3.71611232477018,35.3848359603962,5.03100945469352e-07,0.000114245152403958
"WBGene00015044",2.19757938803757,6.02605285053674,35.1861030151002,5.26582417762283e-07,0.000117648704045857
"WBGene00003995",0.785907398917407,8.0605685178166,33.5426474085215,8.34196084671602e-07,0.000183417208966207
"WBGene00003643",1.2710417223802,2.17468253051223,33.3142355069294,8.91016124771163e-07,0.000192849302505159
"WBGene00008490",1.51073831350595,2.02195442393036,33.2030391246879,9.20761763546779e-07,0.000196221414594615
"WBGene00013007",-2.1498509521403,2.31959190295016,32.9311374140509,9.43206037252265e-07,0.00019795893981846
"WBGene00000133",1.93334698628933,1.02579582206161,30.8245089807,1.84422301170761e-06,0.0003812862262414
"WBGene00007362",-1.04544359802332,3.76602284420019,30.7428232792901,1.87529350206937e-06,0.000382008317509779
"WBGene00007875",-1.00892401774089,5.43398404636673,30.5643578996078,1.97640669295689e-06,0.00039321122089393
"WBGene00000114",0.406869412984995,10.0811290116112,30.5460836054064,1.98706219048333e-06,0.00039321122089393
"WBGene00009256",0.460916689300354,4.6490817048691,30.4134699767868,2.06677968731443e-06,0.00040322580603774
"WBGene00014092",0.590239452329012,5.53349644442782,30.2177946029514,2.19038593649381e-06,0.000421405916559893
"WBGene00000972",1.17008208791492,4.42991497513051,30.1336436000262,2.24616332358809e-06,0.00042621718299099
"WBGene00007964",-0.829606455766489,5.11645805669826,28.9550987044732,3.20041257897208e-06,0.000595180853026086
"WBGene00018398",0.411506494328158,7.09179446908812,28.9323086409342,3.22253566105663e-06,0.000595180853026086
"WBGene00001243",0.40821399572304,8.47154235849697,28.5840435844734,3.58253181453027e-06,0.000652963561774649
