"","logFC","logCPM","F","PValue","FDR"
"WBGene00010904",4.1762363384691,8.52394414345389,1089.374669193,2.5294213580362e-31,3.50375446515174e-27
"WBGene00011673",8.36200119962763,9.55273959753536,1047.87015151343,5.50995602914749e-31,3.81619554578755e-27
"WBGene00000372",11.6664907522681,8.41927853676183,870.416082874378,1.91648984660452e-29,8.84907245172196e-26
"WBGene00019515",4.93571896794895,7.4484669641948,668.692904509298,3.83474097326624e-27,1.3279707990421e-23
"WBGene00018913",12.4660039326078,7.07404155207523,527.687991390175,1.20183486804385e-26,3.32956331842869e-23
"WBGene00021567",12.9836060464369,7.09597979030763,595.909603473988,5.12586838371523e-26,1.18339214752039e-22
"WBGene00011800",5.21284747426678,6.75621451145813,546.206725649156,1.93092928993794e-25,3.82103321774577e-22
"WBGene00017806",5.04508893131286,1.624482549583,544.355523372928,2.86934555074349e-25,4.72052635731919e-22
"WBGene00018206",3.91608513440762,8.06755704306439,533.19939938689,3.06704715679127e-25,4.72052635731919e-22
"WBGene00011671",8.11962636048776,7.21120305645252,525.642338558844,4.40894320612418e-25,6.10726812912321e-22
"WBGene00000412",4.47861720352261,5.7706818893049,496.427252917591,1.20844811500382e-24,1.52176575354844e-21
"WBGene00022813",4.03690022152753,7.70989002365025,396.856930164748,8.37346025741038e-23,9.66576429047072e-20
"WBGene00012593",6.74351754917332,2.9837478890381,397.58219638333,1.17659709514769e-22,1.25370945861429e-19
"WBGene00017244",2.65298066048796,9.99153523979481,387.835327847491,1.28807959032274e-22,1.27446274893933e-19
"WBGene00001756",6.925611752948,6.28348883142175,380.260390899411,2.05454572138488e-22,1.89730448884156e-19
"WBGene00002260",3.89683543146945,4.45650681709873,325.210690622827,3.48767166340647e-21,3.01945174259416e-18
"WBGene00011672",3.65131124916277,5.99030478708368,304.644148366589,1.12047702622229e-20,9.12991045131247e-18
"WBGene00017480",1.4167464212078,7.4363754456218,283.89226762092,4.03565292264074e-20,3.10565912691219e-17
"WBGene00008273",1.9009602190051,6.05411727864845,279.939823786754,5.20074029097593e-20,3.79161339529466e-17
"WBGene00012594",4.43415607635833,0.102621998969256,266.193676132746,7.21946823469926e-20,5.0002036993527e-17
"WBGene00007072",3.43163349183793,4.28934170562376,241.499434943696,7.33711430334982e-19,4.8397003490477e-16
"WBGene00012592",6.67076729356375,5.6368763689207,236.306516145597,1.07852665032576e-18,6.79079598196019e-16
"WBGene00003995",2.09913494644695,8.0605685178166,235.239541151829,1.16274994858368e-18,7.00278795120919e-16
"WBGene00004001",1.78985009981111,3.68089601237133,218.974943028206,4.09620905672457e-18,2.36419532723953e-15
"WBGene00006890",1.38968432081694,7.00304468803707,211.187649302591,7.68125990411034e-18,4.25603248766946e-15
"WBGene00004003",1.88118379631855,6.9301515258882,200.387764784976,1.90327581870202e-17,1.01400679387155e-14
"WBGene00019886",6.76083310539726,2.98011930321853,156.39689654828,7.09504929903963e-17,3.640023070011e-14
"WBGene00010470",2.65450377579953,6.19909727199848,181.126596882428,1.06782616674206e-16,5.28268859346821e-14
"WBGene00019516",2.53153019854898,4.50335560224096,168.039606187132,3.76809622115193e-16,1.79985065018609e-13
"WBGene00000282",1.33961849847397,7.69188051142168,153.688573761398,1.64599389695176e-15,7.60010248685859e-13
"WBGene00020592",1.09794641879723,6.36908943546935,147.779867092945,3.12080592559615e-15,1.39449689294703e-12
"WBGene00019645",2.2919456672888,6.5606587523105,146.662731896284,3.53025903056521e-15,1.52816087785592e-12
"WBGene00012531",1.58101247958531,7.40465124354788,140.543937283653,7.02548052281791e-15,2.94899867279011e-12
"WBGene00007890",2.14815311395404,3.21614212351052,139.53960101277,7.89650583476629e-15,3.21712937715243e-12
"WBGene00007599",-2.28134705159353,4.39184635239418,135.438563148172,1.27104826441266e-14,5.03044587389832e-12
"WBGene00018333",2.35562220112516,1.57291287131877,134.443593121435,1.47371420817126e-14,5.67052478099676e-12
"WBGene00012604",4.16491776778304,2.59100505047869,133.660766098178,1.58903032613787e-14,5.94898596693563e-12
"WBGene00008874",2.47606559095045,2.50682690980246,131.01515295678,2.1647301794971e-14,7.89101117010363e-12
"WBGene00015044",3.92707097838249,6.02605285053674,127.779052115139,3.20027375241628e-14,1.13667159021719e-11
"WBGene00016425",2.34409960812181,2.83103653359635,127.116958876609,3.47814722815278e-14,1.20448238510931e-11
"WBGene00020891",1.10070088873585,6.67259925228817,126.205559295976,3.88002671252215e-14,1.31088122004529e-11
"WBGene00018334",1.72130461970844,4.26951423775654,125.507836628873,4.23404317368439e-14,1.39642776290181e-11
"WBGene00023492",4.00937488227568,-0.533845441645738,116.959645557056,6.05050094890499e-14,1.92259417380293e-11
"WBGene00007810",1.66672335144679,4.46246106792628,122.599471426855,6.10699853070523e-14,1.92259417380293e-11
"WBGene00009396",0.843993380404812,6.17668713726037,119.143598796952,9.51231553897365e-14,2.8840649446309e-11
"WBGene00044811",2.34829798016895,3.78689475019616,119.125336889787,9.5774608325889e-14,2.8840649446309e-11
"WBGene00017691",-2.40309985084086,6.41432690079175,118.420455338198,1.04511864457915e-13,3.08020924781072e-11
"WBGene00000528",1.12760831121599,6.21734648113269,116.74445186505,1.30180236747927e-13,3.75678466548392e-11
"WBGene00007073",1.73439131205895,4.38403897171166,116.174183585839,1.40413611783999e-13,3.90048988617657e-11
"WBGene00077764",1.98537967631241,2.71889930225997,116.200007368001,1.40791578334413e-13,3.90048988617657e-11
"WBGene00009920",0.897424648247056,8.40078603568285,115.53202858426,1.52826300893848e-13,4.15088219604232e-11
"WBGene00004236",3.50438690296857,3.60184851454336,114.393382150005,1.8515602019813e-13,4.9322715226625e-11
"WBGene00011675",3.26233975408289,0.705027459066334,113.235882555982,1.99826219510606e-13,5.22262791068097e-11
"WBGene00010238",1.70482603456676,5.40755974144347,113.332720116931,2.05126175873905e-13,5.26186627445433e-11
"WBGene00020658",1.3062295087453,5.12120729760311,110.683600383314,2.93985882528122e-13,7.40416808141736e-11
"WBGene00015739",1.65464272540225,1.81626955335812,108.958866105855,3.75218309986864e-13,9.28129291060365e-11
"WBGene00019738",1.49335999537634,5.59215585193291,108.092664428257,4.20651311908525e-13,1.02225648641349e-10
"WBGene00007153",0.993718629584995,6.39233048212646,107.748363924196,4.41352396052729e-13,1.05407127415903e-10
"WBGene00008634",-1.58283492953314,4.56828082846989,105.467822553246,6.08788652278745e-13,1.42931193412969e-10
"WBGene00194928",3.25463723240444,-0.360760232204718,105.385070158006,6.37857197940214e-13,1.47259965097797e-10
"WBGene00015759",0.995312358852456,6.37179296567025,104.863195456666,6.6333632873437e-13,1.50631718452926e-10
"WBGene00011190",2.69252524583529,3.96871965433179,104.612173939735,6.89486673301261e-13,1.54044667718856e-10
"WBGene00007605",1.87817452416134,7.9640844262108,99.8100027361273,1.38132501077368e-12,3.00140160879515e-10
"WBGene00012591",4.51613977701317,4.5747680741778,99.7899113288323,1.38672901359291e-12,3.00140160879515e-10
"WBGene00017621",1.29764516445593,5.24016164654035,96.7990713941082,2.1662024233293e-12,4.61634399507037e-10
"WBGene00000281",0.697164850492415,6.91501731455684,95.1306419902471,2.79114746510393e-12,5.85802646766965e-10
"WBGene00000977",2.03717239120357,4.3359688002409,94.4443709243393,3.10272347449314e-12,6.41476501025058e-10
"WBGene00045208",-1.12156595247969,4.80198137241962,93.4227111311014,3.63070352655505e-12,7.39595665438832e-10
"WBGene00003091",1.6433682903976,7.71699000757754,93.1648553606282,3.77830411074679e-12,7.58508239740067e-10
"WBGene00008602",2.44322526044404,5.10102251085776,92.846644695031,3.97139713701403e-12,7.85882759170263e-10
"WBGene00007384",-0.960940436489858,7.09263600839704,92.5824189632952,4.13654537646424e-12,8.07034176827924e-10
"WBGene00019089",4.24491478820756,2.81278146048922,90.5339820548561,5.76433569212066e-12,1.10899413898966e-09
"WBGene00001896",1.74846154778916,1.0420865076073,89.3076183870096,7.05717738751274e-12,1.33912357769625e-09
"WBGene00009995",-0.591144822483723,7.23778362753218,87.6235139929196,9.09476536192897e-12,1.70244175396541e-09
