"","logFC","logCPM","F","PValue","FDR"
"WBGene00011673",9.12043212396407,9.55273959753536,1200.70344420742,3.64680246388527e-32,5.05155077297388e-28
"WBGene00010904",3.81614624443736,8.52394414345389,935.629767038596,5.19794219365236e-30,3.60009476332363e-26
"WBGene00019515",5.6135833159229,7.4484669641948,836.326822149292,4.77763103036684e-29,2.20599150108805e-25
"WBGene00018206",5.03922197017102,8.06755704306439,819.848255130578,7.06652646001316e-29,2.44713811310256e-25
"WBGene00000372",10.0599466687555,8.41927853676183,648.693045957304,6.20580754075663e-27,1.71925692109122e-23
"WBGene00011671",8.74562906344627,7.21120305645252,617.981327463984,1.95519022109511e-26,4.51388249043491e-23
"WBGene00017244",3.26787381441566,9.99153523979481,560.092386227461,1.18952194703409e-25,2.35389400147374e-22
"WBGene00000412",4.65358558194723,5.7706818893049,535.5081152786,2.82832232775533e-25,4.89724011050835e-22
"WBGene00018913",11.6927777114814,7.07404155207523,441.499638243352,4.90744887948875e-25,7.55310909763091e-22
"WBGene00021567",12.2182467008493,7.09597979030763,500.397016602683,1.43472890561594e-24,1.98738648005921e-21
"WBGene00003995",3.09760083164359,8.0605685178166,485.161402662864,1.86930144131904e-24,2.35396032410467e-21
"WBGene00002260",4.56159690739197,4.45650681709873,476.432035479574,2.74448300404404e-24,3.16804821433484e-21
"WBGene00022813",4.13019273576538,7.70989002365025,413.248445375964,3.9134540513238e-23,4.16993580914902e-20
"WBGene00015894",5.36806444979877,4.97883705703876,401.53057981313,7.07635691913578e-23,7.0015497174192e-20
"WBGene00011800",4.24189882518978,6.75621451145813,377.479915081014,2.13804654104681e-22,1.97441471243869e-19
"WBGene00001756",6.66153300741561,6.28348883142175,348.404518173031,1.04124310219212e-21,8.87045593742959e-19
"WBGene00017480",1.56762105268134,7.4363754456218,345.822842845963,1.08863522189072e-21,8.87045593742959e-19
"WBGene00008273",1.92703461099743,6.05411727864845,287.52530950507,3.20583138696101e-20,2.46706535401022e-17
