"","logFC","logCPM","F","PValue","FDR"
"WBGene00011673",8.69460563061932,9.55273959753536,1114.80164195577,1.6052836527135e-31,2.22363891573874e-27
"WBGene00010904",3.94808038115645,8.52394414345389,991.531635037817,1.64433965448969e-30,1.13886964469956e-26
"WBGene00019515",5.66983552654927,7.4484669641948,850.813663811064,3.40510187358516e-29,1.57224903843005e-25
"WBGene00000372",11.2889282243444,8.41927853676183,817.913800581453,6.55788413616955e-29,2.27099527635552e-25
"WBGene00018913",12.9735142626813,7.07404155207523,585.595313156623,1.34461548854103e-27,3.72512274945406e-24
"WBGene00003995",3.66337142464273,8.0605685178166,651.831746201882,6.30023185093198e-27,1.45451352665183e-23
"WBGene00021567",13.4560343151679,7.09597979030763,656.197675517729,8.02574191291628e-27,1.48775779163098e-23
"WBGene00011671",8.92241939918114,7.21120305645252,644.767564491789,8.59230604464905e-27,1.48775779163098e-23
"WBGene00018206",4.26568400799428,8.06755704306439,619.588351730719,1.68873135595864e-26,2.59914519363767e-23
"WBGene00017244",3.22304277401423,9.99153523979481,546.941361437974,1.87985148496543e-25,2.60397027697411e-22
"WBGene00002260",4.69560152250387,4.45650681709873,511.883523519403,6.97578962566026e-25,8.78442162678599e-22
"WBGene00022813",4.62343157763903,7.70989002365025,502.540248466967,9.54530263496183e-25,1.10184610082909e-21
"WBGene00000412",4.28723770502275,5.7706818893049,455.358294175567,6.25977339060138e-24,6.67002930820079e-21
"WBGene00011800",4.33608971794802,6.75621451145813,393.487353438155,9.83072630012775e-23,9.72680147924069e-20
"WBGene00008273",2.16486670889281,6.05411727864845,362.096747963408,4.63913500735505e-22,4.28408654145881e-19
"WBGene00001756",6.75782319670787,6.28348883142175,360.342718421741,5.58289866231519e-22,4.83339451689937e-19
"WBGene00011672",3.91719123231785,5.99030478708368,349.606116166923,8.90807487616474e-22,7.25850901086082e-19
"WBGene00019516",3.26854814290339,4.50335560224096,296.521228515231,1.83607043374192e-20,1.4129582026774e-17
"WBGene00008043",3.07476203710758,5.01103673436824,291.933588881702,2.43513003082542e-20,1.7753379572102e-17
"WBGene00010470",3.36476597116697,6.19909727199848,284.486070797776,3.88707017400452e-20,2.69218480251553e-17
"WBGene00007331",-2.09354408289218,7.09775001808051,276.876812874618,6.3435133413255e-20,4.18430222876385e-17
"WBGene00007072",3.53043088865241,4.28934170562376,258.259431955552,2.22335864978278e-19,1.39990745530868e-16
"WBGene00022261",2.96077432885324,4.30266676197718,256.415625771572,2.52719431102087e-19,1.5220302433157e-16
"WBGene00270321",3.65075842395501,2.65058661341944,253.202431599419,3.20435946892713e-19,1.84944947348244e-16
"WBGene00017480",1.33344275410689,7.4363754456218,252.353101232357,3.34647925362485e-19,1.85421722484846e-16
"WBGene00044811",3.19241686380279,3.78689475019616,251.841362426094,3.49731429198949e-19,1.86326144510148e-16
"WBGene00022076",-2.34341470949641,3.34215127126015,203.70205678362,1.43748857333206e-17,7.37484878436878e-15
"WBGene00011190",3.50346852020978,3.96871965433179,195.998580336847,2.79788199681143e-17,1.38415219356543e-14
"WBGene00011676",1.77324372329176,5.05610453557915,191.93510208794,3.98667544774475e-17,1.90425614835036e-14
"WBGene00007810",1.99928130964812,4.46246106792628,182.515733444792,9.38823980873126e-17,4.33486326101818e-14
"WBGene00007364",6.44649419695036,3.70794841492995,179.239490731114,1.34262720965988e-16,5.99937809942214e-14
"WBGene00015449",2.53203728583332,4.93157844971218,175.556672711351,1.80860909780356e-16,7.82901663211715e-14
"WBGene00016425",2.65467719467643,2.83103653359635,171.508657596916,2.68633832511e-16,1.12761086301284e-13
"WBGene00015930",1.36891289830735,4.42959484072319,165.498347120145,4.85174513379159e-16,1.97665804686121e-13
"WBGene00004003",1.68990523161833,6.9301515258882,162.972476272017,6.26009998718719e-16,2.47756871492906e-13
"WBGene00012531",1.68185133035847,7.40465124354788,158.576480984777,9.83856610045125e-16,3.78566160065141e-13
"WBGene00006890",1.19961282178784,7.00304468803707,158.226768509219,1.02032649588983e-15,3.81988178947727e-13
"WBGene00019645",2.37964011306156,6.5606587523105,157.942253986191,1.05112123016926e-15,3.83161349481698e-13
"WBGene00018226",0.676385762454455,5.34278443567657,157.676824918242,1.08060265697992e-15,3.83807897550921e-13
"WBGene00016340",5.41876747270703,6.13807562024059,146.10828025853,3.79355066005558e-15,1.31370659357725e-12
"WBGene00044212",3.44707636937355,1.17303462641317,146.355884979725,4.31121664155845e-15,1.45656031509433e-12
"WBGene00017641",1.25929055360194,5.20159869782877,139.293797994357,8.10983456057083e-15,2.63027886611e-12
"WBGene00004236",3.75797381538761,3.60184851454336,139.64837417448,8.16502968832876e-15,2.63027886611e-12
"WBGene00019730",-1.53094252734203,7.59788571835878,138.622950513581,8.76213199525211e-15,2.75847846359619e-12
"WBGene00007605",2.21727360731902,7.9640844262108,136.786464508554,1.08466618401658e-14,3.33884355133281e-12
"WBGene00015087",1.39473104894987,4.12059011614069,128.85958629291,2.79900772743835e-14,8.42866413923392e-12
"WBGene00020587",1.29306045095734,5.80508747373388,126.376452316158,3.79892547957156e-14,1.1196322498516e-11
"WBGene00020592",1.01277209798974,6.36908943546935,125.974354258004,3.99321361511742e-14,1.15237489576264e-11
"WBGene00007565",-2.80493385321336,4.77069307105821,125.658623230767,4.15493170756355e-14,1.17457375537082e-11
"WBGene00009393",0.991926900867751,4.98905582110563,124.297942327067,4.92503545435826e-14,1.35313923304028e-11
"WBGene00003868",0.94382295855398,4.77567444062797,124.207140962172,4.98195934775153e-14,1.35313923304028e-11
"WBGene00012251",-1.28081584804207,4.05958893143572,123.292345573596,5.59368948943648e-14,1.4900728232245e-11
"WBGene00006636",-0.970558719202267,4.19792099799855,119.587420809057,8.98406282147815e-14,2.34806109817199e-11
"WBGene00004810",2.68827842254431,4.45967349824206,118.336327087818,1.05711020782348e-13,2.71168344421683e-11
"WBGene00020895",1.07796160325412,5.27346840842478,117.177016337356,1.22988051410295e-13,3.097509978428e-11
"WBGene00004093",2.01521935259305,6.3731483895731,114.636124898199,1.72196604581418e-13,4.25940601189607e-11
