"","logFC","logCPM","F","PValue","FDR"
"WBGene00011673",8.91362909470637,9.55273959753536,1158.91680259975,7.40025293272645e-32,1.02508303624127e-27
"WBGene00018206",5.58833616867968,8.06755704306439,968.127418507192,2.64242663290015e-30,1.83014468594665e-26
"WBGene00010904",3.48826627833323,8.52394414345389,801.041504133845,1.11551602810586e-28,5.15070934044081e-25
"WBGene00000412",4.6508235106485,5.7706818893049,534.978564258845,2.88260613730908e-25,9.98246505350134e-22
"WBGene00017244",3.13720164573389,9.99153523979481,521.885607842104,4.6283346565889e-25,1.28223383326139e-21
"WBGene00019886",8.58871251263417,2.98011930321853,364.286878063716,2.35143123633096e-24,5.42867091427608e-21
"WBGene00044811",4.11755979490873,3.78689475019616,456.588138495451,6.00236642048124e-24,1.18778256652152e-20
"WBGene00011671",7.62001271916291,7.21120305645252,454.367417205539,7.07145033919789e-24,1.22442162623212e-20
"WBGene00019515",3.88743226402679,7.4484669641948,429.124361219282,1.92306839713482e-23,2.95981593745684e-20
"WBGene00022261",3.69914710270138,4.30266676197718,413.787314347525,3.8387943682746e-23,5.31749795893398e-20
"WBGene00001756",6.81577559234375,6.28348883142175,366.932978360725,3.98902251630633e-22,5.01090981255431e-19
"WBGene00016340",8.51527292365799,6.13807562024059,363.776831426245,4.34095565626998e-22,5.01090981255431e-19
"WBGene00011800",4.03593731262019,6.75621451145813,343.925575495278,1.20616537372358e-21,1.28521559667838e-18
"WBGene00003995",2.51914559938664,8.0605685178166,332.2469255565,2.28097934831879e-21,2.25686613806513e-18
"WBGene00044514",5.17061432305052,4.11116023166445,290.107758853851,3.51769160931757e-20,3.24847094481779e-17
"WBGene00008043",3.04163120535474,5.01103673436824,284.846502327974,3.80231886119377e-20,3.2918575540785e-17
"WBGene00015044",5.78742358112693,6.02605285053674,276.092235310433,6.69955205241521e-20,5.45895264882679e-17
"WBGene00007946",5.82582662224369,3.71611232477018,269.696999198517,1.09047698710113e-19,8.39182623629157e-17
"WBGene00000372",6.96628974277167,8.41927853676183,262.533405587392,1.54499220765298e-19,1.12638063475837e-16
"WBGene00022813",3.18123914086959,7.70989002365025,256.432737833825,2.51421397820986e-19,1.74134460130815e-16
"WBGene00015045",7.35143282154537,4.25665428191216,248.249645429658,3.72469089273606e-19,2.4568770593419e-16
"WBGene00020592",1.41188524414029,6.36908943546935,243.951776479723,6.1101727966783e-19,3.84718698089036e-16
"WBGene00002260",3.42822511711726,4.45650681709873,236.610300777642,1.07593419591773e-18,6.47993064428368e-16
"WBGene00019645",2.92959798252034,6.5606587523105,234.085833413095,1.26821783325124e-18,7.06572034230724e-16
"WBGene00017480",1.28378446346093,7.4363754456218,234.011384815595,1.27521663700318e-18,7.06572034230724e-16
"WBGene00020587",1.69739672803831,5.80508747373388,217.486768831398,4.6068808491997e-18,2.45440436627362e-15
"WBGene00000977",3.0034385108451,4.3359688002409,216.562031965933,4.96740206741515e-18,2.54846123843832e-15
"WBGene00008273",1.60566593002049,6.05411727864845,199.957741760491,1.97512604956078e-17,9.77123072804138e-15
"WBGene00007331",-1.746333602142,7.09775001808051,198.094964147595,2.31994170778359e-17,1.10813215642132e-14
"WBGene00011676",1.76340233548383,5.05610453557915,189.272608037642,5.05988960861894e-17,2.33631969528632e-14
"WBGene00008519",2.54236367879266,4.87324334290462,186.060562472702,6.77260172949717e-17,3.02626061796757e-14
"WBGene00010706",2.93945671544623,2.59989602749741,186.253696009189,7.45143921320664e-17,3.22554174941682e-14
"WBGene00004236",4.13440426305212,3.60184851454336,180.058414204501,1.25056109642943e-16,5.24932494173955e-14
"WBGene00006890",1.25672998137931,7.00304468803707,173.238716738277,2.26004671711975e-16,9.20769621339492e-14
"WBGene00009110",3.11239873701088,3.36117389572531,169.493209200857,3.26857839536658e-16,1.29360994093194e-13
"WBGene00007810",1.92983807937107,4.46246106792628,168.223012277279,3.69723000559966e-16,1.42261194548796e-13
"WBGene00015930",1.3756402105729,4.42959484072319,166.340931803834,4.45867852112986e-16,1.6692328344511e-13
"WBGene00016863",4.21955817280064,3.48545103326967,160.78532639326,8.24786943408874e-16,3.00656545792098e-13
"WBGene00021567",8.83262367066,7.09597979030763,151.437603001461,2.43690127266472e-15,8.65537344332094e-13
"WBGene00011002",2.26279839128745,2.32703425776202,146.987511374779,3.4328448240797e-15,1.1887941625788e-12
"WBGene00020394",2.68423741468272,2.55611237284524,142.400954791983,5.7304467090823e-15,1.93605238571239e-12
"WBGene00007073",1.89485622178378,4.38403897171166,140.240659233605,7.27703098207819e-15,2.40003412294636e-12
"WBGene00010470",2.32205111640744,6.19909727199848,139.263304252953,8.1394706451844e-15,2.6220452878394e-12
"WBGene00018913",8.20813525780515,7.07404155207523,125.01424490569,1.2320303442623e-14,3.87865552925484e-12
"WBGene00015087",1.40882993541238,4.12059011614069,130.853514742039,2.19644182573723e-14,6.76113603780268e-12
"WBGene00004003",1.50231557851577,6.9301515258882,129.325502335775,2.64258717034644e-14,7.95763423557367e-12
"WBGene00009255",5.54962746527475,4.01151711830694,125.564076744298,4.41009649872906e-14,1.29975865319989e-11
"WBGene00011672",2.34396954112291,5.99030478708368,122.872432407616,5.8983672652764e-14,1.70217048663768e-11
"WBGene00019089",4.74503785784975,2.81278146048922,121.17251201925,7.41911414581223e-14,2.09733814587329e-11
"WBGene00015693",1.91748680571365,4.18672391111647,120.033328625206,8.48171814187536e-14,2.34977519402515e-11
"WBGene00013901",2.44203921921912,6.44178227722216,119.784767891548,8.75431674231579e-14,2.37774108852075e-11
"WBGene00019965",1.07285463890025,5.85156534014687,115.830885753887,1.46887498256062e-13,3.91285697277495e-11
"WBGene00000986",3.01596334791377,3.65427097269564,111.144595438527,2.90804679382256e-13,7.6004272052887e-11
"WBGene00020909",2.43683325146041,6.70510709793495,109.280703256536,3.56632950260279e-13,9.14829560556554e-11
"WBGene00018430",1.54898210323831,3.64880924246675,106.201859948481,5.49000474709224e-13,1.38268265012221e-10
"WBGene00001262",0.943290023533855,7.81966244200565,105.507893992784,6.05167249858397e-13,1.49692441875688e-10
"WBGene00007811",1.24726973189526,6.9747422373264,99.3746693275737,1.47326590793369e-12,3.58029462398201e-10
"WBGene00010791",3.13118875447346,3.33469952314863,92.3251676711836,4.31546551828919e-12,1.0306522130921e-09
"WBGene00003696",1.59995540651539,3.00521089234923,92.165431348929,4.42114797474135e-12,1.03799562281554e-09
"WBGene00007072",2.24966688994861,4.28934170562376,91.4636272113015,4.93704100316978e-12,1.13979819959846e-09
"WBGene00009165",1.07870805554764,4.51489677653445,88.8724956629881,7.43821078446033e-12,1.68908353748106e-09
"WBGene00001781",2.7647591727719,3.58612624401533,87.4841405708713,9.3286324227129e-12,2.08419703740999e-09
"WBGene00000111",1.47042402664668,7.43037123062036,86.5729558472461,1.07892415310542e-11,2.35283354953673e-09
"WBGene00017515",1.45667214699729,4.65194646022282,86.5284921141786,1.08707296542269e-11,2.35283354953673e-09
"WBGene00013284",0.901862578276095,7.17698435474987,86.0972339324854,1.16625713422267e-11,2.48538366511575e-09
"WBGene00019516",1.85421320855173,4.50335560224096,83.394517406611,1.82668366648626e-11,3.83382153760117e-09
"WBGene00009048",-1.40941441899748,5.14746308072467,83.023675814867,1.94252242201123e-11,4.01609262532829e-09
"WBGene00020895",0.903161528006967,5.27346840842478,81.5089026536246,2.50956045361627e-11,5.11212226521949e-09
"WBGene00019968",2.67568532293126,4.41153930477905,76.577920601104,5.91722677063385e-11,1.18790471343217e-08
"WBGene00018226",0.466741528624243,5.34278443567657,74.2491842822772,8.97074499756117e-11,1.77518228151739e-08
"WBGene00043097",1.38380223428299,7.30753527090893,73.0368606945646,1.11853230490782e-10,2.18224077289903e-08
"WBGene00008032",0.900927438499958,6.61325478024304,72.461600879412,1.24303503866739e-10,2.39146129939175e-08
"WBGene00017431",0.985565873746683,6.13593659339104,68.453345082046,2.63364403315914e-10,4.99742974620827e-08
"WBGene00010665",1.11664467289964,9.03005659077866,68.3287829587259,2.69699780296008e-10,5.04848831981122e-08
"WBGene00009706",-3.07335610322734,3.36118541425706,68.0988111831273,2.82205358563199e-10,5.21214483575657e-08
"WBGene00015042",4.4353342692287,-0.14353331417407,56.6997375589551,4.5551934872828e-10,8.30243949813701e-08
"WBGene00012531",1.06713514361914,7.40465124354788,64.8853961104095,5.26260480543385e-10,9.46722100842463e-08
"WBGene00004990",-0.60794730036267,8.40189052235374,64.1976146056345,6.03031736122572e-10,1.05862721994592e-07
"WBGene00000981",1.20924786677733,5.6627790592018,64.1916787162522,6.03750724629855e-10,1.05862721994592e-07
"WBGene00015449",1.54195525299032,4.93157844971218,62.4179531490332,8.61560021795185e-10,1.49179117773836e-07
"WBGene00007605",1.4655689287516,7.9640844262108,61.7381151299962,9.88780781785934e-10,1.6909372085554e-07
"WBGene00009049",-0.716643197200651,5.05387745797871,60.923572522765,1.16787837737189e-09,1.97285991260432e-07
"WBGene00021582",2.55306118624688,0.455571464881564,59.7859342312282,1.55317486214267e-09,2.59211785426509e-07
"WBGene00015692",0.963682488912556,4.66211263807342,57.9165682846541,2.18524886030412e-09,3.60357943011103e-07
"WBGene00017336",1.87160197588233,4.92426992539983,55.8757216101533,3.38087041001917e-09,5.50962551995124e-07
"WBGene00016174",1.43252823094933,3.43185066299762,55.4359396359653,3.72187902607963e-09,5.99482189177385e-07
"WBGene00000972",1.56672030510865,4.42991497513051,55.2281152777752,3.89061506458007e-09,6.19457469822565e-07
"WBGene00019730",-0.94780673785838,7.59788571835878,54.9579157403931,4.12566112795697e-09,6.49416567550681e-07
"WBGene00011190",2.05645347528642,3.96871965433179,54.9099529422382,4.17523439318953e-09,6.49835357465857e-07
"WBGene00016425",1.63988629444743,2.83103653359635,54.8560496263883,4.22500211193634e-09,6.50274769494913e-07
"WBGene00017510",1.63696132828836,1.90077075364098,54.0705115921536,5.03251913811823e-09,7.66048957156194e-07
"WBGene00019022",0.886234880017848,4.26872102676082,53.484223687719,5.7061898793552e-09,8.51233177075815e-07
"WBGene00007364",4.33793165499713,3.70794841492995,53.5514117233939,5.71503649061874e-09,8.51233177075815e-07
"WBGene00022593",0.851036170647241,4.55052846846995,51.3605150304545,9.18754444607817e-09,1.34371862433589e-06
"WBGene00011798",1.69979153426428,4.31509693724173,51.3476033609282,9.21551178977112e-09,1.34371862433589e-06
"WBGene00008602",1.83337401155164,5.10102251085776,51.064838659236,9.82727929313996e-09,1.41799450800599e-06
"WBGene00007228",1.18968498244397,5.10704474715235,50.0377613612813,1.24311970115732e-08,1.77522619592075e-06
"WBGene00006418",1.82777660684655,1.84213185894429,49.8341899078458,1.3128341874129e-08,1.85565093510647e-06
"WBGene00008810",1.97595201263518,3.21308743966569,48.9347279575606,1.60890578266923e-08,2.25116796985194e-06
"WBGene00022267",2.58417041624292,-0.133907846991227,48.5803621285875,1.63565639773626e-08,2.26571124214427e-06
"WBGene00003652",0.717994425642177,4.75810829934827,48.3223840157344,1.85267793628641e-08,2.54092027459796e-06
"WBGene00015887",0.665551438956924,6.09260500269856,48.2547105025243,1.88225781706012e-08,2.55617992959968e-06
"WBGene00013594",1.0339111895109,3.92226173500889,48.0689906895644,1.96676311267464e-08,2.64500996473487e-06
"WBGene00022076",-1.00223173695499,3.34215127126015,47.6175912695325,2.18869595030925e-08,2.91517464458497e-06
"WBGene00009259",0.418110580178649,9.05734817559649,46.4186739983588,2.91160960252273e-08,3.84110630610903e-06
"WBGene00009256",0.566060664331178,4.6490817048691,46.2541310470448,3.0292951945544e-08,3.95866009763845e-06
"WBGene00008803",0.803912229238955,6.82847046069823,45.8438572554488,3.3441987573495e-08,4.32933095203787e-06
"WBGene00044457",1.53276471258963,0.845334703006463,44.2377706982946,4.99651206496007e-08,6.4084893633173e-06
"WBGene00044481",1.11992385673731,3.48470228525849,43.3685152619053,6.14187974635829e-08,7.80525855472982e-06
"WBGene00013176",0.512086864983609,6.43391535618636,42.8699245075425,6.95429521962007e-08,8.75735430747065e-06
"WBGene00007875",-1.20105323927783,5.43398404636673,42.6064541019071,7.43024273369597e-08,9.27240741866275e-06
"WBGene00021873",-1.60471983803681,1.79878777930142,42.5069899301055,7.65080657982753e-08,9.46240828069384e-06
"WBGene00001754",1.03029916787735,6.40266692744399,42.3301444102233,7.96551022520281e-08,9.70857386496885e-06
"WBGene00013541",0.715949982372702,4.48373080216209,42.3183797668463,7.99001891861427e-08,9.70857386496885e-06
"WBGene00018398",0.496575906739003,7.09179446908812,42.1614941216861,8.31219280090624e-08,1.00122169285351e-05
"WBGene00001387",1.92226385095936,4.95838455100138,41.3236833430862,1.02896518148167e-07,1.22872635292104e-05
"WBGene00017123",0.743672110842781,5.91908921239074,40.895723816953,1.14773430464954e-07,1.35883893914576e-05
"WBGene00022260",0.690602458425818,4.41242523812501,40.6813824539531,1.21291576189026e-07,1.42383975709355e-05
"WBGene00013073",-1.65158154741916,3.33718430306334,40.0878441382915,1.4303039554694e-07,1.66492188161026e-05
"WBGene00007819",0.798621085736733,3.99890196947257,39.695676162619,1.56619156112826e-07,1.80790712539572e-05
"WBGene00008494",-1.35050819511433,2.61838748823723,38.2674575636673,2.2987926119931e-07,2.63164258358086e-05
"WBGene00006636",-0.530448084398884,4.19792099799855,37.4706748962183,2.82253320298285e-07,3.20473196128839e-05
"WBGene00020741",-1.52418834348493,1.82350199723926,37.4374111774229,2.85386710668654e-07,3.21396480990423e-05
"WBGene00000281",0.436598113006815,6.91501731455684,37.3294505582326,2.93144350502263e-07,3.27470608319141e-05
"WBGene00003409",0.691519189873906,5.27820285215662,37.1598236546982,3.06857319993889e-07,3.40047007724428e-05
"WBGene00019404",1.37320271665814,2.7822921653851,36.2416449001607,3.93985253819788e-07,4.33133629834263e-05
"WBGene00219274",1.95741345117856,1.84551431166782,36.1213631802313,4.06159038180258e-07,4.43001180856136e-05
"WBGene00015400",-1.48604711008566,3.63445437381106,35.6282286596765,4.66088645857611e-07,5.04395306439034e-05
"WBGene00008296",0.896145994441364,4.0019215506552,35.324727873669,5.06581136745531e-07,5.4396603924024e-05
"WBGene00001792",2.15737577907498,1.14447785991035,35.1653452073864,5.43126064077912e-07,5.77621533276186e-05
"WBGene00002056",-0.433427853297456,8.27432711332134,35.0519890327385,5.4626350605819e-07,5.77621533276186e-05
"WBGene00008678",1.62536752276731,2.46347861775577,34.6579360892458,6.11347895898319e-07,6.41544776816933e-05
"WBGene00007068",0.529923719750937,4.73701273238558,34.0448232540408,7.23905943409921e-07,7.53950761512348e-05
"WBGene00004059",0.373850313411023,6.10501532064569,33.9205071824985,7.49676126093161e-07,7.74963708853915e-05
"WBGene00020938",-1.0253509560187,2.35654816502554,33.5280164305697,8.38876069563337e-07,8.607489863401e-05
"WBGene00008874",1.37687080005561,2.50682690980246,33.1992464870451,9.20862679703322e-07,9.37925723474296e-05
"WBGene00016335",0.621355515580021,5.52920541488673,32.8224812589674,1.02419483563628e-06,0.000103555816519954
"WBGene00011122",0.306864764921158,6.888379248758,32.3512568940278,1.17269919634446e-06,0.000117711806288141
"WBGene00009512",0.807901856914492,4.89665340413092,31.7939051009788,1.37807717434158e-06,0.000137331834668918
"WBGene00019895",-0.558458505477936,8.10605439882231,30.9806356481342,1.74793502593125e-06,0.000172945685565712
"WBGene00013035",-0.436077633339811,5.29393777761385,30.9299713450507,1.77419807481054e-06,0.000174299232143799
"WBGene00007848",0.447560625760653,7.54505945137535,30.853821713565,1.81442582753372e-06,0.000176995961711247
"WBGene00003611",0.587820098676151,3.63251228012458,30.7902868592605,1.8490072518412e-06,0.000179108031136394
"WBGene00007404",-1.37874856685544,1.89327841367262,30.5000957475071,2.01884289433957e-06,0.000194201470641609
"WBGene00004191",0.524136783961506,3.84176045744886,30.3699074534298,2.09382157200834e-06,0.000200024940796272
"WBGene00016506",0.85074152453109,3.26802275762021,29.1346621109073,3.03166626417315e-06,0.000287634528022784
"WBGene00019060",0.729667193944538,5.65818244304863,28.9146564467573,3.23984882072951e-06,0.000305295141937042
"WBGene00007650",-0.335149085711188,4.90673834083692,28.7300229731991,3.42681104737754e-06,0.000320730990731579
"WBGene00001753",1.59573639774414,8.04104038944998,28.611795595161,3.55235368136964e-06,0.000326852605023875
"WBGene00017048",0.624701156980655,4.01576900708793,28.6080482803359,3.55675740873073e-06,0.000326852605023875
"WBGene00011674",4.0149328626981,0.40900902028872,27.3734229083449,3.56300486273499e-06,0.000326852605023875
"WBGene00004999",-0.470075954418462,8.70590539395242,28.4997096094768,3.67590460868619e-06,0.000334990991049481
"WBGene00011684",0.599139065747182,4.06868227591512,28.3362035027424,3.86466350783373e-06,0.000349890973271326
"WBGene00019599",0.532176202039807,5.8782510511576,28.2182473037124,4.00648767242184e-06,0.000358195827861189
"WBGene00011767",-0.401494409549718,5.48019720642579,28.2169314941908,4.00811098169826e-06,0.000358195827861189
"WBGene00008654",-0.583075153474685,5.10191071800861,28.1824344909103,4.05076671129243e-06,0.000359687310800146
"WBGene00007130",0.708405625332471,3.88662386366731,27.9742409003392,4.31879129823475e-06,0.000381043930338521
"WBGene00012911",0.493955635162155,6.29078683511054,27.6704845046422,4.74256651173636e-06,0.000413725055053147
"WBGene00006757",0.310439605952561,7.27513063646074,27.6504771597547,4.7719984694467e-06,0.000413725055053147
"WBGene00019495",-0.607019583217819,7.03157828188042,27.645869934295,4.77880514066586e-06,0.000413725055053147
"WBGene00017818",-0.674113107244015,2.23651598018638,27.5403300601403,4.94033963478272e-06,0.000425053320627393
"WBGene00017022",0.977847772383587,2.20194079280205,27.4800621472067,5.03437208908741e-06,0.000430469889987894
"WBGene00012494",0.606593084364976,3.50399497230995,27.3780431131782,5.19327066224325e-06,0.000441332424622046
"WBGene00019619",-1.00626597339223,7.58509563787386,27.2784298752597,5.35581553878131e-06,0.00045237046855609
"WBGene00017574",0.424725324178883,4.21576976052194,27.0095014540362,5.82468792860871e-06,0.000488991376891442
"WBGene00014000",0.883268811605238,5.06856161379486,26.8742059871733,6.07615927641221e-06,0.000507029869258205
"WBGene00004194",0.334541310504762,4.75705042713233,26.8197881575577,6.18061433816125e-06,0.000512657903067124
"WBGene00003720",0.550743741458748,3.85594674294058,26.6993992819559,6.41896086747182e-06,0.000529258606763212
"WBGene00000996",0.378505775037424,6.18210576552113,26.6671797742933,6.48361503944139e-06,0.000531426245718001
"WBGene00018403",0.818852405547704,3.98985895938886,26.4433072870499,6.95750362026914e-06,0.000566913765576283
"WBGene00019234",0.76622589963716,4.63424739720586,26.2154610975882,7.47649793717813e-06,0.000605640055121587
"WBGene00013101",1.90255846686684,3.10229524783102,26.0351619907375,7.91826355384191e-06,0.000637696434580338
"WBGene00021370",0.644247714785488,4.23276207838277,25.9010321674752,8.26066298637021e-06,0.000658668038315737
"WBGene00021352",0.380518445413871,5.7478324197507,25.8958228818364,8.27376831265798e-06,0.000658668038315737
"WBGene00015303",0.373252809840975,4.38201068464249,25.7289049508565,8.72593905070345e-06,0.000690695472744824
"WBGene00011756",0.406473431419914,5.97881196555472,25.3978293487754,9.69983008735416e-06,0.000763420718011533
"WBGene00009396",0.390191479617876,6.17668713726037,25.3320891888054,9.90655004507899e-06,0.000775285487143696
"WBGene00019100",1.03075221486307,3.11645566748959,25.104183960687,1.06629855835996e-05,0.000825860574195853
"WBGene00014697",0.961271701971079,5.11671338016479,25.1007272789987,1.06720360078731e-05,0.000825860574195853
"WBGene00009215",-2.30654810534551,0.831428507698192,25.0236993757016,1.07878776447888e-05,0.000830187117420084
"WBGene00016450",-0.535674025019071,6.22348366238865,24.9448969951172,1.12218768515787e-05,0.00085881457540369
"WBGene00011222",-0.339445599165015,6.19803772124429,24.662192529927,1.22973332315176e-05,0.000935948680895501
"WBGene00018146",-0.41470615401519,5.97954766389777,24.6113929628946,1.25018166044364e-05,0.000946312369424335
"WBGene00020128",0.908777265203379,7.01620601267172,24.404175466208,1.33736400658889e-05,0.00100680251191681
"WBGene00001775",-0.449360845026144,6.51454560120823,24.3154283122358,1.37663644998801e-05,0.00103076584352615
"WBGene00011799",1.03333234024249,3.0660103138035,24.184954971579,1.43694397160423e-05,0.00107013698358397
"WBGene00017681",0.542262060091944,4.29307029765394,24.1157702294193,1.46956527833668e-05,0.00108857851526843
"WBGene00007867",-1.27459676361693,4.03809078516745,24.0564445742499,1.49844305083238e-05,0.00110311482339668
"WBGene00001762",2.2396061348882,1.32640302324487,24.0783962651991,1.50511624041274e-05,0.00110311482339668
"WBGene00000136",-0.776960400701253,4.98385730908184,23.4179276352725,1.84927412620951e-05,0.0013482181682239
"WBGene00021611",0.552446159309902,3.44025143473944,23.3862700083407,1.8689652853625e-05,0.00135544016402311
"WBGene00019660",0.949724465222685,3.4164448613982,22.9550947324716,2.15725152830831e-05,0.0015563670921941
"WBGene00003996",0.281186190906073,6.40490513118608,22.8740767963283,2.21616258921496e-05,0.00159058467283967
"WBGene00020989",0.442524998360224,3.80677995477463,22.6628943057117,2.37880613770041e-05,0.00169851662986732
"WBGene00004195",0.400714956129903,4.33986906234471,22.4573825684549,2.54891022121705e-05,0.00181064125047685
"WBGene00010660",0.468458320814742,4.99479917878605,22.2822020509,2.70395192699211e-05,0.00191097663738238
"WBGene00017315",2.46620386249441,1.15469783964837,21.6374624350063,2.86815090334071e-05,0.00201673230015612
"WBGene00019471",-2.00419759958826,0.370391628008645,22.1362569726172,2.9140627040336e-05,0.00203866649375118
"WBGene00020082",-0.26770371403249,6.39988229245891,21.9921870432617,2.98297776796447e-05,0.00207639236391175
"WBGene00015381",0.706834090104525,3.76633703809955,21.9691824103557,3.0066282792158e-05,0.00208239074618486
"WBGene00003828",-0.708450164987624,5.97941407332153,21.8484339502393,3.13238608414982e-05,0.00215869711630067
"WBGene00003725",0.680443765352567,3.49704582857406,21.8123561637592,3.17142944524641e-05,0.00217478419185908
"WBGene00017625",0.637753355133274,2.88825168522856,21.7216682826039,3.27121594235812e-05,0.0022321617356426
"WBGene00022515",-0.467615147447024,4.80452389422673,21.3581231472338,3.7040417433598e-05,0.00251194475086393
"WBGene00021587",0.91770004559331,5.59960853499333,21.3475174288035,3.71750414327972e-05,0.00251194475086393
"WBGene00016004",-0.77366040883504,4.1142927116526,21.3116944595322,3.7637336930781e-05,0.0025308368503164
"WBGene00019464",-0.550498897386422,3.5022275778713,21.1735170806328,3.94708619246727e-05,0.00264130618058245
"WBGene00008577",0.80684211481828,3.40686852132276,21.1484230313998,3.98141603920085e-05,0.00265146995072165
"WBGene00019830",1.17951475912751,5.02626659276044,21.0924630960403,4.05877215012445e-05,0.00269005319729779
"WBGene00008538",-0.996056685477985,3.36732401740624,21.0592262988257,4.1058556313705e-05,0.00270830058122592
"WBGene00011850",0.633050374209703,4.16291886552823,21.0396381042377,4.13344168064693e-05,0.00271357507868822
"WBGene00013875",0.996480702271515,3.6600459021328,20.9873178877409,4.20911445044309e-05,0.00275021949846876
"WBGene00017095",3.08374374441775,0.123321748796487,19.8289119423214,4.37556641279556e-05,0.0028455561478894
"WBGene00009973",0.534228514029235,6.21673131580013,20.7817342950598,4.51908795533263e-05,0.00292515917557325
"WBGene00004193",0.42354072791906,4.23694839632969,20.7655636412507,4.54473946709874e-05,0.00292808051619775
"WBGene00022258",0.752576215838595,3.83057684305864,20.6387196445577,4.74958605301855e-05,0.00304589194474134
"WBGene00011407",-0.821047064809007,2.31728674513026,20.6113018824942,4.79651364904315e-05,0.0030618113855551
"WBGene00022313",0.659025354503591,3.52179902223005,20.431901984306,5.10456434859351e-05,0.00324350575030814
"WBGene00021895",-0.382444578048086,4.83968655121936,20.2696012186559,5.40208375971897e-05,0.00341687964564508
"WBGene00015896",1.01397247009477,2.42550770500841,20.172302312826,5.59142392218842e-05,0.00352056382591609
"WBGene00008094",0.271139864325108,4.88576768579392,20.0083171898171,5.92080877574282e-05,0.00371108792586378
"WBGene00018958",0.472187760467025,4.68976521636283,19.9795487978045,5.98115214958474e-05,0.00373202340432648
"WBGene00018911",-0.879228480616063,2.78254909948964,19.964813956342,6.01450667445647e-05,0.00373600656746955
"WBGene00008462",-1.67404234173884,0.689175281060109,19.782055916556,6.46971538625827e-05,0.00400082578260936
"WBGene00016663",0.413551417725148,4.16710371528482,19.7204214645035,6.55386340702381e-05,0.00403484959618195
"WBGene00013946",-0.688296012598219,4.05825049704917,19.7074297470595,6.58412537942503e-05,0.00403554445822104
"WBGene00000302",-0.534043306503716,3.77386550775248,19.6217146735748,6.78701303809553e-05,0.0041415728900308
"WBGene00007183",2.03734820717229,-0.0576198710602214,19.033461885882,7.57135222691726e-05,0.00459992855470429
"WBGene00044488",0.948823572807861,4.22467381574304,19.2428108916137,7.76559309775365e-05,0.00469269594845272
"WBGene00020891",0.42960380354159,6.67259925228817,19.2332146580017,7.79179951013663e-05,0.00469269594845272
"WBGene00022131",0.643618558596062,4.73355391888187,19.1537120604449,8.01636950125131e-05,0.00480704546888888
"WBGene00010928",-2.28235074034574,-0.621146090069896,18.983806435248,8.17947108001363e-05,0.00488370833622193
"WBGene00017390",2.21593842482318,0.414859191902624,19.0741973755178,8.3466565692658e-05,0.00496214106426909
"WBGene00018241",0.659961148266394,1.81974456079984,18.9783787924522,8.53996025409301e-05,0.00505536450596993
"WBGene00015043",0.650338096209999,2.70662925323058,18.9285199651068,8.69124619555434e-05,0.00512302733194973
"WBGene00003907",0.385824517723621,4.35454710812924,18.5865998991217,9.82806779283285e-05,0.00576857606213223
"WBGene00002855",0.231256374153491,6.96692896068398,18.345316291004,0.00010724756512252,0.00626832604251962
"WBGene00010019",1.177620255095,2.83909705595296,18.2755879566002,0.000110036436443386,0.00640430553619236
"WBGene00010023",1.67764182860858,-0.479182432759022,18.2868353011412,0.000111417786363996,0.00645756977704635
"WBGene00004196",0.37159280833384,4.0413123343686,18.2119523658668,0.000112577206557343,0.00647510954053098
"WBGene00016939",0.595036103736356,3.5551974952488,18.2101175430245,0.00011265531325931,0.00647510954053098
"WBGene00003621",0.646933922270196,4.51739801611909,18.1116606656484,0.000116761774753815,0.00668340538797457
"WBGene00009526",1.60090711329161,1.62654438370876,18.0775337565541,0.000118926563058757,0.00677930350407365
"WBGene00008799",1.17092147950996,0.941099267927001,18.0455043553615,0.000120498151407012,0.00684073931676201
"WBGene00003091",0.708613844679535,7.71699000757754,17.8147978455532,0.00013014120465814,0.00734468090877057
"WBGene00019885",1.04715731941927,1.41048646656457,17.8132026425912,0.000130435424744265,0.00734468090877057
"WBGene00001480",0.555171306958492,5.10898946228989,17.7935739156467,0.00013115853443326,0.00735549805250817
