"","logFC","logCPM","F","PValue","FDR"
"WBGene00011673",6.52908315265947,9.55273959753536,687.132458501976,2.26364062505513e-27,3.13559499382637e-23
"WBGene00000372",8.11282374232878,8.41927853676183,393.734461317969,8.92175767511281e-23,6.17920936578313e-19
"WBGene00019515",3.31806944051176,7.4484669641948,312.984741316885,6.83666707563314e-21,2.36850355343274e-17
"WBGene00020394",3.74648951152504,2.55611237284524,313.194214327206,6.83945582856698e-21,2.36850355343274e-17
"WBGene00011671",6.52645366184734,7.21120305645252,308.7484280911,9.36824127652206e-21,2.59537756324767e-17
"WBGene00008519",3.23555605871846,4.87324334290462,299.44931191904,1.53300715911583e-20,3.53920252801209e-17
"WBGene00010904",2.02669236474941,8.52394414345389,292.687638509646,2.3208908640154e-20,4.59271146404876e-17
"WBGene00020587",1.88065238419607,5.80508747373388,265.501340346631,1.34954476265778e-19,2.33673675654195e-16
"WBGene00004236",4.722904463902,3.60184851454336,255.607601763333,2.86853650421705e-19,4.41499640626829e-16
"WBGene00022813",3.00458856645449,7.70989002365025,229.529414625794,1.79284228170099e-18,2.48344512861221e-15
"WBGene00018206",2.47322784218378,8.06755704306439,224.450883968815,2.65519179220641e-18,3.34361060960393e-15
"WBGene00007946",5.28621572134832,3.71611232477018,211.252815854862,8.09834502928726e-18,9.34818961214059e-15
"WBGene00021567",9.57833183819948,7.09597979030763,210.834560392341,9.59817318080035e-18,1.02272226846497e-14
"WBGene00018913",9.07180303624792,7.07404155207523,185.331580808798,1.21039844675359e-17,1.19760280603077e-14
"WBGene00016340",6.2565326291282,6.13807562024059,199.568543287721,2.06988765736614e-17,1.91147225532238e-14
"WBGene00044514",4.48388892740684,4.11116023166445,199.830904425123,2.43526005329374e-17,2.10832639113905e-14
"WBGene00022261",2.60212427418741,4.30266676197718,189.328557680219,5.04983179066897e-17,4.11472176260862e-14
"WBGene00009255",6.48728882999237,4.01151711830694,180.223955920932,1.23903653093373e-16,9.53507445916338e-14
"WBGene00001756",4.97404876055622,6.28348883142175,169.162112746153,3.56541762992307e-16,2.59937710577339e-13
