,logFC,logCPM,F,PValue,FDR
WBGene00011673,8.70690673,9.552739598,1117.256918,1.5363827212151e-31,2.12819734542715e-27
WBGene00011671,9.750385296,7.211203056,771.0345296,2.62830126348342e-28,1.82036145508861e-24
WBGene00007231,6.160456171,3.751620393,751.7768556,3.98012234028912e-28,1.83775515525616e-24
WBGene00010413,9.056008831,0.013535558,316.535593,2.17370267845685e-27,7.52753237549609e-24
WBGene00044514,7.487190126,4.111160232,677.9159628,4.38558106000819e-27,1.15656054112676e-23
WBGene00000986,6.444873517,3.654270973,665.2944388,5.00964716052596e-27,1.15656054112676e-23
WBGene00020587,2.961588887,5.805087474,636.8932272,9.89199793767289e-27,1.77291536813422e-23
WBGene00077764,4.138947386,2.718899302,636.4011225,1.02391878032586e-26,1.77291536813422e-23
WBGene00019818,4.912529524,3.485622245,599.2025751,3.27617578283833e-26,5.04239854931962e-23
WBGene00019515,4.580444854,7.448466964,584.5248839,5.22130122991098e-26,7.23254646367269e-23
WBGene00022813,5.002818599,7.709890024,573.5066702,7.53716033908144e-26,9.49134045608692e-23
WBGene00001756,8.240804414,6.283488831,548.4485742,2.00809757869058e-25,2.18765453348438e-22
WBGene00011672,4.980532368,5.990304787,544.4753985,2.05309767075491e-25,2.18765453348438e-22
WBGene00004236,6.264900843,3.601848515,533.8274562,3.35850538933005e-25,3.28305352494647e-22
WBGene00007232,4.329912135,3.746968952,529.2778234,3.55514025947134e-25,3.28305352494647e-22
WBGene00017480,1.941454727,7.436375446,522.1935816,4.57628248139533e-25,3.961916558268e-22
WBGene00007811,2.968929327,6.974742237,517.0975978,5.52318386696405e-25,4.50042017206977e-22
WBGene00006890,2.179850415,7.003044688,503.6870297,9.13557089134857e-25,7.03032933260891e-22
WBGene00010904,2.661999597,8.523944143,491.9837201,1.43190134457548e-24,1.04393144342419e-21
WBGene00044658,4.418429665,3.255453157,488.0335509,1.68419500662296e-24,1.16647346158706e-21
WBGene00000372,8.765412105,8.419278537,476.8629676,2.36512973899987e-24,1.56008462593458e-21
WBGene00018206,3.672241426,8.067557043,475.4451768,2.74953527113337e-24,1.69432114834937e-21
WBGene00019516,4.085798164,4.503355602,474.9417389,2.81326786110566e-24,1.69432114834937e-21
WBGene00021610,3.183382993,2.856245549,448.090269,8.54100013996213e-24,4.92958058078147e-21
WBGene00016505,2.442032414,4.207914502,441.0344878,1.14643998538326e-23,6.35219467101156e-21
WBGene00016174,3.594291862,3.431850663,431.4062775,1.74821017734308e-23,9.31392591406015e-21
WBGene00010706,4.124819011,2.599896027,411.8466554,5.03790138537862e-23,2.58462999963943e-20
WBGene00015045,8.870515153,4.256654282,395.6960804,6.91845704137726e-23,3.42265953346992e-20
WBGene00017970,1.934515138,7.301422473,391.776069,1.06590248935168e-22,5.0904085770318e-20
WBGene00003997,1.648926435,5.579777874,391.0727431,1.10245637677559e-22,5.0904085770318e-20
WBGene00001387,5.684384374,4.958384551,376.6732196,2.2301698965891e-22,9.96526238953298e-20
WBGene00011002,3.333319447,2.327034258,375.3003504,2.4166146964256e-22,1.03382871892046e-19
WBGene00020891,1.920369118,6.672599252,374.6145787,2.46291854781801e-22,1.03382871892046e-19
WBGene00002270,4.4825182,1.222151149,374.3878387,3.19406115837203e-22,1.30129809311086e-19
WBGene00019875,1.177351628,7.428759996,363.9600747,4.21613529045721e-22,1.66862588695466e-19
WBGene00008032,2.039139776,6.61325478,360.8255394,4.95197173150488e-22,1.90540867846682e-19
WBGene00011190,4.579267748,3.968719654,358.8189688,5.53197702858195e-22,2.07105258918695e-19
WBGene00008607,-1.597567199,8.89549672,353.4108528,7.28148204422671e-22,2.65429182306917e-19
WBGene00010707,5.051735905,-0.78754257,199.5412531,1.06588207250829e-21,3.75371142190458e-19
WBGene00011800,4.046997825,6.756214511,345.9171497,1.08394785501143e-21,3.75371142190458e-19
WBGene00015692,2.326844389,4.662112638,343.7496481,1.21759506485632e-21,4.11368947277797e-19
WBGene00001814,-1.29359045,8.207256302,340.2814935,1.46762137129512e-21,4.84035505599524e-19
WBGene00015044,6.49040481,6.026052851,339.004208,1.5795451745196e-21,5.08833947847571e-19
WBGene00016863,5.789533068,3.485451033,338.106884,1.80138091868448e-21,5.67107465582215e-19
WBGene00009319,-0.852872447,7.280700163,334.8846224,1.97149504867213e-21,6.06869986982364e-19
WBGene00007215,-1.322970874,5.809695517,333.5944141,2.11705287507916e-21,6.33403233051933e-19
WBGene00017426,-1.668950897,6.571968488,333.3216903,2.14914466888831e-21,6.33403233051933e-19
WBGene00010697,1.99869382,6.780858918,332.0427665,2.30695169655271e-21,6.65747810430169e-19
WBGene00017244,2.430903623,9.99153524,330.993019,2.4455310602005e-21,6.91336658079539e-19
WBGene00006418,3.886156358,1.842131859,330.7128514,2.58432577146591e-21,7.15961611726915e-19
WBGene00022159,-1.921280327,6.074749339,328.7546438,2.77128279455364e-21,7.52702142552098e-19
WBGene00020382,-1.919974511,7.074444061,328.2078402,2.85728830388997e-21,7.6113764587469e-19
WBGene00003410,-1.454343321,6.45112354,327.5691533,2.96159640501914e-21,7.67018694764071e-19
WBGene00001390,1.765695023,3.920591154,327.4186258,2.99011041851428e-21,7.67018694764071e-19
WBGene00007072,3.924516107,4.289341706,325.8231403,3.28302879820941e-21,8.26845725687213e-19
WBGene00013435,-1.425736531,5.677364272,319.2439636,4.75342698845356e-21,1.1757941186439e-18
WBGene00003561,1.891260894,5.683230912,310.9391163,7.70419441739102e-21,1.87225440473159e-18
WBGene00008273,1.987290572,6.054117279,305.9607323,1.03487480492933e-20,2.45569550819453e-18
WBGene00021611,1.881345374,3.440251435,305.8100093,1.04595751504099e-20,2.45569550819453e-18
WBGene00000412,3.535541872,5.770681889,304.9242756,1.10266388405816e-20,2.54568335366228e-18
WBGene00001775,-1.654491022,6.514545601,303.4950888,1.19943696527326e-20,2.72370505622381e-18
WBGene00015752,-1.87582091,9.133880635,302.348994,1.28511531553438e-20,2.87119634690037e-18
WBGene00004176,6.492053572,2.903521813,305.685695,1.50816815333604e-20,3.31605480317632e-18
WBGene00017154,-3.099954276,7.178899617,296.2059985,1.86779722545267e-20,4.04261361983913e-18
WBGene00017488,4.580281015,-0.734658245,188.9517858,2.06127829028448e-20,4.39274259646471e-18
WBGene00019234,2.497290874,4.634247397,288.8946151,2.94321286011387e-20,6.1771794754996e-18
WBGene00007810,2.470808299,4.462461068,285.8932271,3.55749587114899e-20,7.35498997121728e-18
WBGene00017315,5.616097394,1.15469784,250.7100908,4.2641382857115e-20,8.68630051965818e-18
WBGene00015067,2.257338432,4.566123392,279.7373149,5.27226418471561e-20,1.05842613748812e-17
WBGene00010738,-4.79920233,8.887305611,278.6176759,5.6643542674383e-20,1.1162105894216e-17
WBGene00011894,2.86605481,3.843366341,278.4833475,5.7225130817472e-20,1.1162105894216e-17
WBGene00003415,-0.985866401,8.016735872,278.2476698,5.80184539693586e-20,1.1162105894216e-17
WBGene00045379,-2.116083601,4.561927548,276.2943201,6.59182211915225e-20,1.24945580482179e-17
WBGene00020947,2.606892684,3.530469248,276.1249906,6.67482887357871e-20,1.24945580482179e-17
WBGene00018488,-1.919220203,7.435751404,274.5441986,7.38808668966668e-20,1.36453035767017e-17
WBGene00235110,5.79045727,-1.068448762,158.0010028,9.57759228300401e-20,1.74564221452857e-17
WBGene00009812,-1.076825308,7.982735364,268.7087206,1.08756210475916e-19,1.95648185391219e-17
WBGene00017621,2.164806218,5.240161647,268.2394799,1.12249322148195e-19,1.99343283384205e-17
WBGene00001624,1.702674663,2.813465556,267.7425285,1.1644464006836e-19,2.04176095471763e-17
WBGene00044278,4.054983853,0.012622841,263.9244182,1.21695636390378e-19,2.10715994409939e-17
WBGene00011408,-1.609343359,6.298803383,260.398344,1.91057098517042e-19,3.26731225760256e-17
WBGene00002007,-1.415547174,11.45322484,258.520208,2.17468097226948e-19,3.67361961315571e-17
WBGene00004020,-2.262339249,5.990969128,257.9915742,2.2559888990243e-19,3.76505520834755e-17
WBGene00020110,-0.962121164,6.760258591,256.4416217,2.51220163365233e-19,4.1100291859926e-17
WBGene00000017,2.234128612,5.53663389,256.3862264,2.52203639048059e-19,4.1100291859926e-17
WBGene00012909,-1.781579877,5.315798697,255.3050168,2.71987266978872e-19,4.38089258394342e-17
WBGene00016594,2.55159829,7.291369975,253.3934986,3.10981032249179e-19,4.90744135035136e-17
WBGene00003964,-1.033633625,10.46317802,253.2957638,3.13126064742424e-19,4.90744135035136e-17
WBGene00021327,-0.785210674,6.145450503,253.1974354,3.15306295250701e-19,4.90744135035136e-17
WBGene00008775,-1.087548904,6.322435294,252.8474701,3.23177588920114e-19,4.97406217969047e-17
WBGene00020301,0.978813914,5.381936557,251.9358721,3.44677006246497e-19,5.24666581376536e-17
WBGene00010627,-1.528335156,8.895395607,251.1389415,3.64673738667804e-19,5.43356112636305e-17
WBGene00010478,-1.531121564,8.745401875,251.1340556,3.64800162252212e-19,5.43356112636305e-17
WBGene00015168,-1.458858336,9.881012847,250.5611365,3.79942922666684e-19,5.59890357955203e-17
WBGene00003877,-1.711871451,8.190623459,249.7013465,4.03917128211013e-19,5.889536905241e-17
WBGene00019543,-0.954288479,7.710727172,249.3457747,4.14290704431772e-19,5.97786962269678e-17
WBGene00020915,-1.664172625,9.105569699,249.1012843,4.2158455429961e-19,6.02040128469917e-17
WBGene00022306,0.949308364,6.031918067,246.7732004,4.98189739878671e-19,7.04175946612178e-17
WBGene00011480,-1.415152626,10.56441154,246.1203668,5.22183760790811e-19,7.30635298431749e-17
WBGene00017431,1.878799874,6.135936593,245.606516,5.41941030712197e-19,7.50696715742535e-17
WBGene00010524,-1.240213969,6.13244953,244.8731177,5.71485495899598e-19,7.83783870217944e-17
WBGene00013882,2.301580892,6.020835033,242.9669946,6.56464157805163e-19,8.91504069991874e-17
WBGene00010303,-1.826734489,7.890168086,242.6665614,6.71003891048623e-19,8.98604077703803e-17
WBGene00004894,1.293384363,4.365570593,242.6010917,6.746666480017e-19,8.98604077703803e-17
WBGene00019965,1.551819461,5.85156534,242.1711322,6.95772703581245e-19,9.17889856191182e-17
WBGene00009383,2.153435621,7.221617492,239.558845,8.43058597091188e-19,1.10170261197237e-16
WBGene00010032,-3.029685569,4.414991576,236.7708142,1.03809755334861e-18,1.34389974850326e-16
WBGene00018340,-1.609160689,5.652794555,236.5548581,1.05382130405783e-18,1.35162339850084e-16
WBGene00002238,-1.278803383,8.738453267,236.2860585,1.07510602372365e-18,1.36627235235046e-16
WBGene00010896,-2.04687923,8.745953347,235.2993872,1.15752792495963e-18,1.45764334695825e-16
WBGene00021088,-1.554901154,9.623360972,233.1463317,1.36124241551844e-18,1.69873242700553e-16
WBGene00018430,2.216125205,3.648809242,232.7472289,1.40529208112203e-18,1.73804517033057e-16
WBGene00009920,1.27964613,8.400786036,231.854709,1.50119862544428e-18,1.8402303858101e-16
WBGene00016906,-1.120434006,5.482585873,229.8414592,1.75029786295361e-18,2.12676543838889e-16
WBGene00003752,1.489224559,5.61708123,229.113635,1.85065034004616e-18,2.21893405727928e-16
WBGene00008743,3.135045606,4.703760376,229.0698197,1.85818907482238e-18,2.21893405727928e-16
WBGene00017220,1.606646909,5.038807659,228.077178,2.004418727715e-18,2.37262382372298e-16
WBGene00019104,4.977078047,1.994605689,229.4071833,2.02114937337071e-18,2.37262382372298e-16
WBGene00003995,2.061682152,8.060568518,227.4162924,2.10886920893558e-18,2.45479464556098e-16
WBGene00001621,1.258024445,3.824479187,226.9490811,2.18840632144398e-18,2.51199985418175e-16
WBGene00021048,2.072319383,6.876196502,226.9025063,2.19428228671666e-18,2.51199985418175e-16
WBGene00004008,2.685238871,7.983934665,226.2820818,2.30227871603231e-18,2.6140298995475e-16
WBGene00006617,-0.955434904,8.464202354,225.3174072,2.48142537893907e-18,2.794528808867e-16
WBGene00001025,-0.785919129,7.146986151,224.5176689,2.64102201368947e-18,2.95027717206665e-16
WBGene00002066,-0.967376544,9.101595957,223.7908795,2.79538761013053e-18,3.06846110840009e-16
WBGene00001228,-0.870263303,7.892558767,223.789435,2.79570654381311e-18,3.06846110840009e-16
WBGene00020895,1.485263778,5.273468408,223.711487,2.81327289031772e-18,3.06846110840009e-16
WBGene00018748,2.295015491,3.25892019,223.3765147,2.89349048988739e-18,3.10331180362109e-16
WBGene00001209,-0.999083396,8.846337512,223.3130421,2.90201535538125e-18,3.10331180362109e-16
WBGene00016180,6.153506719,5.795072586,223.2492642,2.92075770774632e-18,3.10331180362109e-16
WBGene00001232,-0.831007405,7.801476715,223.1696612,2.93483862456225e-18,3.10331180362109e-16
WBGene00015920,-1.135700957,7.534091934,222.6605095,3.05456642672944e-18,3.20544349568608e-16
WBGene00013181,2.746330541,5.228245916,222.4189076,3.11396129837241e-18,3.24320239887629e-16
WBGene00022173,-1.195099638,5.279761348,222.1926364,3.16939228197394e-18,3.25973036715494e-16
WBGene00001650,-1.093514808,7.60334604,222.1614505,3.17689575199189e-18,3.25973036715494e-16
WBGene00021934,-1.223713154,8.372697006,221.2457407,3.41489974785121e-18,3.47817583141434e-16
WBGene00001497,-1.285788314,7.188484029,221.0011603,3.48159378300424e-18,3.49969637621651e-16
WBGene00011771,-1.286429452,8.195497866,220.959013,3.49321246384749e-18,3.49969637621651e-16
