"","logFC","logCPM","F","PValue","FDR"
"WBGene00011673",8.69891402252418,9.55273959753536,1115.56966367867,1.58338951056741e-31,2.19331115003797e-27
"WBGene00010904",3.80272118829029,8.52394414345389,929.915778190175,5.86849174715573e-30,4.06451738408006e-26
"WBGene00018206",4.91000177164173,8.06755704306439,785.479361490226,1.64107729735013e-28,7.57740090763134e-25
"WBGene00000372",9.56997458188962,8.41927853676183,582.46231220717,5.03639273631962e-26,1.74410280458749e-22
"WBGene00011671",8.28534042226992,7.21120305645252,549.738001766194,1.86654878184408e-25,5.17108674522083e-22
"WBGene00019515",4.36248550996964,7.4484669641948,533.787268439877,3.00447185766628e-25,6.93632402873221e-22
"WBGene00018913",11.2527505787342,7.07404155207523,393.735347556666,5.14937064248261e-24,1.01898688770956e-20
"WBGene00000412",4.25242496898274,5.7706818893049,446.764463161665,8.98486128914695e-24,1.5557287322158e-20
"WBGene00021567",11.7211031320085,7.09597979030763,440.07639362968,1.61853394159284e-23,2.49110357321601e-20
"WBGene00022813",4.16106243659853,7.70989002365025,418.598205983718,3.07131729844728e-23,4.25438872180918e-20
"WBGene00017244",2.7453432007508,9.99153523979481,412.370413931591,4.07231920736134e-23,5.12816051457902e-20
"WBGene00001756",6.92360991798049,6.28348883142175,379.894565320276,2.09171543703265e-22,2.41453685281469e-19
"WBGene00011800",4.18583401912838,6.75621451145813,368.102115088655,3.41789479282259e-22,3.6418983592445e-19
"WBGene00020592",1.70848568880242,6.36908943546935,354.721690702978,6.79826192744377e-22,6.72639458706793e-19
"WBGene00003995",2.55543879902731,8.0605685178166,341.103827761611,1.40361913817178e-21,1.29619548679703e-18
"WBGene00019886",7.3530167163303,2.98011930321853,212.180472280911,1.89625130601139e-19,1.64167956817936e-16
"WBGene00015044",5.42810429220751,6.02605285053674,244.90373164156,5.72081713593153e-19,4.66145640981904e-16
"WBGene00011672",3.12432774862309,5.99030478708368,222.91323791766,2.9966391705846e-18,2.30608032171877e-15
"WBGene00017480",1.20237085009835,7.4363754456218,205.513821341528,1.2311134687952e-17,8.55750596777564e-15
"WBGene00022261",2.6885298196373,4.30266676197718,205.513244943444,1.23556251339527e-17,8.55750596777564e-15
