"","logFC","logCPM","F","PValue","FDR"
"WBGene00011673",9.61767312504197,9.55273959753536,1301.52644305379,7.26156633719157e-33,5.1380146356823e-29
"WBGene00010904",4.65109841765429,8.52394414345389,1299.77888251184,7.41844446387858e-33,5.1380146356823e-29
"WBGene00019515",6.54085495902705,7.4484669641948,1075.56247123894,3.26493853577893e-31,1.50753095325366e-27
"WBGene00003995",4.87887680781469,8.0605685178166,1046.67142732709,5.60816561159749e-31,1.94210775129621e-27
"WBGene00007331",-4.73174890497605,7.09775001808051,1026.37390487224,8.28074546946745e-31,2.29409772486126e-27
"WBGene00002260",6.27171026682072,4.45650681709873,974.71846995224,2.4337685993444e-30,5.61876043968644e-27
"WBGene00018206",5.15168977851964,8.06755704306439,850.115044066248,3.45834546921277e-29,6.84357163421933e-26
"WBGene00011671",9.85098426121035,7.21120305645252,786.683490052737,1.77274637246288e-28,3.06951034391947e-25
"WBGene00044811",5.1268807502912,3.78689475019616,746.706710430128,4.49543801265589e-28,6.91897859458993e-25
"WBGene00000372",10.526462174346,8.41927853676183,712.614249984356,9.8753025493758e-28,1.24904156614292e-24
"WBGene00017480",2.29360899141812,7.4363754456218,715.213809556331,1.03049768827305e-27,1.24904156614292e-24
"WBGene00017244",3.76959492841795,9.99153523979481,713.430907535036,1.08204582686363e-27,1.24904156614292e-24
"WBGene00018913",12.9020506620311,7.07404155207523,577.481047641667,1.80506124923169e-27,1.92336218648903e-24
"WBGene00022813",5.56834306401055,7.70989002365025,682.480646491919,2.57427540130788e-27,2.54706163277977e-24
"WBGene00000412",5.23835055891733,5.7706818893049,673.350214150765,3.35485293101772e-27,3.09809485336383e-24
"WBGene00021567",13.4172283000434,7.09597979030763,651.30122784351,9.27329445572062e-27,8.02835467504013e-24
"WBGene00004990",-1.96829955089047,8.40189052235374,624.529610585993,1.44712276244007e-26,1.14492444161037e-23
"WBGene00008273",2.87639114193907,6.05411727864845,623.644900457861,1.48777360301665e-26,1.14492444161037e-23
"WBGene00007810",3.60272081479584,4.46246106792628,621.356812372621,1.60006923312719e-26,1.16653468511989e-23
"WBGene00015930",2.5291686329301,4.42959484072319,588.318846914896,4.60878282854759e-26,3.19204298705206e-23
"WBGene00022261",4.36134849193115,4.30266676197718,583.747576941657,5.388352001866e-26,3.55425961570704e-23
"WBGene00015759",-2.57365932644944,6.37179296567025,560.817381194846,1.16037504041227e-25,7.30614320899582e-23
"WBGene00008043",4.23029522383064,5.01103673436824,548.067613617616,1.80998307119371e-25,1.09008197835545e-22
"WBGene00001756",8.23354800813882,6.28348883142175,547.666937597112,2.06381306600695e-25,1.19116410793034e-22
"WBGene00011800",5.15640688029709,6.75621451145813,536.340082747775,2.74166232402275e-25,1.51910026049453e-22
"WBGene00019516",4.20919537658895,4.50335560224096,505.699391417005,8.49023530635898e-25,4.47962371900262e-22
"WBGene00015087",2.69562555151039,4.12059011614069,504.918592874755,8.73157958511916e-25,4.47962371900262e-22
"WBGene00018226",1.19855245633095,5.34278443567657,500.29689761001,1.03959787464335e-24,5.14303919984276e-22
"WBGene00016450",-2.62133459970414,6.22348366238865,496.900634926634,1.18423041120292e-24,5.65653781240788e-22
"WBGene00010665",3.1458867569973,9.03005659077866,477.165878346847,2.56609507385776e-24,1.18485163210259e-21
"WBGene00010470",4.3180621397866,6.19909727199848,444.654950914684,9.81209849475944e-24,4.38442543062606e-21
"WBGene00020592",1.78709149610414,6.36908943546935,388.377481410422,1.25485991345762e-22,5.43197485037966e-20
"WBGene00011190",4.70313043934047,3.96871965433179,381.022485883947,1.80763463531805e-22,7.58768332376534e-20
"WBGene00013176",1.52751282695601,6.43391535618636,377.228250814219,2.16319322070635e-22,8.81310367447776e-20
"WBGene00019645",3.7528690011312,6.5606587523105,366.877054736064,3.63455479775169e-22,1.43845294452733e-19
"WBGene00020895",1.89652753992408,5.27346840842478,364.943920521485,4.01046089150893e-22,1.54313622969949e-19
"WBGene00004003",2.57084905171749,6.9301515258882,362.037672254013,4.65263332531346e-22,1.74184531952005e-19
"WBGene00001668",3.11789686269075,1.43850765102225,362.035709889826,4.91909107461402e-22,1.79313814646193e-19
"WBGene00017515",2.9055193799566,4.65194646022282,358.576270711359,5.56645410234536e-22,1.97709031347918e-19
"WBGene00007072",4.08175345887402,4.28934170562376,355.584318323026,6.53093709627655e-22,2.26166351644057e-19
"WBGene00011672",3.92978551853633,5.99030478708368,352.034558789896,7.83540475398828e-22,2.64722016224989e-19
"WBGene00007605",3.72018673337013,7.9640844262108,345.641820088221,1.09923763638114e-21,3.6253904140837e-19
"WBGene00018430",2.62912434274724,3.64880924246675,337.637850418624,1.6985765661815e-21,5.47178664994097e-19
"WBGene00006890",1.76270891980498,7.00304468803707,336.125194662788,1.84149726730684e-21,5.70146895587518e-19
"WBGene00007364",8.15378488536213,3.70794841492995,337.475341532584,1.85219537261322e-21,5.70146895587518e-19
"WBGene00012531",2.44517317650304,7.40465124354788,322.212327933981,4.01029013280398e-21,1.20762041129567e-18
"WBGene00011676",2.28224452831124,5.05610453557915,319.334000446403,4.73052255455345e-21,1.39419571118456e-18
"WBGene00004236",5.07095784334119,3.60184851454336,314.132277108152,6.95547974128483e-21,2.00723552867245e-18
"WBGene00008607",-1.49025074208504,8.89549671997358,309.839174593195,8.21977094543226e-21,2.32367892114546e-18
"WBGene00012251",-2.18976011071894,4.05958893143572,309.061481569172,8.61628521551493e-21,2.38705565610626e-18
"WBGene00017024",6.42327549970205,1.49228401138749,302.205487677599,1.1089828922261e-20,3.01208451433645e-18
"WBGene00008678",3.88202427656192,2.46347861775577,289.139049642302,2.95940114114541e-20,7.88338934752811e-18
"WBGene00009165",1.88003043360437,4.51489677653445,279.820755981702,5.24314032077638e-20,1.35417496542654e-17
"WBGene00004999",-1.5060333793327,8.70590539395242,279.706438269449,5.27905343149241e-20,1.35417496542654e-17
"WBGene00016425",3.2410008960618,2.83103653359635,274.863928217024,7.28110868945018e-20,1.83378031938662e-17
"WBGene00015337",5.07711820555724,1.20942608076046,259.273668001366,1.00921747246117e-19,2.49637150509502e-17
"WBGene00017691",-3.89509698646246,6.41432690079175,257.613868393974,2.3158841516172e-19,5.628004783895e-17
"WBGene00000784",-1.81801337264285,10.3442809376215,253.111707007255,3.17211004538904e-19,7.57587385322913e-17
"WBGene00001781",4.34647450716673,3.58612624401533,248.02468021186,4.58345789923542e-19,1.07610269186795e-16
"WBGene00019965",1.56653871121581,5.85156534014687,247.179037888206,4.83859166813796e-19,1.11706952978412e-16
"WBGene00017838",2.83155918717032,3.46572862059342,246.523965301665,5.08341703881579e-19,1.15435234133896e-16
"WBGene00016174",2.7569675723557,3.43185066299762,243.199702016528,6.47954591522481e-19,1.42785264952386e-16
"WBGene00270321",3.58390392744432,2.65058661341944,243.33544615696,6.49398764943713e-19,1.42785264952386e-16
"WBGene00019968",4.49742223980988,4.41153930477905,241.029242481841,7.58949566477394e-19,1.64265146794451e-16
"WBGene00007650",-0.968738216436204,4.90673834083692,228.323970663782,1.96665158820493e-18,4.1910858153561e-16
"WBGene00021852",-0.959096320902887,8.5403521724366,227.072310826609,2.16563906811631e-18,4.54521702599199e-16
"WBGene00009259",0.927505617950702,9.05734817559649,226.049518847585,2.34418567272945e-18,4.78580035987638e-16
"WBGene00022076",-2.49406071602301,3.34215127126015,226.049525777557,2.34936777701122e-18,4.78580035987638e-16
"WBGene00008602",3.79058360234854,5.10102251085776,222.179819111642,3.17491746430437e-18,6.37376184283249e-16
"WBGene00004020",-2.02028008233022,5.99096912833395,213.074478765844,6.5821393038899e-18,1.30251133767833e-15
"WBGene00017336",3.6335545784933,4.92426992539983,212.417360299643,6.94956801367686e-18,1.35585093134439e-15
"WBGene00013874",-1.41572826450127,4.57700148721817,210.588639906678,8.07215830496293e-18,1.55299356722703e-15
"WBGene00015449",2.76598709870912,4.93157844971218,210.151371529875,8.36957545855975e-18,1.58815560619136e-15
"WBGene00008810",3.73881820018955,3.21308743966569,206.984783792399,1.09810347092165e-17,2.05553098367658e-15
"WBGene00017431",1.71284719897096,6.13593659339104,205.453380540958,1.23740814455715e-17,2.28541034912076e-15
"WBGene00004001",1.7247295233907,3.68089601237133,204.259363028413,1.37062099068568e-17,2.46667092675127e-15
"WBGene00044481",2.2711264093467,3.48470228525849,204.255674685967,1.37116417383661e-17,2.46667092675127e-15
"WBGene00004986",-1.68013315625173,6.21070154402583,203.157604573201,1.50236335880974e-17,2.66804323669648e-15
"WBGene00008634",-2.26591476441503,4.56828082846989,197.822653009692,2.37627559050652e-17,4.16660373160712e-15
"WBGene00003652",1.40844749835067,4.75810829934827,192.621574175353,3.750451632117e-17,6.49390700101058e-15
"WBGene00016022",1.73276059594164,4.94894319284462,188.844815102353,5.25847014259459e-17,8.99263313768151e-15
"WBGene00019830",3.41453605507921,5.02626659276044,187.682678860257,5.84349277786636e-17,9.87122706817131e-15
"WBGene00018398",1.04784303154769,7.09179446908812,186.833519392461,6.30832177679188e-17,1.05280570183279e-14
"WBGene00007875",-2.77327057554964,5.43398404636673,185.821726146032,6.91973829579406e-17,1.14109779611118e-14
