family,study_id,namespace,input_genes,mapped_eligible_genes,reason
chemical_by_module,PFOS|M0,MF,2,1,fewer than 10 mapped eligible genes
chemical_by_module,PFOS|M1,MF,0,0,fewer than 10 mapped eligible genes
chemical_by_module,PFNA|M0,MF,8,5,fewer than 10 mapped eligible genes
chemical_by_module,PFNA|M1,MF,3,1,fewer than 10 mapped eligible genes
chemical_by_module,PFOA|M0,MF,5,3,fewer than 10 mapped eligible genes
chemical_by_module,PFOA|M1,MF,1,0,fewer than 10 mapped eligible genes
chemical_by_module,PFOA|M2,MF,7,5,fewer than 10 mapped eligible genes
chemical_by_module,GenX|M0,MF,12,8,fewer than 10 mapped eligible genes
chemical_by_module,GenX|M1,MF,1,1,fewer than 10 mapped eligible genes
chemical_by_module,PFBA|M0,MF,4,4,fewer than 10 mapped eligible genes
chemical_by_module,PFBA|M1,MF,0,0,fewer than 10 mapped eligible genes
chemical_by_module,PFOS|M0,BP,2,1,fewer than 10 mapped eligible genes
chemical_by_module,PFOS|M1,BP,0,0,fewer than 10 mapped eligible genes
chemical_by_module,PFOS|M2,BP,15,9,fewer than 10 mapped eligible genes
chemical_by_module,PFNA|M0,BP,8,4,fewer than 10 mapped eligible genes
chemical_by_module,PFNA|M1,BP,3,2,fewer than 10 mapped eligible genes
chemical_by_module,PFOA|M0,BP,5,3,fewer than 10 mapped eligible genes
chemical_by_module,PFOA|M1,BP,1,0,fewer than 10 mapped eligible genes
chemical_by_module,PFOA|M2,BP,7,5,fewer than 10 mapped eligible genes
chemical_by_module,GenX|M0,BP,12,4,fewer than 10 mapped eligible genes
chemical_by_module,GenX|M1,BP,1,1,fewer than 10 mapped eligible genes
chemical_by_module,PFBA|M0,BP,4,3,fewer than 10 mapped eligible genes
chemical_by_module,PFBA|M1,BP,0,0,fewer than 10 mapped eligible genes
chemical_by_module,PFOS|M0,CC,2,1,fewer than 10 mapped eligible genes
chemical_by_module,PFOS|M1,CC,0,0,fewer than 10 mapped eligible genes
chemical_by_module,PFOS|M2,CC,15,9,fewer than 10 mapped eligible genes
chemical_by_module,PFNA|M0,CC,8,5,fewer than 10 mapped eligible genes
chemical_by_module,PFNA|M1,CC,3,3,fewer than 10 mapped eligible genes
chemical_by_module,PFOA|M0,CC,5,3,fewer than 10 mapped eligible genes
chemical_by_module,PFOA|M1,CC,1,0,fewer than 10 mapped eligible genes
chemical_by_module,PFOA|M2,CC,7,5,fewer than 10 mapped eligible genes
chemical_by_module,GenX|M0,CC,12,9,fewer than 10 mapped eligible genes
chemical_by_module,GenX|M1,CC,1,1,fewer than 10 mapped eligible genes
chemical_by_module,PFBA|M0,CC,4,3,fewer than 10 mapped eligible genes
chemical_by_module,PFBA|M1,CC,0,0,fewer than 10 mapped eligible genes
