family,study_id,namespace,GO_id,term,enrichment,p_raw,study_count,study_n,pop_count,pop_n,p_fdr_bh_family
chemical_by_module,PFBSA|M3,BP,GO:0043207,response to external biotic stimulus,e,1.3150526454229926e-06,43,275,116,1469,0.0012485621225008002
chemical_by_module,PFBSA|M3,BP,GO:0044419,biological process involved in interspecies interaction between organisms,e,1.3150526454229926e-06,43,275,116,1469,0.0012485621225008002
chemical_by_module,PFBSA|M3,BP,GO:0051707,response to other organism,e,1.3150526454229926e-06,43,275,116,1469,0.0012485621225008002
chemical_by_module,PFBSA|M3,BP,GO:0009607,response to biotic stimulus,e,1.3150526454229926e-06,43,275,116,1469,0.0012485621225008002
chemical_by_module,PFBSA|M3,BP,GO:0006952,defense response,e,1.536003820087018e-06,43,275,117,1469,0.001437043665989635
chemical_by_module,PFBSA|M3,BP,GO:0009605,response to external stimulus,e,1.5387977160551155e-06,46,275,129,1469,0.001437043665989635
chemical_by_module,PFBSA|M3,BP,GO:0140546,defense response to symbiont,e,4.852902585766966e-06,32,275,80,1469,0.0035291753149148462
chemical_by_module,PFBSA|M3,BP,GO:0045087,innate immune response,e,4.852902585766966e-06,32,275,80,1469,0.0035291753149148462
chemical_by_module,PFBSA|M3,BP,GO:0098542,defense response to other organism,e,4.852902585766966e-06,32,275,80,1469,0.0035291753149148462
chemical_by_module,PFBSA|M3,BP,GO:0006955,immune response,e,1.759226190332001e-05,32,275,84,1469,0.009283773215772667
chemical_by_module,PFBSA|M3,BP,GO:0002376,immune system process,e,2.161896878061841e-05,32,275,85,1469,0.01083478048574459
chemical_by_module,PFBSA|M3,CC,GO:0000786,nucleosome,e,1.3591716199566112e-07,13,305,16,1577,0.0002092622258369053
chemical_by_module,PFBSA|M3,CC,GO:0032993,protein-DNA complex,e,1.3591716199566112e-07,13,305,16,1577,0.0002092622258369053
chemical_by_module,PFBSA|M3,CC,GO:0005694,chromosome,e,8.221335181012246e-07,18,305,30,1577,0.0008892518741138051
chemical_by_module,PFBSA|M3,MF,GO:0030527,structural constituent of chromatin,e,4.635008084054417e-08,13,307,15,1537,8.426789856987402e-05
chemical_by_module,PFBSA|M3,MF,GO:0046983,protein dimerization activity,e,3.0626960905373224e-07,18,307,28,1537,0.000425537966810356
chemical_by_module,PFBSA|M3,MF,GO:0046982,protein heterodimerization activity,e,7.083363841710192e-07,13,307,17,1537,0.0007982956427868488
