PFOSA,PFBSA,PFOS,PFNA,PFOA,GenX,PFEESA,PFBS,PFPeA,PFBA,gene_count,degree,intersection
True,False,False,False,False,False,False,False,False,False,3541,1,PFOSA
True,False,False,False,False,False,False,False,True,False,2910,2,PFOSA & PFPeA
True,True,False,False,False,False,False,False,True,False,1265,3,PFOSA & PFBSA & PFPeA
False,False,False,False,False,False,False,False,True,False,463,1,PFPeA
True,True,False,False,False,False,False,False,False,False,265,2,PFOSA & PFBSA
False,True,False,False,False,False,False,False,False,False,164,1,PFBSA
True,True,False,False,False,False,True,False,True,False,155,4,PFOSA & PFBSA & PFEESA & PFPeA
True,False,False,False,False,False,True,False,True,False,150,3,PFOSA & PFEESA & PFPeA
False,True,False,False,False,False,False,False,True,False,94,2,PFBSA & PFPeA
False,True,False,False,False,False,True,False,True,False,72,3,PFBSA & PFEESA & PFPeA
True,True,False,False,False,False,False,True,True,False,61,4,PFOSA & PFBSA & PFBS & PFPeA
True,True,False,False,False,False,True,True,True,False,54,5,PFOSA & PFBSA & PFEESA & PFBS & PFPeA
True,False,False,False,False,False,False,True,True,False,50,3,PFOSA & PFBS & PFPeA
True,False,False,False,False,True,False,False,True,False,41,3,PFOSA & GenX & PFPeA
True,False,False,False,False,False,True,True,True,False,38,4,PFOSA & PFEESA & PFBS & PFPeA
True,False,False,False,False,False,True,False,False,False,37,2,PFOSA & PFEESA
True,True,False,False,False,True,True,True,True,False,34,6,PFOSA & PFBSA & GenX & PFEESA & PFBS & PFPeA
True,True,True,True,False,True,True,True,True,False,32,8,PFOSA & PFBSA & PFOS & PFNA & GenX & PFEESA & PFBS & PFPeA
False,False,False,False,False,False,True,False,True,False,31,2,PFEESA & PFPeA
True,True,True,True,True,True,True,True,True,True,29,10,PFOSA & PFBSA & PFOS & PFNA & PFOA & GenX & PFEESA & PFBS & PFPeA & PFBA
True,True,True,True,True,True,True,True,True,False,25,9,PFOSA & PFBSA & PFOS & PFNA & PFOA & GenX & PFEESA & PFBS & PFPeA
True,True,False,False,False,True,False,False,True,False,25,4,PFOSA & PFBSA & GenX & PFPeA
False,False,False,False,False,False,True,False,False,False,22,1,PFEESA
False,True,False,False,False,False,True,False,False,False,21,2,PFBSA & PFEESA
True,False,False,False,False,False,False,True,False,False,20,2,PFOSA & PFBS
False,False,False,False,False,False,False,True,False,False,19,1,PFBS
True,False,False,False,False,False,False,True,True,True,16,4,PFOSA & PFBS & PFPeA & PFBA
False,False,False,False,False,False,True,True,True,False,15,3,PFEESA & PFBS & PFPeA
True,True,False,True,False,True,True,True,True,False,14,7,PFOSA & PFBSA & PFNA & GenX & PFEESA & PFBS & PFPeA
True,True,False,True,False,False,True,True,True,False,14,6,PFOSA & PFBSA & PFNA & PFEESA & PFBS & PFPeA
True,True,False,False,False,False,True,False,False,False,13,3,PFOSA & PFBSA & PFEESA
True,False,False,False,False,True,False,False,False,False,13,2,PFOSA & GenX
False,True,False,False,False,True,True,True,True,False,12,5,PFBSA & GenX & PFEESA & PFBS & PFPeA
True,True,False,False,False,True,True,False,True,False,12,5,PFOSA & PFBSA & GenX & PFEESA & PFPeA
False,True,False,False,False,True,False,False,True,False,12,3,PFBSA & GenX & PFPeA
False,False,False,False,False,False,False,True,True,False,12,2,PFBS & PFPeA
True,False,False,False,False,True,True,False,True,False,11,4,PFOSA & GenX & PFEESA & PFPeA
True,False,False,True,False,False,False,False,True,False,11,3,PFOSA & PFNA & PFPeA
True,False,False,False,False,False,False,True,False,True,10,3,PFOSA & PFBS & PFBA
True,False,False,False,False,True,True,True,True,False,9,5,PFOSA & GenX & PFEESA & PFBS & PFPeA
True,True,False,True,False,False,True,False,True,False,9,5,PFOSA & PFBSA & PFNA & PFEESA & PFPeA
True,True,False,True,False,False,False,False,True,False,9,4,PFOSA & PFBSA & PFNA & PFPeA
True,True,False,False,False,True,False,False,False,False,9,3,PFOSA & PFBSA & GenX
True,True,False,False,False,False,False,True,False,False,9,3,PFOSA & PFBSA & PFBS
False,False,False,False,False,True,False,False,False,False,9,1,GenX
True,False,False,True,False,False,True,True,True,False,8,5,PFOSA & PFNA & PFEESA & PFBS & PFPeA
False,True,False,False,False,True,True,False,True,False,8,4,PFBSA & GenX & PFEESA & PFPeA
True,False,False,True,False,False,True,False,True,False,8,4,PFOSA & PFNA & PFEESA & PFPeA
False,False,False,False,False,True,False,False,True,False,8,2,GenX & PFPeA
True,True,True,True,False,False,True,True,True,False,6,7,PFOSA & PFBSA & PFOS & PFNA & PFEESA & PFBS & PFPeA
False,True,False,False,False,False,True,True,True,False,6,4,PFBSA & PFEESA & PFBS & PFPeA
True,False,False,False,False,False,False,False,True,True,6,3,PFOSA & PFPeA & PFBA
True,False,False,False,False,False,False,False,False,True,6,2,PFOSA & PFBA
True,True,True,True,False,True,True,True,True,True,5,9,PFOSA & PFBSA & PFOS & PFNA & GenX & PFEESA & PFBS & PFPeA & PFBA
False,True,True,True,False,True,True,True,True,False,5,7,PFBSA & PFOS & PFNA & GenX & PFEESA & PFBS & PFPeA
True,False,True,True,True,False,True,False,True,False,5,6,PFOSA & PFOS & PFNA & PFOA & PFEESA & PFPeA
True,True,False,False,False,True,False,True,True,False,5,5,PFOSA & PFBSA & GenX & PFBS & PFPeA
True,True,False,False,False,False,False,True,True,True,5,5,PFOSA & PFBSA & PFBS & PFPeA & PFBA
True,False,False,False,False,True,False,True,True,False,5,4,PFOSA & GenX & PFBS & PFPeA
True,False,False,True,True,False,False,False,True,False,5,4,PFOSA & PFNA & PFOA & PFPeA
False,True,False,False,False,True,False,False,False,False,5,2,PFBSA & GenX
True,False,False,True,False,False,False,False,False,False,5,2,PFOSA & PFNA
False,False,False,True,False,False,False,False,False,False,5,1,PFNA
True,False,False,True,True,True,True,True,True,True,4,8,PFOSA & PFNA & PFOA & GenX & PFEESA & PFBS & PFPeA & PFBA
True,False,True,True,True,True,True,True,True,False,4,8,PFOSA & PFOS & PFNA & PFOA & GenX & PFEESA & PFBS & PFPeA
True,True,False,False,False,True,True,True,True,True,4,7,PFOSA & PFBSA & GenX & PFEESA & PFBS & PFPeA & PFBA
True,True,False,True,True,False,True,True,True,False,4,7,PFOSA & PFBSA & PFNA & PFOA & PFEESA & PFBS & PFPeA
True,True,True,False,False,True,True,True,True,False,4,7,PFOSA & PFBSA & PFOS & GenX & PFEESA & PFBS & PFPeA
