PFOSA,PFBSA,PFOS,PFNA,PFOA,GenX,PFEESA,PFBS,PFPeA,PFBA,gene_count,degree,intersection
True,False,False,False,False,False,False,False,False,False,1989,1,PFOSA
True,False,False,False,False,False,False,False,True,False,1354,2,PFOSA & PFPeA
True,True,False,False,False,False,False,False,True,False,467,3,PFOSA & PFBSA & PFPeA
False,False,False,False,False,False,False,False,True,False,337,1,PFPeA
False,True,False,False,False,False,False,False,False,False,150,1,PFBSA
True,True,False,False,False,False,False,False,False,False,144,2,PFOSA & PFBSA
True,True,False,False,False,False,True,False,True,False,109,4,PFOSA & PFBSA & PFEESA & PFPeA
False,True,False,False,False,False,True,False,True,False,73,3,PFBSA & PFEESA & PFPeA
True,False,False,False,False,False,True,False,True,False,67,3,PFOSA & PFEESA & PFPeA
False,True,False,False,False,False,False,False,True,False,54,2,PFBSA & PFPeA
False,False,False,False,False,False,True,False,False,False,40,1,PFEESA
True,True,False,False,False,False,False,True,True,False,30,4,PFOSA & PFBSA & PFBS & PFPeA
True,True,False,False,False,False,True,True,True,False,29,5,PFOSA & PFBSA & PFEESA & PFBS & PFPeA
True,True,True,True,False,True,True,True,True,False,28,8,PFOSA & PFBSA & PFOS & PFNA & GenX & PFEESA & PFBS & PFPeA
False,False,False,False,False,False,True,False,True,False,28,2,PFEESA & PFPeA
False,False,False,False,False,False,False,True,False,False,28,1,PFBS
True,False,False,False,False,False,False,True,True,False,27,3,PFOSA & PFBS & PFPeA
False,True,False,False,False,False,True,False,False,False,25,2,PFBSA & PFEESA
True,True,True,True,True,True,True,True,True,True,24,10,PFOSA & PFBSA & PFOS & PFNA & PFOA & GenX & PFEESA & PFBS & PFPeA & PFBA
True,False,False,False,False,False,True,True,True,False,23,4,PFOSA & PFEESA & PFBS & PFPeA
True,True,True,True,True,True,True,True,True,False,21,9,PFOSA & PFBSA & PFOS & PFNA & PFOA & GenX & PFEESA & PFBS & PFPeA
True,True,False,False,False,True,True,True,True,False,21,6,PFOSA & PFBSA & GenX & PFEESA & PFBS & PFPeA
True,True,False,False,False,True,False,False,True,False,18,4,PFOSA & PFBSA & GenX & PFPeA
True,False,False,False,False,True,False,False,True,False,15,3,PFOSA & GenX & PFPeA
False,False,False,False,False,False,False,True,True,False,14,2,PFBS & PFPeA
False,False,False,False,False,True,False,False,False,False,14,1,GenX
False,False,False,False,False,False,False,False,False,True,13,1,PFBA
False,False,False,False,False,False,False,True,True,True,11,3,PFBS & PFPeA & PFBA
False,True,False,False,False,True,True,True,True,False,10,5,PFBSA & GenX & PFEESA & PFBS & PFPeA
False,False,False,False,False,False,True,True,True,False,10,3,PFEESA & PFBS & PFPeA
True,False,False,True,False,False,False,False,True,False,10,3,PFOSA & PFNA & PFPeA
False,True,False,False,False,True,False,False,False,False,10,2,PFBSA & GenX
True,False,False,False,False,False,False,True,True,True,9,4,PFOSA & PFBS & PFPeA & PFBA
False,False,False,False,False,False,False,True,False,True,9,2,PFBS & PFBA
True,False,False,False,False,False,True,False,False,False,9,2,PFOSA & PFEESA
True,True,False,True,False,True,True,True,True,False,7,7,PFOSA & PFBSA & PFNA & GenX & PFEESA & PFBS & PFPeA
True,True,False,True,False,False,True,True,True,False,7,6,PFOSA & PFBSA & PFNA & PFEESA & PFBS & PFPeA
False,False,False,False,False,True,True,True,True,False,7,4,GenX & PFEESA & PFBS & PFPeA
False,False,False,True,False,False,False,False,False,False,7,1,PFNA
False,True,False,False,False,True,False,False,True,False,6,3,PFBSA & GenX & PFPeA
True,True,False,True,False,False,True,False,True,False,5,5,PFOSA & PFBSA & PFNA & PFEESA & PFPeA
False,True,False,False,False,True,True,False,True,False,5,4,PFBSA & GenX & PFEESA & PFPeA
True,True,False,True,False,False,False,False,True,False,5,4,PFOSA & PFBSA & PFNA & PFPeA
True,False,False,True,True,False,False,False,True,False,5,4,PFOSA & PFNA & PFOA & PFPeA
True,True,False,False,False,True,False,False,False,False,5,3,PFOSA & PFBSA & GenX
False,True,False,False,False,False,False,True,False,False,5,2,PFBSA & PFBS
True,True,False,True,True,False,True,True,True,False,4,7,PFOSA & PFBSA & PFNA & PFOA & PFEESA & PFBS & PFPeA
True,True,True,False,False,True,True,True,True,False,4,7,PFOSA & PFBSA & PFOS & GenX & PFEESA & PFBS & PFPeA
True,True,True,True,False,False,True,True,True,False,4,7,PFOSA & PFBSA & PFOS & PFNA & PFEESA & PFBS & PFPeA
True,False,False,True,True,False,True,True,True,True,4,7,PFOSA & PFNA & PFOA & PFEESA & PFBS & PFPeA & PFBA
