WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00009049,4,0.9666666666666667,GenX,-0.675901246,7.61845498194038e-07,True,down
WBGene00011042,4,0.9,GenX,1.310282369,0.000109216,True,up
WBGene00011894,4,0.7,GenX,0.96780108,0.000438832,True,up
WBGene00013672,4,0.9,GenX,0.480352187,0.000814474,True,up
WBGene00016234,4,1.0,GenX,1.035430031,0.001216151,True,up
WBGene00001387,4,0.7333333333333333,GenX,1.523927833,0.004146707,True,up
WBGene00011424,4,1.0,GenX,1.006701545,0.00539469,True,up
WBGene00012013,4,1.0,GenX,0.495840635,0.022066939,True,up
WBGene00003710,4,1.0,GenX,0.342605911,0.033800192,True,up
WBGene00007055,4,1.0,GenX,0.316483312,0.033800192,True,up
WBGene00010262,4,1.0,GenX,0.360028997,0.035510998,True,up
WBGene00019818,4,1.0,GenX,1.015570208,0.044449752,True,up
WBGene00021048,4,1.0,GenX,0.444047683,0.062708766,False,up
WBGene00012216,4,0.6666666666666666,GenX,-0.524014868,0.067056911,False,down
WBGene00008572,4,1.0,GenX,-0.301977315,0.072666722,False,down
WBGene00019232,4,0.9666666666666667,GenX,0.47666687,0.091084934,False,up
WBGene00016101,4,1.0,GenX,0.46497445,0.105173527,False,up
WBGene00011517,4,1.0,GenX,-0.610796265,0.109476548,False,down
WBGene00004382,4,1.0,GenX,0.211813063,0.113979327,False,up
WBGene00015369,4,1.0,GenX,-0.743540433,0.113979327,False,down
WBGene00020148,4,1.0,GenX,0.571941402,0.114641652,False,up
WBGene00012866,4,0.9,GenX,-0.73118896,0.126801808,False,down
WBGene00003744,4,1.0,GenX,0.221507319,0.127167979,False,up
WBGene00007372,4,1.0,GenX,0.436820811,0.145831898,False,up
WBGene00014096,4,1.0,GenX,0.138376396,0.149745122,False,up
WBGene00012928,4,1.0,GenX,0.19254772,0.163452866,False,up
WBGene00016677,4,1.0,GenX,0.373637683,0.169611989,False,up
WBGene00011698,4,0.9333333333333333,GenX,-0.945006045,0.173221083,False,down
WBGene00008628,4,1.0,GenX,0.311943223,0.173491455,False,up
WBGene00000901,4,1.0,GenX,0.133500529,0.17584925,False,up
WBGene00007058,4,0.9333333333333333,GenX,0.191786135,0.198461532,False,up
WBGene00020153,4,1.0,GenX,0.507074964,0.199637062,False,up
WBGene00006607,4,1.0,GenX,0.171982079,0.199637062,False,up
WBGene00011520,4,1.0,GenX,0.412374498,0.200291651,False,up
WBGene00017621,4,1.0,GenX,0.353556837,0.20697078,False,up
WBGene00001456,4,1.0,GenX,0.205445805,0.20697078,False,up
WBGene00011586,4,1.0,GenX,0.336549971,0.213405169,False,up
WBGene00019854,4,0.9666666666666667,GenX,0.677855557,0.217203856,False,up
WBGene00020593,4,1.0,GenX,0.311683011,0.217933276,False,up
WBGene00014233,4,1.0,GenX,0.323327466,0.234646206,False,up
WBGene00020947,4,1.0,GenX,0.449905814,0.236153427,False,up
WBGene00000016,4,1.0,GenX,-0.270237159,0.239390709,False,down
WBGene00019742,4,0.9,GenX,0.317672513,0.242671628,False,up
WBGene00003965,4,1.0,GenX,0.202749076,0.243185546,False,up
WBGene00012886,4,1.0,GenX,-0.97997335,0.252961196,False,down
WBGene00001446,4,1.0,GenX,0.388384872,0.257333013,False,up
WBGene00017811,4,1.0,GenX,0.212268348,0.258013739,False,up
WBGene00015393,4,0.9333333333333333,GenX,-0.26990446,0.259516186,False,down
WBGene00011018,4,1.0,GenX,0.1908275,0.262095538,False,up
WBGene00010872,4,1.0,GenX,0.220851275,0.269430112,False,up
WBGene00015048,4,1.0,GenX,0.285143041,0.269565127,False,up
WBGene00044761,4,1.0,GenX,0.407777021,0.275039223,False,up
WBGene00022441,4,1.0,GenX,0.356020216,0.276048589,False,up
WBGene00016310,4,1.0,GenX,0.418606459,0.280484955,False,up
WBGene00001496,4,1.0,GenX,0.294605131,0.293267415,False,up
WBGene00015470,4,1.0,GenX,0.117255756,0.295481486,False,up
WBGene00020784,4,1.0,GenX,0.260714507,0.296038001,False,up
WBGene00005832,4,0.9666666666666667,GenX,0.213684933,0.301842955,False,up
WBGene00010697,4,1.0,GenX,0.252738897,0.306478444,False,up
WBGene00012148,4,1.0,GenX,0.293942377,0.310948769,False,up
WBGene00021312,4,1.0,GenX,0.157843021,0.315616092,False,up
WBGene00021482,4,1.0,GenX,0.21232322,0.320800563,False,up
WBGene00007467,4,1.0,GenX,0.549048036,0.323683607,False,up
WBGene00003607,4,1.0,GenX,0.243853436,0.335458515,False,up
WBGene00016894,4,1.0,GenX,0.417547483,0.350178041,False,up
WBGene00015410,4,1.0,GenX,0.235232917,0.350178041,False,up
WBGene00016099,4,0.9666666666666667,GenX,0.528604799,0.364612902,False,up
WBGene00022797,4,1.0,GenX,0.307598879,0.365400963,False,up
WBGene00003528,4,1.0,GenX,0.646211542,0.371250373,False,up
WBGene00011752,4,1.0,GenX,0.482094788,0.372763201,False,up
WBGene00018274,4,1.0,GenX,0.313500637,0.374983573,False,up
WBGene00003561,4,1.0,GenX,0.235436719,0.379418796,False,up
WBGene00005657,4,0.9666666666666667,GenX,0.740567928,0.379419868,False,up
WBGene00019747,4,1.0,GenX,0.148684191,0.38007841,False,up
WBGene00017291,4,1.0,GenX,0.279243181,0.380205338,False,up
WBGene00015219,4,1.0,GenX,0.154398857,0.386270277,False,up
WBGene00019875,4,1.0,GenX,-0.132608078,0.393395902,False,down
WBGene00003750,4,1.0,GenX,0.289965086,0.397565347,False,up
WBGene00008780,4,1.0,GenX,0.231878863,0.397995933,False,up
WBGene00015040,4,0.6,GenX,0.777860497,0.40319599,False,up
WBGene00044280,4,1.0,GenX,-0.418872819,0.40319599,False,down
WBGene00016738,4,1.0,GenX,0.286430672,0.409895484,False,up
WBGene00009243,4,0.5333333333333333,GenX,0.214297901,0.430368874,False,up
WBGene00194641,4,1.0,GenX,0.389532157,0.436651982,False,up
WBGene00008743,4,1.0,GenX,0.467735336,0.441905067,False,up
WBGene00007900,4,1.0,GenX,0.258472654,0.458827623,False,up
WBGene00019918,4,0.7,GenX,0.363253961,0.47080406,False,up
WBGene00003725,4,1.0,GenX,0.293915688,0.47080406,False,up
