WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00011673,1,0.6,PFNA,8.91362909470637,1.02508303624127e-27,True,up
WBGene00018206,1,0.9666666666666667,PFNA,5.58833616867968,1.83014468594665e-26,True,up
WBGene00010904,1,0.9666666666666667,PFNA,3.48826627833323,5.15070934044081e-25,True,up
WBGene00000412,1,0.9666666666666667,PFNA,4.6508235106485,9.982465053501339e-22,True,up
WBGene00017244,1,0.9666666666666667,PFNA,3.13720164573389,1.28223383326139e-21,True,up
WBGene00019886,1,0.9666666666666667,PFNA,8.58871251263417,5.42867091427608e-21,True,up
WBGene00044811,1,0.9333333333333333,PFNA,4.11755979490873,1.18778256652152e-20,True,up
WBGene00019515,1,0.9333333333333333,PFNA,3.88743226402679,2.95981593745684e-20,True,up
WBGene00022261,1,0.9666666666666667,PFNA,3.69914710270138,5.31749795893398e-20,True,up
WBGene00016340,1,0.9666666666666667,PFNA,8.51527292365799,5.01090981255431e-19,True,up
WBGene00011800,1,0.9666666666666667,PFNA,4.03593731262019,1.2852155966783799e-18,True,up
WBGene00003995,1,0.9666666666666667,PFNA,2.51914559938664,2.2568661380651298e-18,True,up
WBGene00008043,1,0.9666666666666667,PFNA,3.04163120535474,3.2918575540785e-17,True,up
WBGene00007946,1,0.9666666666666667,PFNA,5.82582662224369,8.39182623629157e-17,True,up
WBGene00000372,1,0.9666666666666667,PFNA,6.96628974277167,1.12638063475837e-16,True,up
WBGene00020592,1,0.9666666666666667,PFNA,1.41188524414029,3.84718698089036e-16,True,up
WBGene00002260,1,0.9,PFNA,3.42822511711726,6.47993064428368e-16,True,up
WBGene00007331,1,1.0,PFNA,-1.746333602142,1.1081321564213201e-14,True,down
WBGene00011676,1,1.0,PFNA,1.76340233548383,2.33631969528632e-14,True,up
WBGene00008519,1,1.0,PFNA,2.54236367879266,3.02626061796757e-14,True,up
WBGene00021567,1,1.0,PFNA,8.83262367066,8.65537344332094e-13,True,up
WBGene00020394,1,1.0,PFNA,2.68423741468272,1.9360523857123898e-12,True,up
WBGene00007073,1,0.8666666666666667,PFNA,1.89485622178378,2.40003412294636e-12,True,up
WBGene00010470,1,0.9333333333333333,PFNA,2.32205111640744,2.6220452878394e-12,True,up
WBGene00018913,1,1.0,PFNA,8.20813525780515,3.87865552925484e-12,True,up
WBGene00015087,1,0.9666666666666667,PFNA,1.40882993541238,6.76113603780268e-12,True,up
WBGene00004003,1,0.9666666666666667,PFNA,1.50231557851577,7.95763423557367e-12,True,up
WBGene00009255,1,1.0,PFNA,5.54962746527475,1.2997586531998899e-11,True,up
WBGene00019089,1,0.9666666666666667,PFNA,4.74503785784975,2.09733814587329e-11,True,up
WBGene00015693,1,1.0,PFNA,1.91748680571365,2.3497751940251498e-11,True,up
WBGene00013901,1,0.9666666666666667,PFNA,2.44203921921912,2.37774108852075e-11,True,up
WBGene00010791,1,0.9666666666666667,PFNA,3.13118875447346,1.0306522130921e-09,True,up
WBGene00009165,1,1.0,PFNA,1.07870805554764,1.68908353748106e-09,True,up
WBGene00013284,1,1.0,PFNA,0.901862578276095,2.4853836651157503e-09,True,up
WBGene00009048,1,0.9,PFNA,-1.40941441899748,4.01609262532829e-09,True,down
WBGene00019968,1,0.6,PFNA,2.67568532293126,1.18790471343217e-08,True,up
WBGene00009706,1,0.9666666666666667,PFNA,-3.07335610322734,5.21214483575657e-08,True,down
WBGene00000981,1,0.9,PFNA,1.20924786677733,1.05862721994592e-07,True,up
WBGene00004990,1,0.9,PFNA,-0.60794730036267,1.05862721994592e-07,True,down
WBGene00015449,1,1.0,PFNA,1.54195525299032,1.49179117773836e-07,True,up
WBGene00021582,1,1.0,PFNA,2.55306118624688,2.59211785426509e-07,True,up
WBGene00000972,1,1.0,PFNA,1.56672030510865,6.19457469822565e-07,True,up
WBGene00019730,1,1.0,PFNA,-0.94780673785838,6.49416567550681e-07,True,down
WBGene00016425,1,0.9666666666666667,PFNA,1.63988629444743,6.50274769494913e-07,True,up
WBGene00007364,1,0.9666666666666667,PFNA,4.33793165499713,8.51233177075815e-07,True,up
WBGene00007228,1,0.9666666666666667,PFNA,1.18968498244397,1.77522619592075e-06,True,up
WBGene00008810,1,0.9666666666666667,PFNA,1.97595201263518,2.25116796985194e-06,True,up
WBGene00022267,1,0.8,PFNA,2.58417041624292,2.26571124214427e-06,True,up
WBGene00015887,1,1.0,PFNA,0.665551438956924,2.55617992959968e-06,True,up
WBGene00013594,1,0.9666666666666667,PFNA,1.0339111895109,2.64500996473487e-06,True,up
WBGene00022076,1,1.0,PFNA,-1.00223173695499,2.91517464458497e-06,True,down
WBGene00009259,1,0.6666666666666666,PFNA,0.418110580178649,3.84110630610903e-06,True,up
WBGene00009256,1,1.0,PFNA,0.566060664331178,3.95866009763845e-06,True,up
WBGene00008803,1,0.9,PFNA,0.803912229238955,4.32933095203787e-06,True,up
WBGene00044457,1,0.6,PFNA,1.53276471258963,6.4084893633173e-06,True,up
WBGene00013176,1,1.0,PFNA,0.512086864983609,8.75735430747065e-06,True,up
WBGene00021873,1,0.9,PFNA,-1.60471983803681,9.46240828069384e-06,True,down
WBGene00001754,1,0.9666666666666667,PFNA,1.03029916787735,9.70857386496885e-06,True,up
WBGene00013541,1,0.9666666666666667,PFNA,0.715949982372702,9.70857386496885e-06,True,up
WBGene00017123,1,0.8666666666666667,PFNA,0.743672110842781,1.35883893914576e-05,True,up
WBGene00022260,1,1.0,PFNA,0.690602458425818,1.42383975709355e-05,True,up
WBGene00007819,1,1.0,PFNA,0.798621085736733,1.80790712539572e-05,True,up
WBGene00006636,1,1.0,PFNA,-0.530448084398884,3.20473196128839e-05,True,down
WBGene00000281,1,1.0,PFNA,0.436598113006815,3.27470608319141e-05,True,up
WBGene00219274,1,0.9666666666666667,PFNA,1.95741345117856,4.43001180856136e-05,True,up
WBGene00008296,1,0.8666666666666667,PFNA,0.896145994441364,5.4396603924024e-05,True,up
WBGene00002056,1,1.0,PFNA,-0.433427853297456,5.77621533276186e-05,True,down
WBGene00007068,1,0.9666666666666667,PFNA,0.529923719750937,7.53950761512348e-05,True,up
WBGene00004059,1,0.9666666666666667,PFNA,0.373850313411023,7.74963708853915e-05,True,up
WBGene00020938,1,1.0,PFNA,-1.0253509560187,8.607489863401e-05,True,down
WBGene00008874,1,0.9666666666666667,PFNA,1.37687080005561,9.37925723474296e-05,True,up
WBGene00011122,1,0.6666666666666666,PFNA,0.306864764921158,0.0001177118062881,True,up
WBGene00019895,1,1.0,PFNA,-0.558458505477936,0.0001729456855657,True,down
WBGene00013035,1,1.0,PFNA,-0.436077633339811,0.0001742992321437,True,down
