WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00020891,4,0.5666666666666667,PFOA,0.639554285608618,1.86058088441433e-05,True,up
WBGene00001387,4,0.7333333333333333,PFOA,1.82167805137528,8.3432035342746e-05,True,up
WBGene00009049,4,0.9666666666666667,PFOA,-0.5345020886021,0.0001387492407216,True,down
WBGene00008743,4,1.0,PFOA,0.991840748498215,0.0045239218187611,True,up
WBGene00001674,4,0.9,PFOA,0.351494362879268,0.0392720883833015,True,up
WBGene00011042,4,0.9,PFOA,0.815106176785448,0.0716754780613751,False,up
WBGene00017621,4,1.0,PFOA,0.405315556949375,0.252889351334975,False,up
WBGene00011540,4,1.0,PFOA,-0.539522279763763,0.27757618983652,False,down
WBGene00020593,4,1.0,PFOA,0.35593820864513,0.2825281649997,False,up
WBGene00044071,4,0.5666666666666667,PFOA,0.233243743032946,0.359656573214909,False,up
WBGene00011698,4,0.9333333333333333,PFOA,-0.863612200894338,0.404853095265443,False,down
WBGene00012886,4,1.0,PFOA,-1.16869343277762,0.404853095265443,False,down
WBGene00004008,4,1.0,PFOA,0.455441259637493,0.448276646443967,False,up
WBGene00020930,4,0.9,PFOA,0.161287058493853,0.459563505100411,False,up
WBGene00010133,4,1.0,PFOA,-0.713026003268786,0.483245706281864,False,down
WBGene00017961,4,0.9,PFOA,0.331858528319048,0.48608939679696,False,up
WBGene00016404,4,1.0,PFOA,-0.27839509340666,0.48608939679696,False,down
WBGene00020148,4,1.0,PFOA,0.48053401164334,0.540309478856768,False,up
WBGene00020947,4,1.0,PFOA,0.442402839560637,0.56624296567008,False,up
WBGene00020152,4,1.0,PFOA,0.471846949269775,0.618433614471536,False,up
WBGene00008970,4,0.5666666666666667,PFOA,0.492668716702133,0.623559897346703,False,up
WBGene00019890,4,0.9666666666666667,PFOA,-0.18558320978009,0.648824855646826,False,down
WBGene00044280,4,1.0,PFOA,-0.464845251409568,0.673760684081451,False,down
WBGene00009243,4,0.5333333333333333,PFOA,-0.25076689976679,0.681229918190475,False,down
WBGene00016738,4,1.0,PFOA,0.315685646140653,0.685736679774616,False,up
WBGene00011517,4,1.0,PFOA,-0.485367282861796,0.687454002072132,False,down
WBGene00004237,4,1.0,PFOA,-0.181816780270533,0.717037659812483,False,down
WBGene00010200,4,1.0,PFOA,0.249399494981871,0.742436508993939,False,up
WBGene00000901,4,1.0,PFOA,0.10637750013081,0.778983757163422,False,up
WBGene00007231,4,1.0,PFOA,0.674507045628969,0.789024955868981,False,up
WBGene00019489,4,0.5333333333333333,PFOA,0.543403199085364,0.809632522964456,False,up
WBGene00002192,4,0.9666666666666667,PFOA,0.107250080591826,0.814100241235871,False,up
WBGene00011424,4,1.0,PFOA,0.496479998548468,0.814165916473044,False,up
WBGene00002142,4,1.0,PFOA,0.69024277587236,0.827870235427087,False,up
WBGene00000666,4,1.0,PFOA,0.851625892315523,0.830191931113592,False,up
WBGene00019399,4,0.9666666666666667,PFOA,-0.121785593707644,0.837716175991873,False,down
WBGene00020806,4,1.0,PFOA,0.280053563293929,0.842210777569463,False,up
WBGene00020092,4,1.0,PFOA,0.204584858056576,0.861135409125086,False,up
WBGene00010177,4,1.0,PFOA,0.187539252472268,0.867284569829073,False,up
WBGene00021185,4,1.0,PFOA,-0.25956612584011,0.867364823902594,False,down
WBGene00001446,4,1.0,PFOA,0.308586277723503,0.868021386386411,False,up
WBGene00011586,4,1.0,PFOA,0.256423886525586,0.880714314155511,False,up
WBGene00020407,4,1.0,PFOA,-0.275465660970551,0.891483905307104,False,down
WBGene00019818,4,1.0,PFOA,0.504546538178112,0.894202628229622,False,up
WBGene00017811,4,1.0,PFOA,0.167994271021217,0.899579271578466,False,up
WBGene00006720,4,1.0,PFOA,-0.127870061216744,0.90388406910563,False,down
WBGene00011893,4,0.9333333333333333,PFOA,0.237327682128391,0.908050247430483,False,up
WBGene00007091,4,1.0,PFOA,0.129044624230458,0.908050247430483,False,up
WBGene00008876,4,1.0,PFOA,-0.176179309283341,0.908050247430483,False,down
WBGene00010009,4,0.5666666666666667,PFOA,-0.26605005177797,0.908050247430483,False,down
WBGene00007919,4,1.0,PFOA,0.704779311057404,0.921812885368531,False,up
WBGene00020224,4,1.0,PFOA,0.422966503799018,0.921812885368531,False,up
WBGene00013802,4,0.8,PFOA,0.344900727979187,0.921812885368531,False,up
WBGene00017045,4,1.0,PFOA,0.226872077546387,0.921812885368531,False,up
WBGene00017190,4,0.9333333333333333,PFOA,0.176731362677435,0.921812885368531,False,up
WBGene00000086,4,1.0,PFOA,0.137458070150787,0.921812885368531,False,up
WBGene00016968,4,0.9666666666666667,PFOA,0.130071884237532,0.921812885368531,False,up
WBGene00022748,4,1.0,PFOA,0.10262406158661,0.921812885368531,False,up
WBGene00003388,4,0.9666666666666667,PFOA,-0.226408861403504,0.921812885368531,False,down
WBGene00020651,4,0.6666666666666666,PFOA,-0.22672382077109,0.921812885368531,False,down
WBGene00012866,4,0.9,PFOA,-0.463642364073123,0.921812885368531,False,down
WBGene00002129,4,0.9666666666666667,PFOA,0.17241696362755,0.923063839975127,False,up
WBGene00000899,4,1.0,PFOA,0.132751681582038,0.92631726576694,False,up
WBGene00022012,4,1.0,PFOA,-0.621669910739153,0.92631726576694,False,down
WBGene00044658,4,1.0,PFOA,0.450043804284594,0.932300936875915,False,up
WBGene00016101,4,1.0,PFOA,0.280425649843817,0.932300936875915,False,up
WBGene00003725,4,1.0,PFOA,0.27109851795451,0.932300936875915,False,up
WBGene00010488,4,1.0,PFOA,0.224873699817771,0.932300936875915,False,up
WBGene00004227,4,1.0,PFOA,0.175410105887052,0.932300936875915,False,up
WBGene00017852,4,1.0,PFOA,0.0927821969806104,0.932696451460117,False,up
WBGene00015675,4,1.0,PFOA,-0.390456564524022,0.932696451460117,False,down
WBGene00017951,4,0.9666666666666667,PFOA,0.115230318438554,0.934261428791333,False,up
WBGene00001624,4,0.5666666666666667,PFOA,-0.213626064295571,0.934261428791333,False,down
WBGene00018872,4,1.0,PFOA,0.127935083120009,0.937465948371851,False,up
WBGene00000675,4,1.0,PFOA,0.420128728536484,0.942098049499591,False,up
WBGene00008953,4,0.5666666666666667,PFOA,0.287422019740133,0.942098049499591,False,up
WBGene00007745,4,1.0,PFOA,0.206668301042529,0.942098049499591,False,up
WBGene00018758,4,1.0,PFOA,-0.182757051268379,0.942098049499591,False,down
WBGene00000503,4,1.0,PFOA,-0.451443326119524,0.942098049499591,False,down
WBGene00015219,4,1.0,PFOA,0.122700670060227,0.945622061355877,False,up
WBGene00018260,4,0.9,PFOA,-0.216504712285675,0.945622061355877,False,down
WBGene00010977,4,0.6333333333333333,PFOA,0.255880401200048,0.948436826262307,False,up
WBGene00003072,4,1.0,PFOA,0.124556644074415,0.950127333463213,False,up
WBGene00008522,4,0.9,PFOA,0.181567368387517,0.952162256877168,False,up
WBGene00016465,4,0.5666666666666667,PFOA,0.856188377765589,0.953195101676546,False,up
WBGene00001515,4,0.5666666666666667,PFOA,0.127987429429549,0.953195101676546,False,up
WBGene00001441,4,1.0,PFOA,0.169407483761097,0.953462365346275,False,up
WBGene00011995,4,1.0,PFOA,0.126481370124497,0.954720924826747,False,up
WBGene00001479,4,1.0,PFOA,-0.373718838451318,0.955036531828884,False,down
WBGene00003693,4,1.0,PFOA,0.228088925837231,0.958846967785926,False,up
WBGene00019841,4,0.9,PFOA,0.104365912026331,0.967729989050885,False,up
WBGene00008360,4,1.0,PFOA,-0.149771099571899,0.967729989050885,False,down
WBGene00044762,4,0.9666666666666667,PFOA,-0.153272087360726,0.967729989050885,False,down
WBGene00020153,4,1.0,PFOA,0.320856608196777,0.967864397152605,False,up
WBGene00007499,4,1.0,PFOA,-0.12321866881815,0.971560301053935,False,down
WBGene00000692,4,1.0,PFOA,0.38048134608752,0.972229534325004,False,up
WBGene00001456,4,1.0,PFOA,0.129013900977335,0.972229534325004,False,up
WBGene00008572,4,1.0,PFOA,-0.152511880832675,0.972229534325004,False,down
WBGene00010028,4,0.9333333333333333,PFOA,-0.125148364953054,0.97374482683218,False,down
WBGene00012360,4,1.0,PFOA,0.194850731354798,0.97542395796363,False,up
WBGene00020595,4,1.0,PFOA,0.356203503658073,0.976015208497654,False,up
WBGene00015751,4,1.0,PFOA,0.281354750365038,0.978128965168556,False,up
WBGene00022178,4,0.5666666666666667,PFOA,0.237892117850833,0.978128965168556,False,up
WBGene00010244,4,1.0,PFOA,0.167057504344407,0.978128965168556,False,up
WBGene00010262,4,1.0,PFOA,0.162235413486413,0.978128965168556,False,up
WBGene00011326,4,0.7,PFOA,0.1093801972973,0.978128965168556,False,up
WBGene00008021,4,0.9666666666666667,PFOA,-0.232182416026994,0.978128965168556,False,down
WBGene00019357,4,1.0,PFOA,-0.280468484235018,0.978128965168556,False,down
WBGene00018621,4,1.0,PFOA,-0.502905803147764,0.978128965168556,False,down
WBGene00002084,4,1.0,PFOA,0.145347082097452,0.980252131416379,False,up
WBGene00008588,4,1.0,PFOA,-0.25689736040145,0.980702466166394,False,down
WBGene00236809,4,0.7666666666666667,PFOA,0.454990700042869,0.980809437626125,False,up
WBGene00020014,4,1.0,PFOA,0.730823131178921,0.985874098264016,False,up
WBGene00000298,4,0.8,PFOA,0.254428778210034,0.985874098264016,False,up
WBGene00019884,4,1.0,PFOA,0.132905962652476,0.985874098264016,False,up
WBGene00000509,4,1.0,PFOA,0.133355020503287,0.990493968953769,False,up
WBGene00001459,4,1.0,PFOA,0.128104924605333,0.990493968953769,False,up
WBGene00008204,4,1.0,PFOA,0.228316620741342,0.99054680980303,False,up
WBGene00016596,4,0.5666666666666667,PFOA,-0.669391659956981,0.992117010885266,False,down
WBGene00013326,4,0.7666666666666667,PFOA,0.143926339393944,0.996449282359429,False,up
WBGene00022439,4,1.0,PFOA,0.933892815760538,0.998843368542314,False,up
WBGene00019782,4,1.0,PFOA,0.747029933043057,0.998843368542314,False,up
WBGene00007691,4,1.0,PFOA,0.73090327510051,0.998843368542314,False,up
WBGene00017545,4,0.5666666666666667,PFOA,0.590266405953959,0.998843368542314,False,up
WBGene00014053,4,1.0,PFOA,0.573748309784383,0.998843368542314,False,up
WBGene00021011,4,1.0,PFOA,0.568813636844901,0.998843368542314,False,up
WBGene00011623,4,1.0,PFOA,0.559879337118131,0.998843368542314,False,up
WBGene00019906,4,1.0,PFOA,0.547680060661629,0.998843368542314,False,up
WBGene00017502,4,1.0,PFOA,0.543795894655501,0.998843368542314,False,up
WBGene00013633,4,1.0,PFOA,0.498737959901961,0.998843368542314,False,up
WBGene00005657,4,0.9666666666666667,PFOA,0.491793082669304,0.998843368542314,False,up
WBGene00022356,4,1.0,PFOA,0.483775315275732,0.998843368542314,False,up
WBGene00007544,4,1.0,PFOA,0.471775023176407,0.998843368542314,False,up
WBGene00013905,4,0.9666666666666667,PFOA,0.464357398163916,0.998843368542314,False,up
WBGene00045356,4,0.5333333333333333,PFOA,0.460080416039733,0.998843368542314,False,up
WBGene00009226,4,0.9666666666666667,PFOA,0.453296732831075,0.998843368542314,False,up
WBGene00005228,4,1.0,PFOA,0.441731941651272,0.998843368542314,False,up
WBGene00022540,4,0.9666666666666667,PFOA,0.436891529210581,0.998843368542314,False,up
WBGene00009028,4,1.0,PFOA,0.422344659405551,0.998843368542314,False,up
WBGene00011592,4,1.0,PFOA,0.408875092722025,0.998843368542314,False,up
WBGene00001133,4,0.9333333333333333,PFOA,0.406266553136993,0.998843368542314,False,up
WBGene00018112,4,0.5333333333333333,PFOA,0.396510139988841,0.998843368542314,False,up
WBGene00004144,4,1.0,PFOA,0.395888070979696,0.998843368542314,False,up
WBGene00012383,4,1.0,PFOA,0.388379514365939,0.998843368542314,False,up
WBGene00021624,4,1.0,PFOA,0.380461038183652,0.998843368542314,False,up
WBGene00021598,4,1.0,PFOA,0.376160088522582,0.998843368542314,False,up
WBGene00002112,4,0.9333333333333333,PFOA,0.37319355979679,0.998843368542314,False,up
WBGene00019461,4,1.0,PFOA,0.372960157948938,0.998843368542314,False,up
WBGene00016187,4,0.5666666666666667,PFOA,0.366081922194102,0.998843368542314,False,up
WBGene00044977,4,1.0,PFOA,0.364316564654338,0.998843368542314,False,up
WBGene00020995,4,1.0,PFOA,0.363320894018109,0.998843368542314,False,up
WBGene00020849,4,1.0,PFOA,0.361164321360383,0.998843368542314,False,up
WBGene00009033,4,1.0,PFOA,0.355128076167431,0.998843368542314,False,up
WBGene00003861,4,1.0,PFOA,0.354274318402972,0.998843368542314,False,up
WBGene00016147,4,1.0,PFOA,0.35098158541638,0.998843368542314,False,up
WBGene00017160,4,1.0,PFOA,0.349539390578606,0.998843368542314,False,up
WBGene00022324,4,1.0,PFOA,0.348602499141724,0.998843368542314,False,up
WBGene00004300,4,1.0,PFOA,0.348342618369199,0.998843368542314,False,up
WBGene00006684,4,1.0,PFOA,0.343914018136688,0.998843368542314,False,up
WBGene00043995,4,0.7666666666666667,PFOA,0.332920380159027,0.998843368542314,False,up
WBGene00001438,4,1.0,PFOA,0.329013247972245,0.998843368542314,False,up
WBGene00044779,4,1.0,PFOA,0.328474117060419,0.998843368542314,False,up
WBGene00016302,4,0.9,PFOA,0.326744869917515,0.998843368542314,False,up
WBGene00006621,4,0.6,PFOA,0.326660979309084,0.998843368542314,False,up
WBGene00021382,4,0.5666666666666667,PFOA,0.325992985855929,0.998843368542314,False,up
WBGene00007950,4,1.0,PFOA,0.324245700345342,0.998843368542314,False,up
WBGene00011052,4,0.7,PFOA,0.320518698422447,0.998843368542314,False,up
WBGene00006983,4,0.9666666666666667,PFOA,0.319597524966003,0.998843368542314,False,up
WBGene00006654,4,0.9,PFOA,0.318777129144805,0.998843368542314,False,up
WBGene00021215,4,0.9333333333333333,PFOA,0.313024177703696,0.998843368542314,False,up
WBGene00194695,4,0.9333333333333333,PFOA,0.310785594387969,0.998843368542314,False,up
WBGene00011400,4,1.0,PFOA,0.306607507635687,0.998843368542314,False,up
WBGene00019436,4,1.0,PFOA,0.301852322183248,0.998843368542314,False,up
WBGene00003528,4,1.0,PFOA,0.29370586072822,0.998843368542314,False,up
WBGene00002270,4,0.9666666666666667,PFOA,0.292856342333177,0.998843368542314,False,up
WBGene00000681,4,1.0,PFOA,0.29244337076949,0.998843368542314,False,up
WBGene00016180,4,1.0,PFOA,0.291662655961613,0.998843368542314,False,up
WBGene00013244,4,1.0,PFOA,0.284397820271353,0.998843368542314,False,up
WBGene00019104,4,1.0,PFOA,0.280871498469758,0.998843368542314,False,up
WBGene00020555,4,0.6333333333333333,PFOA,0.280742175581774,0.998843368542314,False,up
WBGene00019636,4,1.0,PFOA,0.27981121024572,0.998843368542314,False,up
WBGene00014099,4,1.0,PFOA,0.274311165089336,0.998843368542314,False,up
WBGene00045195,4,0.9,PFOA,0.273735674398838,0.998843368542314,False,up
WBGene00007638,4,1.0,PFOA,0.270281312184506,0.998843368542314,False,up
WBGene00004176,4,1.0,PFOA,0.270238470194932,0.998843368542314,False,up
WBGene00016234,4,1.0,PFOA,0.268850952576516,0.998843368542314,False,up
WBGene00001109,4,1.0,PFOA,0.268182244333093,0.998843368542314,False,up
WBGene00017865,4,1.0,PFOA,0.266690715706832,0.998843368542314,False,up
WBGene00005533,4,0.8,PFOA,0.265131746475701,0.998843368542314,False,up
WBGene00021446,4,1.0,PFOA,0.265041359686665,0.998843368542314,False,up
WBGene00001487,4,0.9666666666666667,PFOA,0.264263497850873,0.998843368542314,False,up
WBGene00016332,4,1.0,PFOA,0.262974555755325,0.998843368542314,False,up
WBGene00086553,4,0.5333333333333333,PFOA,0.261177449245744,0.998843368542314,False,up
WBGene00004234,4,1.0,PFOA,0.258611182242527,0.998843368542314,False,up
WBGene00021862,4,1.0,PFOA,0.257299234940096,0.998843368542314,False,up
WBGene00011479,4,0.5333333333333333,PFOA,0.256201837446751,0.998843368542314,False,up
WBGene00012185,4,1.0,PFOA,0.25597197473174,0.998843368542314,False,up
WBGene00015040,4,0.6,PFOA,0.255143952701677,0.998843368542314,False,up
WBGene00008421,4,0.5666666666666667,PFOA,0.252492613804197,0.998843368542314,False,up
WBGene00008315,4,0.5666666666666667,PFOA,0.252171386040325,0.998843368542314,False,up
WBGene00004177,4,1.0,PFOA,0.248700903795771,0.998843368542314,False,up
WBGene00015857,4,1.0,PFOA,0.248100362948143,0.998843368542314,False,up
WBGene00016894,4,1.0,PFOA,0.247013886813414,0.998843368542314,False,up
WBGene00303423,4,1.0,PFOA,0.245588274223426,0.998843368542314,False,up
WBGene00000611,4,0.9666666666666667,PFOA,0.241713080587675,0.998843368542314,False,up
WBGene00020764,4,1.0,PFOA,0.240815959404919,0.998843368542314,False,up
WBGene00019113,4,1.0,PFOA,0.238450244305375,0.998843368542314,False,up
WBGene00009985,4,1.0,PFOA,0.234278352322541,0.998843368542314,False,up
WBGene00271795,4,1.0,PFOA,0.233458241754331,0.998843368542314,False,up
WBGene00018318,4,1.0,PFOA,0.231752826810659,0.998843368542314,False,up
WBGene00019014,4,1.0,PFOA,0.226032636512704,0.998843368542314,False,up
WBGene00020135,4,1.0,PFOA,0.220035840102947,0.998843368542314,False,up
WBGene00000754,4,1.0,PFOA,0.218950446859959,0.998843368542314,False,up
WBGene00002108,4,1.0,PFOA,0.215771854662654,0.998843368542314,False,up
WBGene00008615,4,1.0,PFOA,0.214722613226274,0.998843368542314,False,up
