WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00011673,1,0.6,PFOSA,8.70690673,2.12819734542715e-27,True,up
WBGene00019515,1,0.9333333333333333,PFOSA,4.580444854,7.23254646367269e-23,True,up
WBGene00010904,1,0.9666666666666667,PFOSA,2.661999597,1.0439314434241901e-21,True,up
WBGene00000372,1,0.9666666666666667,PFOSA,8.765412105,1.56008462593458e-21,True,up
WBGene00018206,1,0.9666666666666667,PFOSA,3.672241426,1.6943211483493702e-21,True,up
WBGene00011800,1,0.9666666666666667,PFOSA,4.046997825,3.75371142190458e-19,True,up
WBGene00017244,1,0.9666666666666667,PFOSA,2.430903623,6.913366580795391e-19,True,up
WBGene00000412,1,0.9666666666666667,PFOSA,3.535541872,2.5456833536622798e-18,True,up
WBGene00003995,1,0.9666666666666667,PFOSA,2.061682152,2.45479464556098e-16,True,up
WBGene00007946,1,0.9666666666666667,PFOSA,5.352513851,4.03797613494706e-16,True,up
WBGene00020592,1,0.9666666666666667,PFOSA,1.239615206,3.296082512241e-15,True,up
WBGene00016340,1,0.9666666666666667,PFOSA,5.685507436,2.5340884569274702e-14,True,up
WBGene00007073,1,0.8666666666666667,PFOSA,1.975689319,5.4739634472460205e-14,True,up
WBGene00007455,1,0.5,PFOSA,-1.391831223,9.214167408671321e-14,True,down
WBGene00019968,1,0.6,PFOSA,3.479319555,2.18454507637739e-13,True,up
WBGene00022261,1,0.9666666666666667,PFOSA,2.199290986,4.38615928492715e-13,True,up
WBGene00044811,1,0.9333333333333333,PFOSA,2.253661173,5.5260886305513496e-12,True,up
WBGene00021567,1,1.0,PFOSA,8.126400377,8.43327165883246e-12,True,up
WBGene00019886,1,0.9666666666666667,PFOSA,5.856503389,9.957127125706789e-12,True,up
WBGene00015759,1,0.5333333333333333,PFOSA,-1.010298909,1.2586450585111398e-11,True,down
WBGene00008043,1,0.9666666666666667,PFOSA,1.867823436,1.2820531542641198e-11,True,up
WBGene00018913,1,1.0,PFOSA,7.61686192,1.92272345401566e-11,True,up
WBGene00219274,1,0.9666666666666667,PFOSA,2.879348478,3.1653175251012797e-11,True,up
WBGene00010470,1,0.9333333333333333,PFOSA,1.827609201,1.0314871546784501e-10,True,up
WBGene00022267,1,0.8,PFOSA,3.101464755,1.75495011446766e-10,True,up
WBGene00011675,1,0.9333333333333333,PFOSA,2.88529314,2.57969292080016e-10,True,up
WBGene00007331,1,1.0,PFOSA,-1.080223787,2.92918902062102e-10,True,down
WBGene00018333,1,0.9333333333333333,PFOSA,1.859065698,5.99062204049067e-10,True,up
WBGene00022076,1,1.0,PFOSA,-1.27882456,6.35885385400162e-10,True,down
WBGene00008803,1,0.9,PFOSA,1.01885739,7.521025201575591e-10,True,up
WBGene00012593,1,0.8333333333333334,PFOSA,3.450847137,1.12994117800141e-09,True,up
WBGene00004003,1,0.9666666666666667,PFOSA,1.094529971,1.55727225185949e-09,True,up
WBGene00012592,1,0.6333333333333333,PFOSA,3.425812883,1.5979999373224401e-09,True,up
WBGene00008519,1,1.0,PFOSA,1.501958498,4.89196184909589e-09,True,up
WBGene00010791,1,0.9666666666666667,PFOSA,2.596101121,7.30010557594219e-09,True,up
WBGene00003233,1,0.6333333333333333,PFOSA,-0.543972205,8.05758970150349e-09,True,down
WBGene00019730,1,1.0,PFOSA,-0.970347942,1.28790516620736e-08,True,down
WBGene00009347,1,0.6333333333333333,PFOSA,0.682031988,1.54112600126895e-08,True,up
WBGene00017806,1,0.9,PFOSA,2.1475372,1.60672930882315e-08,True,up
WBGene00006636,1,1.0,PFOSA,-0.651251732,1.78718972464551e-08,True,down
WBGene00015449,1,1.0,PFOSA,1.458160537,1.87144354754715e-08,True,up
WBGene00015646,1,0.5666666666666667,PFOSA,-0.799882404,3.56312424157188e-08,True,down
WBGene00017166,1,0.9333333333333333,PFOSA,0.385975299,3.83224936156525e-08,True,up
WBGene00000784,1,0.5,PFOSA,-0.782913675,6.64210503470634e-08,True,down
WBGene00009396,1,0.9,PFOSA,0.538090182,8.35032919704721e-08,True,up
WBGene00009577,1,0.6333333333333333,PFOSA,0.559332355,1.03214732755823e-07,True,up
WBGene00013875,1,0.9333333333333333,PFOSA,1.451460575,1.31861838978481e-07,True,up
WBGene00019100,1,0.9666666666666667,PFOSA,1.347205545,1.61314077472459e-07,True,up
WBGene00016610,1,0.9,PFOSA,0.577908857,1.64359993609451e-07,True,up
WBGene00008634,1,0.9666666666666667,PFOSA,-0.961620504,3.17724006590269e-07,True,down
WBGene00019619,1,0.7,PFOSA,-1.244815477,4.23656200938439e-07,True,down
WBGene00022497,1,0.6333333333333333,PFOSA,-1.60565174,4.27911482404278e-07,True,down
WBGene00004358,1,1.0,PFOSA,-0.625920024,5.99142928596121e-07,True,down
WBGene00020394,1,1.0,PFOSA,1.565648894,6.09787021370324e-07,True,up
WBGene00004990,1,0.9,PFOSA,-0.472825548,7.14785569412532e-07,True,down
WBGene00006562,1,0.6333333333333333,PFOSA,-0.555266251,7.38101410927766e-07,True,down
WBGene00019089,1,0.9666666666666667,PFOSA,3.018801694,1.2955392908335e-06,True,up
WBGene00000981,1,0.9,PFOSA,0.912511503,1.30770838005319e-06,True,up
WBGene00007650,1,0.9,PFOSA,-0.376222211,1.42145401221686e-06,True,down
WBGene00009255,1,1.0,PFOSA,3.41390305,1.4316493237918e-06,True,up
WBGene00009706,1,0.9666666666666667,PFOSA,-1.988158634,1.5731841792266e-06,True,down
WBGene00010778,1,1.0,PFOSA,-0.291717465,1.63556426477444e-06,True,down
WBGene00008564,1,1.0,PFOSA,-0.47044032,1.92271726145344e-06,True,down
WBGene00008874,1,0.9666666666666667,PFOSA,1.400717802,2.03206547373968e-06,True,up
WBGene00017874,1,0.6333333333333333,PFOSA,-0.439933056,2.07738693431918e-06,True,down
WBGene00003758,1,0.9666666666666667,PFOSA,0.726370401,2.8383030991149e-06,True,up
WBGene00007368,1,0.9333333333333333,PFOSA,0.982265655,3.25460006464589e-06,True,up
WBGene00019738,1,0.9,PFOSA,-0.868926929,3.30493561336709e-06,True,down
WBGene00003571,1,0.6,PFOSA,0.957023323,3.6299844963903e-06,True,up
WBGene00008296,1,0.8666666666666667,PFOSA,0.842754475,5.19326098475879e-06,True,up
WBGene00010660,1,0.8666666666666667,PFOSA,0.542375231,7.05889047215968e-06,True,up
WBGene00018903,1,0.8666666666666667,PFOSA,-1.537172665,7.23179154242495e-06,True,down
WBGene00022549,1,0.8666666666666667,PFOSA,-0.703636292,7.5169075958995e-06,True,down
WBGene00019090,1,0.9666666666666667,PFOSA,1.499786481,9.1814971220619e-06,True,up
WBGene00003611,1,1.0,PFOSA,0.567430256,1.01859395570138e-05,True,up
WBGene00001753,1,0.8666666666666667,PFOSA,1.576938176,1.28187433700109e-05,True,up
