WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00001814,0,1.0,PFOS,-0.220867339558435,0.137911808975554,False,down
WBGene00008692,0,1.0,PFOS,-0.317743203769809,0.41796998390578,False,down
WBGene00021335,0,0.9,PFOS,-0.538919055679454,0.476405459092426,False,down
WBGene00004918,0,1.0,PFOS,-0.259119296966614,0.507796500867022,False,down
WBGene00015814,0,1.0,PFOS,-0.445756024537379,0.524122378925184,False,down
WBGene00002092,0,1.0,PFOS,0.710647771070322,0.544223108252658,False,up
WBGene00016906,0,1.0,PFOS,-0.171001651153652,0.547660214798976,False,down
WBGene00000155,0,1.0,PFOS,-0.18528102222861,0.574216874261466,False,down
WBGene00017939,0,0.9666666666666667,PFOS,-0.201331316615826,0.581303763110371,False,down
WBGene00017948,0,1.0,PFOS,0.243501479728371,0.584794189293515,False,up
WBGene00017283,0,1.0,PFOS,-0.163217608834931,0.643536803368372,False,down
WBGene00018721,0,1.0,PFOS,-0.230523891622796,0.654597174186415,False,down
WBGene00016203,0,0.9666666666666667,PFOS,0.164318927351929,0.654871593455322,False,up
WBGene00001774,0,1.0,PFOS,-0.307839079951069,0.690575590749061,False,down
WBGene00004920,0,1.0,PFOS,-0.243533109650381,0.701130961710296,False,down
WBGene00000804,0,1.0,PFOS,-0.352649139513723,0.707913332036058,False,down
WBGene00015703,0,1.0,PFOS,-0.166064732267122,0.721825668406734,False,down
WBGene00012497,0,1.0,PFOS,-0.105082621278366,0.747246665973153,False,down
WBGene00009274,0,1.0,PFOS,-0.212735896548256,0.752090319177219,False,down
WBGene00007350,0,1.0,PFOS,-0.107059511852755,0.77033022579961,False,down
WBGene00020511,0,1.0,PFOS,-0.090746457879392,0.773054317868114,False,down
WBGene00008000,0,1.0,PFOS,-0.150418113829626,0.777586967911764,False,down
WBGene00021850,0,1.0,PFOS,-0.403024955479713,0.795512855667731,False,down
WBGene00000406,0,0.9666666666666667,PFOS,0.193076457909654,0.797061312463157,False,up
WBGene00004989,0,1.0,PFOS,0.466019878587618,0.802543435168752,False,up
WBGene00017436,0,0.9666666666666667,PFOS,0.259937710790882,0.827663677550986,False,up
WBGene00017163,0,0.9666666666666667,PFOS,-0.237655755292671,0.827663677550986,False,down
WBGene00001999,0,1.0,PFOS,-0.144934277707836,0.839961855383494,False,down
WBGene00003877,0,1.0,PFOS,-0.203549280579503,0.841701544524767,False,down
WBGene00020392,0,1.0,PFOS,-0.22561504221688,0.84599954686981,False,down
WBGene00020788,0,1.0,PFOS,-0.163340199483874,0.869739223037923,False,down
WBGene00009290,0,0.9666666666666667,PFOS,0.0942786987475436,0.871218183282977,False,up
WBGene00022201,0,1.0,PFOS,-0.124717805943831,0.871856147692342,False,down
WBGene00016103,0,1.0,PFOS,-0.202194201664466,0.873017889639631,False,down
WBGene00012834,0,1.0,PFOS,-0.197305128853958,0.879129975165861,False,down
WBGene00019717,0,0.7666666666666667,PFOS,-0.213093908351412,0.882908444241175,False,down
WBGene00044746,0,1.0,PFOS,-0.264028114538305,0.882908444241175,False,down
WBGene00020340,0,1.0,PFOS,-0.165131771660339,0.885041983140663,False,down
WBGene00022141,0,1.0,PFOS,-0.290991926601835,0.886368473618857,False,down
WBGene00008741,0,0.6333333333333333,PFOS,0.173005723924184,0.888026477098052,False,up
WBGene00000121,0,1.0,PFOS,-0.194780576495468,0.900998745173771,False,down
WBGene00002216,0,1.0,PFOS,0.122861004329252,0.906525001503165,False,up
WBGene00003134,0,1.0,PFOS,-0.133626843428158,0.906525001503165,False,down
WBGene00000498,0,1.0,PFOS,-0.204425925142389,0.908578118920255,False,down
WBGene00022416,0,1.0,PFOS,0.192561689850537,0.910565028515146,False,up
WBGene00000475,0,1.0,PFOS,-0.0981861737604853,0.910565028515146,False,down
WBGene00020466,0,1.0,PFOS,-0.272970841797892,0.910565028515146,False,down
WBGene00008921,0,1.0,PFOS,-0.274966004943044,0.910565028515146,False,down
WBGene00001235,0,1.0,PFOS,-0.155722948526148,0.91145753020803,False,down
WBGene00013892,0,1.0,PFOS,-0.144218875185243,0.916627434790977,False,down
WBGene00020813,0,1.0,PFOS,-0.227007688833334,0.919660161830238,False,down
WBGene00009966,0,1.0,PFOS,-0.159248329885471,0.92058660727951,False,down
WBGene00020160,0,1.0,PFOS,-0.140687433848683,0.921023373806881,False,down
WBGene00022056,0,0.9666666666666667,PFOS,-0.137493066469247,0.929490518497005,False,down
WBGene00012983,0,1.0,PFOS,-0.0981753331536793,0.933716999652349,False,down
WBGene00010330,0,1.0,PFOS,-0.236920284346048,0.933716999652349,False,down
WBGene00013740,0,1.0,PFOS,0.129240951400843,0.934227026700036,False,up
WBGene00004338,0,0.8666666666666667,PFOS,-0.185217131532369,0.938573621804957,False,down
WBGene00007118,0,1.0,PFOS,-0.162160402946975,0.938982318735626,False,down
WBGene00002046,0,1.0,PFOS,-0.145522665112058,0.950011037340283,False,down
WBGene00000047,0,0.8333333333333334,PFOS,-0.179659968248939,0.950011037340283,False,down
WBGene00012996,0,1.0,PFOS,-0.159186222208618,0.954828568558256,False,down
WBGene00022612,0,1.0,PFOS,-0.381986861895089,0.954847598607419,False,down
WBGene00206361,0,0.5,PFOS,-0.395451040600899,0.954847598607419,False,down
WBGene00235268,0,1.0,PFOS,-0.837195142798135,0.954847598607419,False,down
WBGene00003392,0,1.0,PFOS,-0.116754781280213,0.961420998414246,False,down
WBGene00012936,0,1.0,PFOS,-0.22715810721731,0.961420998414246,False,down
WBGene00003762,0,0.9666666666666667,PFOS,-0.238302265281964,0.961420998414246,False,down
WBGene00006447,0,1.0,PFOS,-0.126168327462366,0.961899229558555,False,down
WBGene00011482,0,0.9,PFOS,-0.140171822615061,0.961899229558555,False,down
WBGene00018836,0,1.0,PFOS,-0.106150438595307,0.975765395755707,False,down
WBGene00001320,0,1.0,PFOS,-0.112570542331054,0.975765395755707,False,down
WBGene00004888,0,1.0,PFOS,-0.176271158944839,0.975765395755707,False,down
WBGene00017832,0,1.0,PFOS,-0.239933040289929,0.975765395755707,False,down
WBGene00003037,0,1.0,PFOS,-0.160401148129582,0.977888640845812,False,down
WBGene00001758,0,1.0,PFOS,-0.326838710525096,0.979937390716047,False,down
WBGene00002061,0,1.0,PFOS,-0.103746221054831,0.983623859897177,False,down
WBGene00022180,0,1.0,PFOS,-0.124728592352424,0.995377989652961,False,down
WBGene00018613,0,1.0,PFOS,-0.279839978637414,0.995377989652961,False,down
WBGene00004981,0,1.0,PFOS,-0.173463176303628,0.996060347715216,False,down
WBGene00012429,0,0.9,PFOS,0.449623600986923,0.999139297746776,False,up
WBGene00044032,0,1.0,PFOS,0.289895611737524,0.999139297746776,False,up
WBGene00022013,0,0.8333333333333334,PFOS,0.277310114993368,0.999139297746776,False,up
WBGene00019508,0,1.0,PFOS,0.275376179498048,0.999139297746776,False,up
WBGene00008292,0,1.0,PFOS,0.263566712562237,0.999139297746776,False,up
WBGene00003522,0,1.0,PFOS,0.257713170878375,0.999139297746776,False,up
WBGene00005194,0,0.5666666666666667,PFOS,0.223209659902805,0.999139297746776,False,up
WBGene00009713,0,0.8666666666666667,PFOS,0.222390866162398,0.999139297746776,False,up
WBGene00077690,0,1.0,PFOS,0.198183964544852,0.999139297746776,False,up
WBGene00000005,0,1.0,PFOS,0.186012541174682,0.999139297746776,False,up
WBGene00017969,0,1.0,PFOS,0.173951617196533,0.999139297746776,False,up
WBGene00021638,0,1.0,PFOS,0.172709007129987,0.999139297746776,False,up
WBGene00008567,0,1.0,PFOS,0.169169777543673,0.999139297746776,False,up
WBGene00018828,0,0.7666666666666667,PFOS,0.156164055673764,0.999139297746776,False,up
WBGene00010771,0,1.0,PFOS,0.15579487289465,0.999139297746776,False,up
