WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00001814,0,1.0,PFPeA,-0.851632453736631,2.71620756400964e-13,True,down
WBGene00003410,0,1.0,PFPeA,-0.933511611130342,7.70018685191976e-13,True,down
WBGene00011440,0,0.5333333333333333,PFPeA,-0.785513738995084,7.27614259828695e-12,True,down
WBGene00001045,0,1.0,PFPeA,-1.00417453062444,1.08694415670331e-09,True,down
WBGene00016103,0,1.0,PFPeA,-0.971357552222486,1.3119203741839502e-09,True,down
WBGene00017154,0,1.0,PFPeA,-1.4772587584725,1.7232183609249402e-09,True,down
WBGene00010738,0,1.0,PFPeA,-2.21584954598711,2.2712731682513704e-09,True,down
WBGene00015752,0,1.0,PFPeA,-0.909081873721133,3.5865410558261704e-09,True,down
WBGene00000722,0,1.0,PFPeA,-3.76591663213054,5.1145517863270106e-09,True,down
WBGene00000731,0,1.0,PFPeA,-2.23302309713248,6.178148052601251e-09,True,down
WBGene00003762,0,0.9666666666666667,PFPeA,-1.25635868415191,7.59630443174277e-09,True,down
WBGene00022173,0,1.0,PFPeA,-0.646709885414291,9.2863805673263e-09,True,down
WBGene00001232,0,1.0,PFPeA,-0.452054109312852,1.3132237811841e-08,True,down
WBGene00001430,0,1.0,PFPeA,-1.84618401591354,2.05049122360526e-08,True,down
WBGene00018656,0,1.0,PFPeA,-1.37646882002537,2.07252011400628e-08,True,down
WBGene00013263,0,1.0,PFPeA,-1.54600848227071,2.10814199876239e-08,True,down
WBGene00020184,0,1.0,PFPeA,-0.637521187780854,2.38923881802707e-08,True,down
WBGene00004233,0,1.0,PFPeA,-1.44339910024262,2.51801402268193e-08,True,down
WBGene00002039,0,1.0,PFPeA,-1.19075340241656,3.23305328495669e-08,True,down
WBGene00019760,0,1.0,PFPeA,-1.11559508945954,3.50282139836345e-08,True,down
WBGene00009133,0,1.0,PFPeA,-2.29423997002152,3.79622296705126e-08,True,down
WBGene00020382,0,1.0,PFPeA,-0.791500566643174,3.94952945005242e-08,True,down
WBGene00001000,0,1.0,PFPeA,-0.416263085497534,4.55560830519822e-08,True,down
WBGene00001069,0,1.0,PFPeA,-3.69343748812256,4.78548820557437e-08,True,down
WBGene00013435,0,1.0,PFPeA,-0.591563229425429,4.84331017008887e-08,True,down
WBGene00022188,0,1.0,PFPeA,-0.818735565871626,4.86493766551399e-08,True,down
WBGene00007350,0,1.0,PFPeA,-0.403419707774802,4.89583379482339e-08,True,down
WBGene00008762,0,1.0,PFPeA,-1.35870777900325,5.07327290767916e-08,True,down
WBGene00000877,0,1.0,PFPeA,-0.648385338295701,5.34191028530372e-08,True,down
WBGene00001688,0,1.0,PFPeA,-0.986064816789398,6.77692147364142e-08,True,down
WBGene00000475,0,1.0,PFPeA,-0.417317855170405,6.91068293324212e-08,True,down
WBGene00017984,0,1.0,PFPeA,-0.548896698338019,7.62613366744108e-08,True,down
WBGene00006447,0,1.0,PFPeA,-0.58764748207412,8.11745994993311e-08,True,down
WBGene00001840,0,1.0,PFPeA,-0.594128309505872,9.8787362774025e-08,True,down
WBGene00006794,0,1.0,PFPeA,-0.453976301519514,1.00400019752952e-07,True,down
WBGene00001758,0,1.0,PFPeA,-1.57767359238421,1.05826392676251e-07,True,down
WBGene00010075,0,1.0,PFPeA,-0.670414322329293,1.06690516662658e-07,True,down
