chemical_a,chemical_b,overlap_genes,jaccard,overlap_coefficient,concordant_sign_pct,fisher_odds_ratio,p_raw,q_bh_45_pairs
PFOSA,PFPeA,5177,0.5186855024546638,0.8632649658162415,95.61522117056211,6.134344389754139,0.0,0.0
PFBSA,PFPeA,2076,0.31830726770929163,0.798154555940023,96.77263969171483,7.392225015484388,0.0,0.0
PFEESA,PFBS,429,0.3237735849056604,0.5991620111731844,98.6013986013986,30.747172207823414,1e-323,1.5e-322
PFOS,PFNA,167,0.4394736842105263,0.8789473684210526,100.0,514.8338672768879,1.023605947761351e-256,1.1515566912315197e-255
GenX,PFBS,264,0.29398663697104677,0.5919282511210763,98.10606060606061,41.57172031508315,1.1143134865940566e-236,1.002882137934651e-235
PFNA,PFEESA,267,0.23670212765957446,0.7478991596638656,98.87640449438202,48.959619541720706,1.9261452788050775e-232,1.444608959103808e-231
PFNA,PFBS,239,0.2865707434052758,0.6694677871148459,98.32635983263597,55.27665849411932,1.0931839406723595e-231,7.027611047179454e-231
GenX,PFEESA,277,0.22949461474730737,0.6210762331838565,98.19494584837545,27.234991330311253,5.283434640336233e-206,2.971931985189131e-205
PFEESA,PFPeA,904,0.14744739846680802,0.8709055876685935,99.22566371681415,10.227359178972602,9.527793073044792e-205,4.763896536522395e-204
PFBSA,PFEESA,605,0.1994067237969677,0.5828516377649325,97.85123966942149,7.572755210189432,4.0913375019353525e-194,1.8411018758709088e-193
PFNA,PFOA,130,0.34120734908136485,0.8441558441558441,100.0,321.44456681350954,5.0770204502846785e-191,2.0769629114800958e-190
PFBS,PFBA,151,0.20160213618157544,0.8206521739130435,100.0,106.1170823277018,3.5037478661539354e-166,1.3139054498077257e-165
PFNA,GenX,166,0.260596546310832,0.4649859943977591,96.98795180722891,41.01888556469709,2.2116702322267498e-159,7.655781573092597e-159
PFOS,PFEESA,156,0.1455223880597015,0.8210526315789474,98.07692307692307,66.48259303721488,1.4596725440143963e-144,4.6918046057605593e-144
PFOS,GenX,125,0.2446183953033268,0.6578947368421053,98.4,79.92451473759886,3.055731739430582e-144,9.167195218291746e-144
PFOS,PFBS,139,0.18122555410691005,0.7315789473684211,98.56115107913669,61.80769361470758,1.24754048637356e-139,3.508707617925637e-139
PFBS,PFPeA,610,0.09995084384728822,0.8519553072625698,99.18032786885246,8.277947259475116,1.2335368082602962e-125,3.2652444924537254e-125
PFBSA,PFBS,406,0.1394709721745105,0.5670391061452514,92.85714285714286,6.528100521713572,1.500680161713979e-120,3.751700404284947e-120
PFOA,PFBS,114,0.15079365079365079,0.7402597402597403,98.24561403508771,61.99933554817276,6.296126985892224e-115,1.491187970342895e-114
PFOS,PFOA,80,0.30303030303030304,0.5194805194805194,100.0,133.54299754299754,2.652758388073933e-113,5.968706373166349e-113
PFBSA,GenX,293,0.10639070442992012,0.6569506726457399,96.9283276450512,9.208419705259342,6.667691379851091e-109,1.428791009968091e-108
PFOA,PFEESA,120,0.11194029850746269,0.7792207792207793,97.5,49.134948096885815,1.8108618896095754e-105,3.704035683292314e-105
PFOSA,PFBSA,2148,0.22342417308092366,0.825836216839677,92.36499068901304,2.8654523340286677,4.432450430010503e-94,8.672185623933594e-94
PFOA,GenX,84,0.16279069767441862,0.5454545454545454,95.23809523809523,44.20773480662984,1.6855363111000638e-85,3.1603805833126195e-85
GenX,PFPeA,386,0.0637279181112762,0.8654708520179372,96.6321243523316,8.937414602269351,5.116755979906635e-83,9.210160763831943e-83
PFNA,PFPeA,324,0.05373134328358209,0.907563025210084,98.4567901234568,13.53742608528436,7.264990476925793e-82,1.2574021979294643e-81
PFBSA,PFNA,217,0.0791681867931412,0.6078431372549019,93.54838709677419,7.2240142617449665,7.430226973835393e-71,1.2383711623058989e-70
GenX,PFBA,79,0.14337568058076225,0.42934782608695654,86.07594936708861,27.268171791877513,1.456469992656917e-69,2.3407553453414734e-69
PFNA,PFBA,72,0.1535181236673774,0.391304347826087,93.05555555555556,30.187218045112783,4.000069414157849e-67,6.207004263348387e-67
PFBSA,PFOS,141,0.05320754716981132,0.7421052631578947,97.16312056737588,13.103384768541563,9.014069784843443e-63,1.3521104677265164e-62
PFOA,PFBA,52,0.18181818181818182,0.33766233766233766,98.07692307692307,52.39393939393939,1.457641285212044e-60,2.115930897888451e-60
PFEESA,PFBA,94,0.08333333333333333,0.5108695652173914,89.36170212765957,14.077871939736346,7.160749991262376e-57,1.0069804675212715e-56
PFOS,PFPeA,177,0.029450915141430948,0.9315789473684211,98.87005649717514,18.3456780333069,3.4442978462959656e-49,4.69676979040359e-49
PFOS,PFBA,42,0.12650602409638553,0.22826086956521738,92.85714285714286,27.01941377997716,6.019001186420836e-40,7.966325099674636e-40
PFOA,PFPeA,138,0.022950274405454846,0.8961038961038961,95.65217391304348,11.539746543778802,8.446689969150362e-34,1.086002996033618e-33
PFBSA,PFOA,94,0.03532506576475009,0.6103896103896104,87.2340425531915,6.993445020608962,2.9146879878986106e-31,3.643359984873263e-31
PFBSA,PFBA,89,0.03301186943620178,0.483695652173913,76.40449438202246,4.160593362386859,5.028655373686596e-20,6.115932211240455e-20
PFOSA,PFBS,570,0.061244224777049536,0.7960893854748603,78.24561403508771,2.0654380260961216,2.747408515423205e-16,3.253510084053795e-16
PFPeA,PFBA,133,0.02199074074074074,0.7228260869565217,92.4812030075188,3.470601610357649,1.0663899891899268e-15,1.2304499875268385e-15
PFOSA,PFNA,300,0.03254502061184639,0.8403361344537815,88.33333333333333,2.7524516063887288,1.1758081041787774e-14,1.3227841172011246e-14
PFOSA,PFOS,170,0.01851650147042806,0.8947368421052632,88.23529411764706,4.415915915915916,6.007074969498276e-14,6.593131064083474e-14
PFOSA,PFEESA,790,0.08396216388564141,0.7610789980732178,83.92405063291139,1.6907304788806208,2.7206814053544195e-13,2.9150157914511637e-13
PFOSA,PFOA,137,0.014926999346262803,0.8896103896103896,91.24087591240875,4.174084793491865,4.710914634766522e-11,4.9300269433603134e-11
PFOSA,GenX,349,0.037697126809246057,0.7825112107623319,74.78510028653295,1.875729441108891,8.598277819415939e-09,8.793693224402664e-09
PFOSA,PFBA,144,0.0156504727746984,0.782608695652174,59.02777777777778,1.856892536320284,0.00020317195880885285,0.00020317195880885285
