chemical,consensus_module,module_genes,detected_genes,up_detected,down_detected,mean_logFC,median_logFC,mean_consensus_strength,core_genes,pct_module_detected,pct_chemical_detected_in_module,pct_up_among_detected,pct_up_wilson_low,pct_up_wilson_high
GenX,0,1915,1,0,1,-0.08500260632151224,-0.050796469,0.9827850304612706,1868,0.05221932114882506,0.2242152466367713,0.0,0.0,79.34506856227625
GenX,1,1496,212,124,88,0.09885096135360961,0.009560111,0.9072415329768271,1247,14.171122994652407,47.53363228699551,58.490566037735846,51.76421308001434,64.91469568788195
GenX,2,2386,70,36,34,-0.034106899131181895,-0.0281023745,0.9658982956132998,2270,2.933780385582565,15.695067264573991,51.42857142857142,39.95438391900923,62.754121616961434
GenX,3,2944,151,113,38,0.07442271539062499,0.0380105965,0.940636322463768,2630,5.1290760869565215,33.856502242152466,74.83443708609272,67.35529355457894,81.08134645851327
GenX,4,1514,12,11,1,0.06321173019815059,0.0543916125,0.9511889035667106,1360,0.7926023778071334,2.690582959641256,91.66666666666666,64.6120088858883,98.51349055950828
PFBA,0,1915,0,0,0,-0.04506784407432494,-0.0254331501154956,0.9827850304612706,1868,0.0,0.0,,,
PFBA,1,1496,99,68,31,0.030992879297442086,-0.0055333468758525,0.9072415329768271,1247,6.617647058823529,53.80434782608695,68.68686868686868,58.99849550902321,76.97921272682566
PFBA,2,2386,33,23,10,-0.022790752549763614,-0.013757417042896899,0.9658982956132998,2270,1.383067896060352,17.934782608695652,69.6969696969697,52.661864854199436,82.62446857594641
PFBA,3,2944,48,29,19,0.027057410101017344,0.03025027280321,0.940636322463768,2630,1.6304347826086956,26.08695652173913,60.416666666666664,46.31040849254725,72.97917213940862
PFBA,4,1514,4,1,3,0.018608832772295886,0.0242104656391011,0.9511889035667106,1360,0.26420079260237783,2.1739130434782608,25.0,4.558726080970055,69.93581574175981
PFBS,0,1915,25,1,24,-0.13530616233984086,-0.0779337290168435,0.9827850304612706,1868,1.3054830287206267,3.4916201117318435,4.0,0.7096233501987265,19.544063736193735
PFBS,1,1496,300,188,112,0.06258727115088272,-0.0016350148411254,0.9072415329768271,1247,20.053475935828878,41.899441340782126,62.66666666666667,57.065513288533076,67.94753144044509
PFBS,2,2386,131,63,68,-0.06308421808115905,-0.04961465797085115,0.9658982956132998,2270,5.490360435875943,18.29608938547486,48.091603053435115,39.712645951809414,56.57929567821346
PFBS,3,2944,230,188,42,0.11124407438114602,0.07776329988122185,0.940636322463768,2630,7.8125,32.12290502793296,81.73913043478261,76.23855775164692,86.19690631717353
PFBS,4,1514,30,26,4,0.12468443333669112,0.10826613753629649,0.9511889035667106,1360,1.9815059445178336,4.189944134078212,86.66666666666667,70.3186733179637,94.69034451594526
PFBSA,0,1915,620,4,616,-0.29649309424882847,-0.145996507934569,0.9827850304612706,1868,32.37597911227154,23.836985774702036,0.6451612903225806,0.2511682628360678,1.6469836879943789
PFBSA,1,1496,708,446,262,0.2885113970898317,0.07330780410318435,0.9072415329768271,1247,47.32620320855615,27.220299884659745,62.994350282485875,59.376695697011705,66.47175661213481
PFBSA,2,2386,347,49,298,-0.11659359820776147,-0.07973314832208239,0.9658982956132998,2270,14.54316848281643,13.341022683583237,14.121037463976945,10.848846645091347,18.178925375644273
PFBSA,3,2944,577,517,60,0.25794987360674915,0.156753541099266,0.940636322463768,2630,19.599184782608695,22.1837754709727,89.60138648180242,86.84334217370471,91.83561454675142
PFBSA,4,1514,349,345,4,0.2916132236912958,0.213988085854808,0.9511889035667106,1360,23.051519154557464,13.417916186082277,98.8538681948424,97.09055794492146,99.55341386602389
PFEESA,0,1915,55,1,54,-0.11562317151083602,-0.0839135542724627,0.9827850304612706,1868,2.8720626631853787,5.298651252408478,1.8181818181818181,0.3216780454841077,9.605776062162397
PFEESA,1,1496,449,309,140,0.2736461409900435,0.03957680447595455,0.9072415329768271,1247,30.013368983957218,43.25626204238921,68.8195991091314,64.39046476848989,72.92943973851258
PFEESA,2,2386,160,57,103,-0.07087068126643081,-0.0493274093332216,0.9658982956132998,2270,6.705783738474434,15.414258188824663,35.625,28.621456869575145,43.30262124160564
PFEESA,3,2944,314,266,48,0.16523520214291554,0.08638135533586089,0.940636322463768,2630,10.665760869565217,30.2504816955684,84.71337579617835,80.31547583948871,88.2721781465137
PFEESA,4,1514,60,57,3,0.13916257384553257,0.1042819578433435,0.9511889035667106,1360,3.963011889035667,5.780346820809249,95.0,86.29948352365146,98.28504978356042
PFNA,0,1915,3,1,2,-0.08975724976433552,-0.0550557214377733,0.9827850304612706,1868,0.1566579634464752,0.8403361344537815,33.33333333333333,6.149194472039621,79.23403991979522
PFNA,1,1496,170,120,50,0.09070398702075103,0.00462019280381025,0.9072415329768271,1247,11.363636363636363,47.61904761904762,70.58823529411765,63.3447595063229,76.92181468999718
PFNA,2,2386,38,14,24,-0.0494136380856767,-0.0329196186365282,0.9658982956132998,2270,1.5926236378876781,10.644257703081232,36.84210526315789,23.384219247155954,52.71604044299099
PFNA,3,2944,138,124,14,0.13054802097977286,0.07133013743194136,0.940636322463768,2630,4.6875,38.65546218487395,89.85507246376811,83.69110283195282,93.86027101499427
PFNA,4,1514,8,7,1,0.07819202522434217,0.05967408363120165,0.9511889035667106,1360,0.5284015852047557,2.2408963585434174,87.5,52.91118177871464,97.75825085499433
PFOA,0,1915,1,0,1,-0.05110194033960613,-0.023970501804018,0.9827850304612706,1868,0.05221932114882506,0.6493506493506493,0.0,0.0,79.34506856227625
PFOA,1,1496,74,65,9,0.06378214966381518,0.0029273675208611,0.9072415329768271,1247,4.946524064171123,48.05194805194805,87.83783783783784,78.47341343323124,93.46768434217738
PFOA,2,2386,7,5,2,-0.027725001650941977,-0.0143541058237162,0.9658982956132998,2270,0.2933780385582565,4.545454545454546,71.42857142857143,35.89344518326193,91.77810759959432
PFOA,3,2944,67,63,4,0.05784153275088647,0.0298782889853378,0.940636322463768,2630,2.275815217391304,43.506493506493506,94.02985074626866,85.63049895862846,97.65406488601809
PFOA,4,1514,5,4,1,0.028634716079492105,0.02354360809983285,0.9511889035667106,1360,0.33025099075297226,3.2467532467532467,80.0,37.55346297625253,96.37758913675698
PFOS,0,1915,0,0,0,-0.04242519888816044,-0.0296321515965616,0.9827850304612706,1868,0.0,0.0,,,
PFOS,1,1496,98,75,23,0.08417389252301602,0.00633775527018175,0.9072415329768271,1247,6.550802139037433,51.578947368421055,76.53061224489795,67.2382345780697,83.82152104812684
PFOS,2,2386,15,9,6,-0.03405208233238665,-0.026839691487561698,0.9658982956132998,2270,0.6286672254819782,7.894736842105263,60.0,35.7468301206246,80.17550385865842
PFOS,3,2944,75,74,1,0.09085908323303235,0.04494686385638015,0.940636322463768,2630,2.547554347826087,39.473684210526315,98.66666666666667,92.82663444557845,99.76424488609516
PFOS,4,1514,2,1,1,0.05936651689870142,0.044586357426846204,0.9511889035667106,1360,0.13210039630118892,1.0526315789473684,50.0,9.453120573423075,90.54687942657694
PFOSA,0,1915,1915,0,1915,-1.0049450466370757,-0.782507028,0.9827850304612706,1868,100.0,20.90383145944766,0.0,0.0,0.20019678035594757
PFOSA,1,1496,616,276,340,0.07508265308850659,-0.009304351999999998,0.9072415329768271,1247,41.1764705882353,6.7241567514463485,44.8051948051948,40.92235360388885,48.75242547239851
PFOSA,2,2386,2323,0,2323,-0.5604388466974015,-0.4196409935,0.9658982956132998,2270,97.3595976529757,25.357493723392643,0.0,0.0,0.16509327724636125
PFOSA,3,2944,2793,2793,0,0.8564965867584919,0.6087716435,0.940636322463768,2630,94.87092391304348,30.48793799803515,100.0,99.8626501045106,100.0
PFOSA,4,1514,1514,1514,0,1.2432570892351387,0.9508884215,0.9511889035667106,1360,100.0,16.5265800676782,100.0,99.74691303901537,100.0
PFPeA,0,1915,1485,0,1485,-0.4883579511606576,-0.324400660718116,0.9827850304612706,1868,77.54569190600522,24.7623811905953,0.0,0.0,0.2580166476380185
PFPeA,1,1496,975,578,397,0.20649005546026086,0.08010479579687435,0.9072415329768271,1247,65.17379679144385,16.258129064532266,59.282051282051285,56.167565304691415,62.32368252394761
PFPeA,2,2386,1085,96,989,-0.24703022204370484,-0.1721495770593825,0.9658982956132998,2270,45.47359597652976,18.09237952309488,8.847926267281107,7.300051143774423,10.68617239999169
PFPeA,3,2944,1435,1341,94,0.4462734785825909,0.2954218232514455,0.940636322463768,2630,48.74320652173913,23.928630982157745,93.44947735191637,92.04981872636824,94.61713073879856
PFPeA,4,1514,1017,1015,2,0.5184622903956084,0.3921177404001295,0.9511889035667106,1360,67.17305151915455,16.95847923961981,99.80334316617503,99.2858101827109,99.9460530265133
