module,namespace,GO_id,term,enrichment,p_raw,study_count,study_n,pop_count,pop_n,p_fdr_bh_family
0,BP,GO:0050794,regulation of cellular process,e,2.188922977603231e-12,401,809,2318,6061,6.73484694716137e-10
0,BP,GO:0065007,biological regulation,e,2.3193515199916398e-12,438,809,2587,6061,7.085536647066658e-10
0,BP,GO:0050789,regulation of biological process,e,2.8342793405080548e-12,421,809,2465,6061,8.33018906643368e-10
0,BP,GO:0006914,autophagy,e,2.2666323219382497e-11,30,809,62,6061,5.516112274999441e-09
0,BP,GO:0061919,process utilizing autophagic mechanism,e,2.2666323219382497e-11,30,809,62,6061,5.516112274999441e-09
0,BP,GO:0006355,regulation of DNA-templated transcription,e,5.81838940131794e-09,136,809,641,6061,8.983051020135135e-07
0,BP,GO:2001141,regulation of RNA biosynthetic process,e,6.02485780883957e-09,136,809,642,6061,9.202863479282428e-07
0,BP,GO:0070887,cellular response to chemical stimulus,e,6.682247656085302e-09,27,809,63,6061,1.0135134429080083e-06
0,BP,GO:0007165,signal transduction,e,9.136565825566857e-09,169,809,850,6061,1.334093467580652e-06
0,BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,e,9.875722971161565e-09,152,809,745,6061,1.417989223275948e-06
0,BP,GO:0051252,regulation of RNA metabolic process,e,1.2655016521965556e-08,145,809,705,6061,1.775618360533115e-06
0,BP,GO:0019222,regulation of metabolic process,e,2.2543307176675205e-08,211,809,1133,6061,2.9248583031183265e-06
0,BP,GO:0016236,macroautophagy,e,3.866786663165659e-08,22,809,48,6061,4.786259641260367e-06
0,BP,GO:0007218,neuropeptide signaling pathway,e,6.146306196020885e-08,22,809,49,6061,7.155463226854044e-06
0,BP,GO:0000422,autophagy of mitochondrion,e,1.0954590246385659e-07,16,809,29,6061,1.2037473848547506e-05
0,CC,GO:0005576,extracellular region,e,6.113707804057816e-10,92,849,373,6468,1.1449911463469149e-07
0,CC,GO:0030424,axon,e,7.674250403118521e-06,36,849,129,6468,0.0005238800889292081
0,CC,GO:0000151,ubiquitin ligase complex,e,7.476474544176985e-05,25,849,86,6468,0.0037977493041323543
0,CC,GO:0031588,nucleotide-activated protein kinase complex,e,0.00011128623151539574,6,849,8,6468,0.005285175769047047
0,CC,GO:0099503,secretory vesicle,e,0.00011970732628202268,15,849,41,6468,0.005610873862457157
0,CC,GO:0000407,phagophore assembly site,e,0.00012331793759644364,8,849,14,6468,0.005736414861735216
0,CC,GO:0043005,neuron projection,e,0.00013563634087607136,55,849,255,6468,0.0062273434355805905
0,CC,GO:0120025,plasma membrane bounded cell projection,e,0.00016750689391734143,68,849,335,6468,0.007446191388534038
0,CC,GO:0005776,autophagosome,e,0.00017785211405318738,9,849,18,6468,0.0078093576073812905
0,CC,GO:0005886,plasma membrane,e,0.00019940732109946545,164,849,968,6468,0.008633163561394505
0,CC,GO:0042995,cell projection,e,0.00025326686206355377,68,849,339,6468,0.010514596629072583
0,CC,GO:0098793,presynapse,e,0.0002849101636158747,13,849,35,6468,0.011530983662157716
0,CC,GO:0034045,phagophore assembly site membrane,e,0.00028478409441085587,7,849,12,6468,0.011530983662157716
0,CC,GO:0030670,phagocytic vesicle membrane,e,0.00029671532331218727,6,849,9,6468,0.011812396073634443
0,CC,GO:0030666,endocytic vesicle membrane,e,0.00029671532331218727,6,849,9,6468,0.011812396073634443
0,MF,GO:0003700,DNA-binding transcription factor activity,e,3.112722311747512e-13,100,816,365,6060,1.1971474426653938e-10
0,MF,GO:0140110,transcription regulator activity,e,5.252292451485491e-12,112,816,445,6060,1.469107125634659e-09
0,MF,GO:0043565,sequence-specific DNA binding,e,7.066228491544654e-11,103,816,413,6060,1.56895769213034e-08
0,MF,GO:0000987,cis-regulatory region sequence-specific DNA binding,e,3.354429902850613e-09,71,816,265,6060,5.432032634033464e-07
0,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,e,4.956435703367755e-09,70,816,262,6060,7.707525917782167e-07
0,MF,GO:0008270,zinc ion binding,e,1.9609590842120073e-08,91,816,385,6060,2.615118035679016e-06
0,MF,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,e,5.5253966784071415e-08,75,816,303,6060,6.50290879569365e-06
0,MF,GO:0043169,cation binding,e,7.096355738948949e-08,157,816,791,6060,8.15134729213936e-06
0,MF,GO:0046872,metal ion binding,e,1.1795215951013524e-07,152,816,765,6060,1.28954042408606e-05
0,MF,GO:0001067,transcription regulatory region nucleic acid binding,e,1.2799280404381548e-07,77,816,320,6060,1.3748852953085667e-05
0,MF,GO:0000976,transcription cis-regulatory region binding,e,1.2799280404381548e-07,77,816,320,6060,1.3748852953085667e-05
0,MF,GO:0098772,molecular function regulator activity,e,2.4747106639225517e-07,81,816,347,6060,2.5260227926176284e-05
0,MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",e,4.3791402804032494e-07,57,816,218,6060,4.229405102654035e-05
0,MF,GO:0005543,phospholipid binding,e,6.687746827753456e-07,26,816,71,6060,6.181860399259229e-05
0,MF,GO:1990837,sequence-specific double-stranded DNA binding,e,7.591967921968671e-07,77,816,331,6060,6.841506657715491e-05
1,BP,GO:0090304,nucleic acid metabolic process,e,2.9443708745625585e-43,320,1445,692,6061,6.34143877108911e-39
1,BP,GO:0016070,RNA metabolic process,e,1.2757846848000218e-40,260,1445,528,6061,1.0990885059552187e-36
