WB_id,module
WBGene00011673,5
WBGene00011671,5
WBGene00007231,4
WBGene00010413,8
WBGene00044514,2
WBGene00000986,2
WBGene00020587,2
WBGene00077764,8
WBGene00019818,4
WBGene00019515,5
WBGene00022813,5
WBGene00001756,5
WBGene00011672,5
WBGene00004236,2
WBGene00007232,4
WBGene00017480,5
WBGene00007811,2
WBGene00006890,7
WBGene00010904,5
WBGene00044658,4
WBGene00000372,5
WBGene00018206,5
WBGene00019516,5
WBGene00021610,4
WBGene00016505,4
WBGene00016174,8
WBGene00010706,2
WBGene00015045,2
WBGene00017970,4
WBGene00003997,4
WBGene00001387,8
WBGene00011002,2
WBGene00020891,8
WBGene00002270,4
WBGene00019875,4
WBGene00008032,8
WBGene00011190,3
WBGene00008607,6
WBGene00010707,2
WBGene00011800,5
WBGene00015692,2
WBGene00001814,0
WBGene00015044,2
WBGene00016863,2
WBGene00009319,0
WBGene00007215,0
WBGene00017426,0
WBGene00010697,4
WBGene00017244,5
WBGene00006418,8
WBGene00022159,0
WBGene00020382,0
WBGene00003410,0
WBGene00001390,4
WBGene00007072,5
WBGene00013435,0
WBGene00003561,4
WBGene00008273,5
WBGene00021611,2
WBGene00000412,5
WBGene00001775,6
WBGene00015752,0
WBGene00004176,4
WBGene00017154,0
WBGene00017488,8
WBGene00019234,2
WBGene00007810,5
WBGene00017315,2
WBGene00015067,4
WBGene00010738,0
WBGene00011894,8
WBGene00003415,0
WBGene00045379,0
WBGene00020947,4
WBGene00018488,1
WBGene00235110,8
WBGene00009812,0
WBGene00017621,4
WBGene00001624,2
WBGene00044278,8
WBGene00011408,0
WBGene00002007,0
WBGene00004020,6
WBGene00020110,0
WBGene00000017,4
WBGene00012909,0
WBGene00016594,4
WBGene00003964,0
WBGene00021327,0
WBGene00008775,0
WBGene00020301,4
WBGene00010627,0
WBGene00010478,0
WBGene00015168,0
WBGene00003877,0
WBGene00019543,0
WBGene00020915,0
WBGene00022306,4
WBGene00011480,0
WBGene00017431,8
WBGene00010524,0
WBGene00013882,4
WBGene00010303,0
WBGene00004894,4
WBGene00019965,7
WBGene00009383,4
WBGene00010032,0
WBGene00018340,0
WBGene00002238,0
WBGene00010896,0
WBGene00021088,0
WBGene00018430,5
WBGene00009920,8
WBGene00016906,0
WBGene00003752,4
WBGene00008743,4
WBGene00017220,4
WBGene00019104,4
WBGene00003995,5
WBGene00001621,4
WBGene00021048,4
WBGene00004008,4
WBGene00006617,0
WBGene00001025,8
WBGene00002066,0
WBGene00001228,0
WBGene00020895,5
WBGene00018748,4
WBGene00001209,0
WBGene00016180,4
WBGene00001232,0
WBGene00015920,0
WBGene00013181,4
WBGene00022173,0
WBGene00001650,0
WBGene00021934,0
WBGene00001497,0
WBGene00011771,0
WBGene00012717,4
WBGene00018373,0
WBGene00012531,5
WBGene00007946,2
WBGene00012978,0
WBGene00021369,4
WBGene00000016,4
WBGene00009660,4
WBGene00010681,4
WBGene00019357,4
WBGene00012182,4
WBGene00006984,4
WBGene00016583,0
WBGene00019220,0
WBGene00001674,4
WBGene00006889,0
WBGene00008602,7
WBGene00017865,4
WBGene00044182,8
WBGene00022078,4
WBGene00021546,0
WBGene00009110,2
WBGene00009803,4
WBGene00016607,0
WBGene00011424,4
WBGene00008439,4
WBGene00001243,1
WBGene00019827,4
WBGene00006787,0
WBGene00020788,1
WBGene00018731,4
WBGene00000155,0
WBGene00020784,4
WBGene00015930,5
WBGene00019246,0
WBGene00013906,2
WBGene00022599,0
WBGene00011440,6
WBGene00019510,0
WBGene00001945,4
WBGene00019537,0
WBGene00007055,4
WBGene00003989,0
WBGene00019800,0
WBGene00000977,5
WBGene00001226,0
WBGene00004981,0
WBGene00019830,7
WBGene00011286,4
WBGene00002083,0
WBGene00013577,4
WBGene00001231,0
WBGene00014826,8
WBGene00021852,6
WBGene00006945,0
WBGene00012964,0
WBGene00018271,0
WBGene00007350,0
WBGene00000067,1
WBGene00017245,0
WBGene00006662,4
WBGene00013586,8
WBGene00015282,0
WBGene00013740,0
WBGene00016844,0
WBGene00015076,4
WBGene00004227,4
WBGene00022739,0
WBGene00007460,4
WBGene00017892,0
WBGene00020184,0
WBGene00017283,0
WBGene00001774,0
WBGene00020068,0
WBGene00004014,0
WBGene00012665,0
WBGene00007001,0
WBGene00020269,0
WBGene00018953,4
WBGene00002244,0
WBGene00007764,4
WBGene00006684,4
WBGene00010872,4
WBGene00011042,8
WBGene00014244,6
WBGene00018204,4
WBGene00001446,4
WBGene00010665,5
WBGene00020592,5
WBGene00008583,6
WBGene00006686,8
WBGene00019233,2
WBGene00011488,0
WBGene00020902,0
WBGene00020148,4
WBGene00012738,0
WBGene00020706,4
WBGene00017342,4
WBGene00016234,4
WBGene00000788,4
WBGene00008780,4
WBGene00011803,0
WBGene00020142,4
WBGene00007302,4
WBGene00011344,4
WBGene00018744,0
WBGene00014016,4
WBGene00013672,8
WBGene00021757,0
WBGene00008123,0
WBGene00006724,0
WBGene00021351,0
WBGene00009380,4
WBGene00021888,0
WBGene00000381,0
WBGene00013340,0
WBGene00012977,0
WBGene00008832,4
WBGene00008603,4
WBGene00044481,2
WBGene00010015,0
WBGene00001501,1
WBGene00011481,0
WBGene00018984,6
WBGene00009092,0
WBGene00003599,4
WBGene00002804,0
WBGene00001758,0
WBGene00044183,2
WBGene00012714,0
WBGene00001452,4
WBGene00017515,5
WBGene00013647,2
WBGene00017719,1
WBGene00016103,0
WBGene00008040,4
WBGene00000391,1
WBGene00016894,4
WBGene00003725,4
WBGene00008401,0
WBGene00015965,6
WBGene00007000,0
WBGene00016866,4
WBGene00022180,0
WBGene00015676,0
WBGene00006705,4
WBGene00020219,4
WBGene00015551,4
WBGene00011112,0
WBGene00011232,4
WBGene00001233,0
WBGene00003925,0
WBGene00006512,0
WBGene00012825,4
WBGene00015042,2
WBGene00001154,0
WBGene00010405,0
WBGene00004144,4
WBGene00022615,0
WBGene00006604,0
WBGene00194641,4
WBGene00012992,0
WBGene00008258,1
WBGene00021276,0
WBGene00018341,0
WBGene00017834,4
WBGene00008409,0
WBGene00013311,0
WBGene00006924,0
WBGene00017948,0
WBGene00007508,4
WBGene00016142,0
WBGene00014058,4
WBGene00001234,0
WBGene00002077,0
WBGene00002497,0
WBGene00014249,0
WBGene00008494,1
WBGene00012713,0
WBGene00004382,4
WBGene00001635,0
WBGene00003573,4
WBGene00002879,0
WBGene00007712,0
WBGene00001423,0
WBGene00018872,4
WBGene00000383,4
WBGene00007630,0
WBGene00014083,0
WBGene00010139,0
WBGene00000266,1
WBGene00021248,0
WBGene00003815,0
WBGene00000298,8
WBGene00018866,0
WBGene00012466,4
WBGene00007395,4
WBGene00021890,4
WBGene00022722,0
WBGene00003130,0
WBGene00012610,2
WBGene00000800,0
WBGene00021466,0
WBGene00020909,2
WBGene00001427,0
WBGene00008617,8
WBGene00020216,0
WBGene00008692,0
WBGene00000475,0
WBGene00002005,1
WBGene00010985,8
WBGene00001840,0
WBGene00022181,4
WBGene00044344,0
WBGene00004233,0
WBGene00019232,4
WBGene00015552,4
WBGene00009291,4
WBGene00019748,4
WBGene00015350,4
WBGene00001439,4
WBGene00016340,5
WBGene00006603,2
WBGene00006447,0
WBGene00006964,0
WBGene00012366,4
WBGene00011018,4
WBGene00003390,0
WBGene00009211,0
WBGene00013997,0
WBGene00002981,4
WBGene00012126,0
WBGene00007605,5
WBGene00006059,0
WBGene00016407,4
WBGene00022797,4
WBGene00015250,4
WBGene00003893,0
WBGene00000883,0
WBGene00022793,0
WBGene00000503,4
WBGene00019380,0
WBGene00003568,4
WBGene00004302,0
WBGene00010097,0
WBGene00020097,0
WBGene00019645,5
WBGene00001020,0
WBGene00011849,4
WBGene00002980,4
WBGene00010480,4
WBGene00011899,4
WBGene00009797,4
WBGene00004210,2
WBGene00011222,6
WBGene00007992,4
WBGene00022738,0
WBGene00018732,4
WBGene00001113,0
WBGene00010766,0
WBGene00011412,0
WBGene00012361,0
WBGene00011730,0
WBGene00009578,4
WBGene00018758,4
WBGene00021512,0
WBGene00018293,1
WBGene00006626,0
WBGene00008781,0
WBGene00017816,0
WBGene00009033,4
WBGene00015461,0
WBGene00017319,0
WBGene00022046,0
WBGene00011006,1
WBGene00045433,0
WBGene00006472,0
WBGene00022122,0
WBGene00017336,5
WBGene00003957,1
WBGene00019284,4
WBGene00019678,0
WBGene00021754,0
WBGene00002070,0
WBGene00021624,4
WBGene00016250,1
WBGene00007073,5
WBGene00010560,0
WBGene00001240,1
WBGene00016913,0
WBGene00000179,0
WBGene00008027,4
WBGene00000933,0
WBGene00017149,1
WBGene00013039,4
