WB_id,consensus_strength
WBGene00011673,0.6
WBGene00011671,0.9
WBGene00007231,1.0
WBGene00010413,0.9666666666666667
WBGene00044514,0.9333333333333333
WBGene00000986,1.0
WBGene00020587,1.0
WBGene00077764,0.9333333333333333
WBGene00019818,1.0
WBGene00019515,0.9333333333333333
WBGene00022813,0.9333333333333333
WBGene00001756,1.0
WBGene00011672,0.9
WBGene00004236,1.0
WBGene00007232,1.0
WBGene00017480,1.0
WBGene00007811,1.0
WBGene00006890,1.0
WBGene00010904,0.9666666666666667
WBGene00044658,1.0
WBGene00000372,0.9666666666666667
WBGene00018206,0.9666666666666667
WBGene00019516,1.0
WBGene00021610,1.0
WBGene00016505,1.0
WBGene00016174,0.9
WBGene00010706,0.5333333333333333
WBGene00015045,0.6333333333333333
WBGene00017970,1.0
WBGene00003997,1.0
WBGene00001387,0.7333333333333333
WBGene00011002,1.0
WBGene00020891,0.5666666666666667
WBGene00002270,0.9666666666666667
WBGene00019875,1.0
WBGene00008032,0.9
WBGene00011190,1.0
WBGene00008607,1.0
WBGene00010707,0.9
WBGene00011800,0.9666666666666667
WBGene00015692,1.0
WBGene00001814,1.0
WBGene00015044,0.8
WBGene00016863,1.0
WBGene00009319,1.0
WBGene00007215,1.0
WBGene00017426,1.0
WBGene00010697,1.0
WBGene00017244,0.9666666666666667
WBGene00006418,0.9666666666666667
WBGene00022159,1.0
WBGene00020382,1.0
WBGene00003410,1.0
WBGene00001390,1.0
WBGene00007072,0.9
WBGene00013435,1.0
WBGene00003561,1.0
WBGene00008273,0.8666666666666667
WBGene00021611,0.9
WBGene00000412,0.9666666666666667
WBGene00001775,1.0
WBGene00015752,1.0
WBGene00004176,1.0
WBGene00017154,1.0
WBGene00017488,0.9
WBGene00019234,1.0
WBGene00007810,1.0
WBGene00017315,1.0
WBGene00015067,1.0
WBGene00010738,1.0
WBGene00011894,0.7
WBGene00003415,1.0
WBGene00045379,1.0
WBGene00020947,1.0
WBGene00018488,1.0
WBGene00235110,0.9666666666666667
WBGene00009812,1.0
WBGene00017621,1.0
WBGene00001624,0.5666666666666667
WBGene00044278,0.9333333333333333
WBGene00011408,1.0
WBGene00002007,1.0
WBGene00004020,1.0
WBGene00020110,1.0
WBGene00000017,1.0
WBGene00012909,1.0
WBGene00016594,1.0
WBGene00003964,1.0
WBGene00021327,1.0
WBGene00008775,1.0
WBGene00020301,1.0
WBGene00010627,1.0
WBGene00010478,1.0
WBGene00015168,1.0
WBGene00003877,1.0
WBGene00019543,1.0
WBGene00020915,1.0
WBGene00022306,1.0
WBGene00011480,1.0
WBGene00017431,0.9666666666666667
WBGene00010524,1.0
WBGene00013882,1.0
WBGene00010303,1.0
WBGene00004894,1.0
WBGene00019965,1.0
WBGene00009383,1.0
WBGene00010032,1.0
WBGene00018340,1.0
WBGene00002238,1.0
WBGene00010896,1.0
WBGene00021088,1.0
WBGene00018430,1.0
WBGene00009920,0.9666666666666667
WBGene00016906,1.0
WBGene00003752,1.0
WBGene00008743,1.0
WBGene00017220,1.0
WBGene00019104,1.0
WBGene00003995,0.9666666666666667
WBGene00001621,0.9666666666666667
WBGene00021048,1.0
WBGene00004008,1.0
WBGene00006617,1.0
WBGene00001025,1.0
WBGene00002066,1.0
WBGene00001228,1.0
WBGene00020895,1.0
WBGene00018748,1.0
WBGene00001209,1.0
WBGene00016180,1.0
WBGene00001232,1.0
WBGene00015920,1.0
WBGene00013181,1.0
WBGene00022173,1.0
WBGene00001650,1.0
WBGene00021934,1.0
WBGene00001497,1.0
WBGene00011771,1.0
WBGene00012717,1.0
WBGene00018373,1.0
WBGene00012531,1.0
WBGene00007946,0.9666666666666667
WBGene00012978,1.0
WBGene00021369,1.0
WBGene00000016,1.0
WBGene00009660,1.0
WBGene00010681,1.0
WBGene00019357,1.0
WBGene00012182,1.0
WBGene00006984,1.0
WBGene00016583,1.0
WBGene00019220,1.0
WBGene00001674,0.9
WBGene00006889,1.0
WBGene00008602,1.0
WBGene00017865,1.0
WBGene00044182,0.5666666666666667
WBGene00022078,1.0
WBGene00021546,0.9666666666666667
WBGene00009110,0.9
WBGene00009803,1.0
WBGene00016607,1.0
WBGene00011424,1.0
WBGene00008439,1.0
WBGene00001243,1.0
WBGene00019827,1.0
WBGene00006787,1.0
WBGene00020788,1.0
WBGene00018731,1.0
WBGene00000155,1.0
WBGene00020784,1.0
WBGene00015930,0.8333333333333334
WBGene00019246,1.0
WBGene00013906,1.0
