k,config,df,log_likelihood,BIC,ICL
2,d1_lines,42.0,-101621.07090835052,203630.0336848623,204074.4576315226
2,d0_points,22.0,-107590.17984646349,215383.54114767813,215481.81311485838
3,d1_lines,63.0,-93268.74707889158,187119.33196002507,188122.22926326393
3,d0_points,33.0,-99267.18676922125,198839.1457205692,199664.4734877606
4,d1_lines,84.0,-89238.40529954797,179252.5943354185,180516.3869747074
4,d0_points,44.0,-95909.10233848414,192224.56758647057,193704.5649732752
5,d1_lines,105.0,-87572.64103914807,176115.01174869933,177969.08773472864
5,d0_points,55.0,-93847.406315806,188202.76626848985,189956.11166198383
6,d1_lines,126.0,-86699.41506990811,174562.50574430003,176331.86244021627
6,d0_points,66.0,-92068.35167337707,184746.24771100757,186666.7463213129
7,d1_lines,147.0,-85771.67589422296,172900.97332701038,175317.22248750133
7,d0_points,77.0,-90704.98712372803,182121.10933908506,184687.27842810692
8,d1_lines,168.0,-85131.05645748107,171813.68038760722,174552.62361471076
8,d0_points,88.0,-90296.99593394977,181406.71768690413,184283.3838579809
9,d1_lines,189.0,-84263.78177387638,170273.07695447849,173315.73573440203
9,d0_points,99.0,-88752.65482395809,178419.62619429632,181197.31649222237
10,d1_lines,210.0,-83672.76285497402,169284.9850507544,172935.883439595
10,d0_points,110.0,-88144.32046824352,177304.54821024273,180450.7740634192
11,d1_lines,231.0,-83385.82770132796,168905.0606775429,172671.574782055
11,d0_points,121.0,-87682.47714987371,176482.4523008787,179897.8818662545
12,d1_lines,252.0,-82592.36787172512,167512.08695241786,171615.86598878147
12,d0_points,132.0,-87204.71434170456,175628.51741191596,179371.43806404228
13,d1_lines,273.0,-82437.9558307291,167397.20880450646,171482.29977847735
13,d0_points,143.0,-86726.98572633645,174774.65090855534,178750.63937059487
14,d1_lines,294.0,-81927.24804066475,166569.7391584584,170799.354691217
14,d0_points,154.0,-86087.70923119353,173597.68864564504,177641.69529197807
15,d1_lines,315.0,-81817.28257484155,166543.75416089263,170684.90094689938
15,d0_points,165.0,-85798.40066116895,173120.6622329715,176928.57952185388
16,d1_lines,336.0,-81398.58894720873,165900.31283970765,170235.54375300018
16,d0_points,176.0,-85298.79002349038,172223.0316849899,176111.4442371262
17,d1_lines,357.0,-80701.70438497084,164700.4896493125,169371.41430860685
17,d0_points,187.0,-84834.31486288147,171395.67209114766,175848.90100457877
18,d1_lines,378.0,-80710.07702006408,164911.18085357963,169559.343671221
18,d0_points,198.0,-84578.27935886622,170985.19181049272,175314.80612559879
19,d1_lines,399.0,-80219.20833362828,164123.38941478866,169051.58440584136
19,d0_points,209.0,-84240.60740041801,170411.43862097187,175225.0225700674
20,d1_lines,420.0,-80408.1908780939,164695.30043780053,169688.25141349484
20,d0_points,220.0,-83957.77215536134,169947.3588582341,174635.7908612693
21,d1_lines,441.0,-79802.55887336342,163677.9823624202,169018.79016332762
21,d0_points,231.0,-83479.35926161596,169092.1237981189,173999.08017604728
22,d1_lines,462.0,-79613.23884554522,163493.28824086444,168847.1863799166
22,d0_points,242.0,-83372.0841729847,168979.16434823198,173999.7920080201
23,d1_lines,483.0,-79564.71571060171,163590.18790505806,168852.49421193855
23,d0_points,253.0,-83092.8280090413,168522.24274772074,173435.77828439217
24,d1_lines,504.0,-79049.82176642504,162754.34595078535,168153.98311843746
24,d0_points,264.0,-82868.1439490423,168174.46535509833,172958.65379314596
25,d1_lines,525.0,-79070.35204531059,162989.3524426371,168581.71097320976
25,d0_points,275.0,-82695.16604535391,167930.1002750971,173199.1321890797
