k,mean_ARI,sd_ARI,n_boot_ok,BIC
3,0.9035909657471082,0.04296146989675107,15,187119.33196002507
4,0.905205611682969,0.053722338662493166,15,179252.5943354185
5,0.7495959697312082,0.13816518868043584,15,176115.01174869933
6,0.7387383560802218,0.08770687076093253,15,174562.50574430003
7,0.5062877791345105,0.08430207308057891,15,172900.97332701038
8,0.5592971396837808,0.09056083489871572,15,171813.68038760722
9,0.5047160814150116,0.06417264818563731,15,170273.07695447849
10,0.42818389982685734,0.05031799782440628,15,169284.9850507544
11,0.4852389011032968,0.06299156157148933,15,168905.0606775429
12,0.4556172770499704,0.05375113805238229,15,167512.08695241786
13,0.4428664094170635,0.06171244945796738,15,167397.20880450646
14,0.4633100233497831,0.04842419416366718,15,166569.7391584584
15,0.4269436448567492,0.047107758643745216,15,166543.75416089263
