pair,real_corr,null_mean,percentile_vs_null,p_empirical,q_bh_45_pairs
PFNA-PFBS,0.965,0.442,100.0,0.009900990099009901,0.08910891089108912
PFOS-PFOA,0.94,0.399,100.0,0.009900990099009901,0.08910891089108912
PFOA-PFBA,0.926,0.355,100.0,0.009900990099009901,0.08910891089108912
PFNA-GenX,0.924,0.419,100.0,0.009900990099009901,0.08910891089108912
PFOS-GenX,0.91,0.403,100.0,0.009900990099009901,0.08910891089108912
PFOS-PFNA,0.947,0.603,99.0,0.019801980198019802,0.11138613861386139
GenX-PFBS,0.898,0.445,99.0,0.019801980198019802,0.11138613861386139
PFOS-PFBA,0.895,0.231,99.0,0.019801980198019802,0.11138613861386139
PFOS-PFBS,0.893,0.344,98.0,0.0297029702970297,0.1485148514851485
PFBS-PFBA,0.875,0.428,97.0,0.039603960396039604,0.17821782178217824
PFNA-PFBA,0.837,0.315,96.0,0.04950495049504951,0.20252025202520255
PFOA-GenX,0.786,0.315,95.0,0.0594059405940594,0.22277227722772278
GenX-PFBA,0.809,0.302,94.0,0.06930693069306931,0.23990860624523996
PFOA-PFBS,0.801,0.353,88.0,0.12871287128712872,0.41371994342291374
PFNA-PFOA,0.847,0.541,84.0,0.16831683168316833,0.5049504950495051
PFBSA-PFEESA,0.518,0.205,78.0,0.22772277227722773,0.6404702970297029
PFOS-PFEESA,0.549,0.253,73.0,0.27722772277227725,0.7338380896913221
PFOA-PFEESA,0.481,0.296,66.0,0.3465346534653465,0.8274398868458275
PFEESA-PFPeA,0.329,0.16,64.0,0.36633663366336633,0.8274398868458275
PFEESA-PFBA,0.357,0.216,62.0,0.38613861386138615,0.8274398868458275
PFBSA-PFOA,0.253,0.059,62.0,0.38613861386138615,0.8274398868458275
PFBSA-PFPeA,0.353,0.234,59.0,0.4158415841584158,0.8505850585058505
GenX-PFEESA,0.406,0.328,52.0,0.48514851485148514,0.9075907590759077
PFBSA-PFBA,0.131,0.124,50.0,0.504950495049505,0.9075907590759077
PFNA-PFEESA,0.389,0.376,47.0,0.5346534653465347,0.9075907590759077
PFBSA-PFOS,0.111,0.098,46.0,0.5445544554455446,0.9075907590759077
PFOSA-PFPeA,-0.298,-0.175,46.0,0.5445544554455446,0.9075907590759077
PFBSA-PFNA,-0.109,0.07,35.0,0.6534653465346535,0.9822232223222322
PFEESA-PFBS,0.283,0.407,32.0,0.6831683168316832,0.9822232223222322
PFOSA-GenX,-0.407,-0.115,30.0,0.7029702970297029,0.9822232223222322
PFOSA-PFBS,-0.438,-0.102,24.0,0.7623762376237624,0.9822232223222322
PFOS-PFPeA,-0.233,0.058,22.0,0.7821782178217822,0.9822232223222322
PFNA-PFPeA,-0.205,0.116,21.0,0.7920792079207921,0.9822232223222322
PFBSA-PFBS,-0.129,0.203,19.0,0.8118811881188119,0.9822232223222322
GenX-PFPeA,-0.31,0.099,13.0,0.8712871287128713,0.9822232223222322
PFOSA-PFBA,-0.532,-0.085,13.0,0.8712871287128713,0.9822232223222322
PFBSA-GenX,-0.252,0.189,11.0,0.8910891089108911,0.9822232223222322
PFBS-PFPeA,-0.287,0.142,11.0,0.8910891089108911,0.9822232223222322
PFOA-PFPeA,-0.353,0.07,11.0,0.8910891089108911,0.9822232223222322
PFOSA-PFNA,-0.482,-0.01,10.0,0.900990099009901,0.9822232223222322
PFOSA-PFBSA,-0.694,-0.132,7.0,0.9306930693069307,0.9822232223222322
PFOSA-PFOA,-0.598,-0.049,6.0,0.9405940594059405,0.9822232223222322
PFPeA-PFBA,-0.508,0.066,4.0,0.9603960396039604,0.9822232223222322
PFOSA-PFOS,-0.638,0.011,4.0,0.9603960396039604,0.9822232223222322
PFOSA-PFEESA,-0.891,-0.128,1.0,0.9900990099009901,0.9900990099009901
