chemical,0,1,2,3,4
PFOSA,0.16270552677841693,-1.116726543272517,0.12411771055841041,0.08677238909096065,0.16269361993640713
PFBSA,0.3518635220559926,0.8990189075065909,-0.8015114617422068,-0.37166136446868764,-0.13768894728520964
PFOS,-6.169133447463361,1.803548320162597,-1.5282237598712498,0.4558625019138543,-3.513526470024947
PFNA,-4.262294169443699,1.697208167246107,-1.117990580383261,0.4274185267317216,-2.646048832618041
PFOA,-4.285780928679593,1.6977704091982615,-2.2762273264501083,0.5942822472636942,-2.078848039643536
GenX,-5.803661479873472,1.6965199343371162,-0.56462175223632,0.23712909139325544,-2.408067122682676
PFEESA,-1.8079803420625709,1.5649760611324997,-0.5924834530995365,0.07538469971491558,-1.3455365858062445
PFBS,-2.3958642645545445,1.5176611487224416,-0.34555884737175147,0.16177996807455927,-1.799996005997711
PFPeA,0.4069748349624352,0.15629390677415345,-0.3627365929259298,-0.2626286606471833,0.19986369070385923
PFBA,-6.123493400196169,1.863581402411247,-0.37056327616389795,-0.1367630056643077,-2.620059550623399
