WB_id,module
WBGene00011673,2
WBGene00011671,4
WBGene00007231,4
WBGene00010413,0
WBGene00044514,0
WBGene00000986,4
WBGene00020587,1
WBGene00077764,0
WBGene00019818,4
WBGene00019515,1
WBGene00022813,4
WBGene00001756,4
WBGene00011672,4
WBGene00004236,0
WBGene00007232,4
WBGene00017480,1
WBGene00007811,4
WBGene00006890,4
WBGene00010904,1
WBGene00044658,0
WBGene00000372,4
WBGene00018206,1
WBGene00019516,4
WBGene00021610,4
WBGene00016505,0
WBGene00016174,4
WBGene00010706,0
WBGene00015045,0
WBGene00017970,4
WBGene00003997,4
WBGene00001387,4
WBGene00011002,1
WBGene00020891,0
WBGene00002270,0
WBGene00019875,0
WBGene00008032,1
WBGene00011190,4
WBGene00008607,2
WBGene00010707,0
WBGene00011800,4
WBGene00015692,0
WBGene00001814,2
WBGene00015044,0
WBGene00016863,4
WBGene00009319,1
WBGene00007215,1
WBGene00017426,2
WBGene00010697,4
WBGene00017244,1
WBGene00006418,0
WBGene00022159,1
WBGene00020382,1
WBGene00003410,2
WBGene00001390,4
WBGene00007072,3
WBGene00013435,1
WBGene00003561,4
WBGene00008273,1
WBGene00021611,0
WBGene00000412,1
WBGene00001775,2
WBGene00015752,1
WBGene00004176,4
WBGene00017154,1
WBGene00017488,4
WBGene00019234,0
WBGene00007810,1
WBGene00017315,4
WBGene00015067,4
WBGene00010738,1
WBGene00011894,3
WBGene00003415,1
WBGene00045379,1
WBGene00020947,4
WBGene00018488,1
WBGene00235110,4
WBGene00009812,1
WBGene00017621,4
WBGene00001624,4
WBGene00044278,4
WBGene00011408,1
WBGene00002007,1
WBGene00004020,2
WBGene00020110,1
WBGene00000017,4
WBGene00012909,2
WBGene00016594,3
WBGene00003964,1
WBGene00021327,2
WBGene00008775,1
WBGene00020301,0
WBGene00010627,2
WBGene00010478,2
WBGene00015168,1
WBGene00003877,1
WBGene00019543,2
WBGene00020915,2
WBGene00022306,4
WBGene00011480,1
WBGene00017431,4
WBGene00010524,1
WBGene00013882,4
WBGene00010303,2
WBGene00004894,0
WBGene00019965,4
WBGene00009383,4
WBGene00010032,1
WBGene00018340,2
WBGene00002238,2
WBGene00010896,2
WBGene00021088,2
WBGene00018430,1
WBGene00009920,4
WBGene00016906,2
WBGene00003752,0
WBGene00008743,0
WBGene00017220,4
WBGene00019104,0
WBGene00003995,1
WBGene00001621,4
WBGene00021048,4
WBGene00004008,0
WBGene00006617,1
WBGene00001025,1
WBGene00002066,1
WBGene00001228,2
WBGene00020895,4
WBGene00018748,4
WBGene00001209,2
WBGene00016180,4
WBGene00001232,2
WBGene00015920,1
WBGene00013181,4
WBGene00022173,1
WBGene00001650,2
WBGene00021934,1
WBGene00001497,1
WBGene00011771,1
WBGene00012717,4
WBGene00018373,1
WBGene00012531,4
WBGene00007946,0
WBGene00012978,2
WBGene00021369,4
WBGene00000016,4
WBGene00009660,4
WBGene00010681,3
WBGene00019357,4
WBGene00012182,0
WBGene00006984,4
WBGene00016583,1
WBGene00019220,2
WBGene00001674,0
WBGene00006889,1
WBGene00008602,4
WBGene00017865,0
WBGene00044182,4
WBGene00022078,4
WBGene00021546,1
WBGene00009110,4
WBGene00009803,4
WBGene00016607,2
WBGene00011424,2
WBGene00008439,4
WBGene00001243,1
WBGene00019827,4
WBGene00006787,1
WBGene00020788,2
WBGene00018731,4
WBGene00000155,2
WBGene00020784,4
WBGene00015930,1
