,module
WBGene00000003,2
WBGene00000008,0
WBGene00000009,0
WBGene00000010,2
WBGene00000016,4
WBGene00000017,4
WBGene00000020,3
WBGene00000022,0
WBGene00000038,2
WBGene00000039,1
WBGene00000040,2
WBGene00000043,0
WBGene00000044,0
WBGene00000046,0
WBGene00000063,1
WBGene00000065,2
WBGene00000067,2
WBGene00000068,0
WBGene00000081,3
WBGene00000088,3
WBGene00000090,3
WBGene00000094,0
WBGene00000098,1
WBGene00000099,1
WBGene00000110,3
WBGene00000111,0
WBGene00000114,0
WBGene00000116,0
WBGene00000118,2
WBGene00000120,2
WBGene00000133,0
WBGene00000135,0
WBGene00000136,2
WBGene00000138,3
WBGene00000155,1
WBGene00000172,2
WBGene00000175,0
WBGene00000176,0
WBGene00000178,0
WBGene00000179,1
WBGene00000181,0
WBGene00000182,1
WBGene00000188,4
WBGene00000190,0
WBGene00000197,1
WBGene00000198,2
WBGene00000203,2
WBGene00000204,2
WBGene00000211,3
WBGene00000212,0
WBGene00000215,2
WBGene00000216,3
WBGene00000218,2
WBGene00000219,3
WBGene00000221,2
WBGene00000223,4
WBGene00000225,2
WBGene00000227,2
WBGene00000236,2
WBGene00000237,2
WBGene00000239,2
WBGene00000240,0
WBGene00000245,0
WBGene00000253,3
WBGene00000257,2
WBGene00000265,2
WBGene00000266,2
WBGene00000275,1
WBGene00000277,4
WBGene00000281,0
WBGene00000282,3
WBGene00000286,4
WBGene00000298,3
WBGene00000302,0
WBGene00000372,0
WBGene00000378,1
WBGene00000380,1
WBGene00000381,1
WBGene00000383,4
WBGene00000387,1
WBGene00000391,2
WBGene00000399,1
WBGene00000401,1
WBGene00000402,1
WBGene00000406,2
WBGene00000409,0
WBGene00000411,1
WBGene00000412,0
WBGene00000413,1
WBGene00000417,2
WBGene00000418,0
WBGene00000420,2
WBGene00000422,0
WBGene00000425,3
WBGene00000435,3
WBGene00000437,3
WBGene00000439,0
WBGene00000447,3
WBGene00000449,3
WBGene00000451,0
WBGene00000467,0
WBGene00000472,0
WBGene00000475,1
WBGene00000478,0
WBGene00000485,3
WBGene00000498,1
WBGene00000502,1
WBGene00000503,4
WBGene00000512,3
WBGene00000521,0
WBGene00000526,0
WBGene00000528,0
WBGene00000534,4
WBGene00000539,2
WBGene00000540,3
WBGene00000541,1
WBGene00000543,0
WBGene00000550,1
WBGene00000556,0
WBGene00000557,2
WBGene00000563,3
WBGene00000564,0
WBGene00000566,0
WBGene00000594,2
WBGene00000623,1
WBGene00000633,2
WBGene00000645,0
WBGene00000655,3
WBGene00000666,4
WBGene00000673,3
WBGene00000675,4
WBGene00000691,2
WBGene00000692,3
WBGene00000699,2
WBGene00000702,2
WBGene00000711,0
WBGene00000712,0
WBGene00000719,2
WBGene00000720,2
WBGene00000722,1
WBGene00000724,0
WBGene00000731,1
WBGene00000732,0
WBGene00000734,3
WBGene00000740,2
WBGene00000741,2
WBGene00000742,2
WBGene00000743,2
WBGene00000750,3
WBGene00000753,2
WBGene00000765,1
WBGene00000772,2
WBGene00000775,0
WBGene00000776,0
WBGene00000779,0
WBGene00000781,0
WBGene00000782,3
WBGene00000783,3
WBGene00000784,2
WBGene00000785,2
WBGene00000786,0
WBGene00000788,4
WBGene00000789,0
WBGene00000794,1
WBGene00000795,0
WBGene00000799,0
WBGene00000800,1
WBGene00000802,2
