legacy_path,category,original_method,identified_issue,corrected_method,final_location,scientific_status,disposition,corrected_counterpart,bytes,crc32
Vichama_Kspaces/DEG_stacked_barplot.png,detection-set summary,Thresholded DEG overlap summary,Detection thresholds were mixed with continuous effect representation,Report threshold sensitivity beside continuous logFC evidence,output/deg_counts.csv and PFAS_master_analysis.ipynb Section 3,valid but improved,valid but improved,Retain as threshold-defined detection categories with continuous effect evidence.,122304,e7aecac6
Vichama_Kspaces/GO_enrichment_dotplot.png,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",316625,f01a4405
Vichama_Kspaces/GO_enrichment_per_module.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",46256,d4295389
Vichama_Kspaces/GO_module_union_DEGs.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",87193,f0081f79
Vichama_Kspaces/GO_module_union_DEGs.png,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",330229,9d6703c5
Vichama_Kspaces/GO_per_chem_per_module/GenX_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",3661,2e1c6eae
Vichama_Kspaces/GO_per_chem_per_module/GenX_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2110,6a229f44
Vichama_Kspaces/GO_per_chem_per_module/GenX_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",5436,d08b4301
Vichama_Kspaces/GO_per_chem_per_module/GenX_Module_3.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2920,9d857933
Vichama_Kspaces/GO_per_chem_per_module/GenX_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1844,71e9cf2c
Vichama_Kspaces/GO_per_chem_per_module/PFBA_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",732,684f39da
Vichama_Kspaces/GO_per_chem_per_module/PFBA_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",8243,7df0b679
