WB_id,consensus_module,consensus_strength,chemical,logFC,FDR,is_detected,direction
WBGene00009049,4,0.9666666666666667,PFBS,-0.514976610609597,8.78883674633653e-05,True,down
WBGene00021048,4,1.0,PFBS,0.751201106744743,0.0001160986376123,True,up
WBGene00020891,4,0.5666666666666667,PFBS,0.532480004815103,0.0001672142889682,True,up
WBGene00001446,4,1.0,PFBS,0.747495010162257,0.0008653469069628,True,up
WBGene00001455,4,0.7666666666666667,PFBS,0.432902871716056,0.0014728530482225,True,up
WBGene00001624,4,0.5666666666666667,PFBS,-0.542178488596604,0.0031234817264251,True,down
WBGene00008522,4,0.9,PFBS,0.447127253693317,0.0044183344713322,True,up
WBGene00000901,4,1.0,PFBS,0.205119606947059,0.0050892011890632,True,up
WBGene00003744,4,1.0,PFBS,0.314325158109524,0.0057094767325467,True,up
WBGene00001674,4,0.9,PFBS,0.358589375826446,0.008991676896866,True,up
WBGene00003752,4,1.0,PFBS,0.390363049619382,0.0091173583374935,True,up
WBGene00004008,4,1.0,PFBS,0.657179783964297,0.0112648461404851,True,up
WBGene00017961,4,0.9,PFBS,0.46900437990368,0.0135261446915656,True,up
WBGene00020714,4,1.0,PFBS,0.440829839538457,0.0139835951193328,True,up
WBGene00001452,4,1.0,PFBS,0.301022200207229,0.014943842191782,True,up
WBGene00011042,4,0.9,PFBS,0.832005646330057,0.0158885503189352,True,up
WBGene00003997,4,1.0,PFBS,-0.311508448524932,0.0186398031416216,True,down
WBGene00022307,4,0.8,PFBS,0.442149374279494,0.0207950230149921,True,up
WBGene00011424,4,1.0,PFBS,0.806369025035307,0.0208346475258687,True,up
WBGene00022797,4,1.0,PFBS,0.496820692071515,0.0220979719828714,True,up
WBGene00007508,4,0.9333333333333333,PFBS,1.77275646147569,0.0240956126579988,True,up
WBGene00011953,4,1.0,PFBS,0.202161990505919,0.0270106848968389,True,up
WBGene00022781,4,0.5666666666666667,PFBS,-0.258836521006795,0.0276184619279341,True,down
WBGene00013672,4,0.9,PFBS,0.333536656945404,0.0290340448170976,True,up
WBGene00022178,4,0.5666666666666667,PFBS,0.506539605624279,0.0293835608543242,True,up
WBGene00011018,4,1.0,PFBS,0.26437991252611,0.0335555301921446,True,up
WBGene00016738,4,1.0,PFBS,0.450326251983522,0.0359508081500614,True,up
WBGene00001459,4,1.0,PFBS,0.275798539796152,0.0366042845385655,True,up
WBGene00000223,4,1.0,PFBS,0.20654339322664,0.0399734346422563,True,up
WBGene00020334,4,1.0,PFBS,0.236937825064019,0.0496544433889753,True,up
WBGene00022441,4,1.0,PFBS,0.459021092092584,0.0549151302367489,False,up
WBGene00020854,4,1.0,PFBS,0.323457117207302,0.0553563752957572,False,up
WBGene00019488,4,1.0,PFBS,0.307013425225528,0.056362582985116,False,up
WBGene00019489,4,0.5333333333333333,PFBS,0.792516860433418,0.0570212528798953,False,up
WBGene00012013,4,1.0,PFBS,0.417902899646914,0.0592023873484464,False,up
WBGene00021382,4,0.5666666666666667,PFBS,0.768134473012882,0.0593438262512159,False,up
WBGene00015197,4,0.6,PFBS,0.408301586306708,0.0600969557381987,False,up
WBGene00018953,4,1.0,PFBS,0.233170107056413,0.0624708211314038,False,up
WBGene00015040,4,0.6,PFBS,0.935231994282487,0.0630012075364988,False,up
WBGene00011752,4,1.0,PFBS,0.643793993253944,0.0662650985519442,False,up
WBGene00008572,4,1.0,PFBS,-0.287487446732105,0.067897415656862,False,down
WBGene00001464,4,1.0,PFBS,0.283846029650222,0.0683331850711685,False,up
WBGene00011586,4,1.0,PFBS,0.387255519914881,0.0730833898336976,False,up
WBGene00008780,4,1.0,PFBS,0.321404013697906,0.0791697367903047,False,up
WBGene00003607,4,1.0,PFBS,0.317877464701308,0.0802062645560412,False,up
WBGene00000788,4,1.0,PFBS,0.478136527906727,0.0813023698307606,False,up
WBGene00001591,4,1.0,PFBS,0.980340761768178,0.0838564287105594,False,up
WBGene00010976,4,0.9333333333333333,PFBS,0.320141056145094,0.0845279144913206,False,up
WBGene00002100,4,1.0,PFBS,0.311611677852325,0.0885620715800714,False,up
WBGene00021157,4,0.9333333333333333,PFBS,0.929178861223338,0.0888428717978419,False,up
WBGene00000675,4,1.0,PFBS,0.670033551566035,0.0888428717978419,False,up
WBGene00004923,4,1.0,PFBS,0.250970191445728,0.0910725224946059,False,up
WBGene00001487,4,0.9666666666666667,PFBS,1.48926924652377,0.0930999400388552,False,up
WBGene00006591,4,1.0,PFBS,0.603535436663348,0.0963015243700597,False,up
WBGene00020706,4,1.0,PFBS,0.272824204147255,0.0976166590219898,False,up
WBGene00011849,4,1.0,PFBS,0.369166954767719,0.0985348261549393,False,up
WBGene00015219,4,1.0,PFBS,0.202508151666085,0.0985348261549393,False,up
WBGene00001496,4,1.0,PFBS,0.350977547367572,0.0996710161824819,False,up
WBGene00008743,4,1.0,PFBS,0.613195224219411,0.0998539401840711,False,up
WBGene00044650,4,1.0,PFBS,0.223594216872162,0.103562834953819,False,up
WBGene00008914,4,1.0,PFBS,0.204393240108901,0.104902041375187,False,up
